feature,weighted_stability_score
Fe2.95Si0.05O4,0.6009159447126513
ZnO2,0.8807727191134375
Pb5O8,0.9761967745897381
InSb,0.9604003892410744
FeZn10.98,0.9725859022929323
InAlO3(ZnO)19,0.9628435383147373
TeO2,0.7138686027945997
Bi2TeO6,0.680537473901008
SbOCl,0.7154813079255907
BiOCl,0.7171181044337581
ZnFeO2,0.9652030761381996
Na2[Sn(OH)6],0.5874550058102733
Ag-Zn,0.6131014577645092
Ca3Bi2,0.5172324203803603
CaBi,0.5846504860789631
Mg3Bi2,0.5066596124594934
PbFCl,0.8941500467656146
BiF3,0.9640112615378802
Cu9.5As4,0.9753904220242426
As,0.95993745689533
AgySb2-x(O·OH·H2O)6~7,0.9412529405651554
Ag-Sb,0.9773885891900573
Au2Te,0.9498275813202075
Al2Si2O3(OH)4,0.9640112615378802
Ag2O3,0.8580143981407127
CaSO3,0.9584022220752597
NaFe3(SO4)2(OH)6,0.94044658799966
Zn2Al2O4,0.9632823792833052
Cu-Fe-Zn,0.888541007302994
SnO,0.8625331846911108
Bi2S3,0.9822507959602067
Ca(Zn(OH)3)2·2H2O,0.9903804548074108
CaWO4,0.986540478237456
FeWO4,0.9855002975993652
Na2Nb2O6,0.9960731055202321
Na2Ta2O6,0.9846939450338696
Fe(TaO3)2,0.9838875924683742
Mn(TaO3)2,0.9968794580857275
Fe(NbO3)2,0.9968794580857275
Mn(NbO3)2,0.9860203879184106
MnFe2O4,0.9852140353529151
CaFe2O4,0.9827708862792521
MoS3,0.995786843273782
Cu0.52Mo6S7.82,0.9965931958392775
γ-Cd(OH)2,0.995786843273782
γ-NiOOH,0.9965931958392775
KOH,0.9900941925609607
AuCu,0.9872896728296504
Re2O3,0.997399548404773
La2O3,0.997399548404773
NiAl2O4,0.997399548404773
Ni2V2O7,0.997399548404773
K2O,0.997399548404773
Al2O3·2SiO2·2H2O,0.9965931958392775
CoS,0.9705853732273944
NiMoO4,0.9795213846400938
LiAlW2O4,0.9759105123432881
Mg(VO2)2,0.9673358715882359
V2O2,0.9609204795601198
AlPO4,0.9698564909728193
Ti,0.33981265411395695
Rh,0.7986494657382827
PtO,0.9984397290428638
PtO2,0.9984397290428638
RhO2,0.9989598193619093
Rh2O3,0.9989598193619093
PdO,0.9989598193619093
PdO2,0.9989598193619093
Zr0.86Ca0.14O1.86,0.9989598193619093
Zr0.72Y0.28O1.86,0.9989598193619093
Al0.5Si0.75O2.25,0.9957103177227509
2FeO·2Al2O3·5SiO2,0.9994799096809547
2MgO·2Al2O3·5SiO2,0.9962304080417963
C12H10Cu4O14·5H2O,0.9397025895868565
Na2SiO3,0.8654572165484143
CaSiO3,0.9556397441590221
"3Ca3(PO4)2·Ca(F,Cl)2",0.9747097225240205
Cu2O(SO4),0.26953291071074287
NH4Fe3(SO4)2(OH)6,0.5355914669286801
CuBi2O4,0.549389685111529
CaBi3,0.47865362268179545
"(Sr,Ca,Ba)10(PO4)6Cl2:Eu",0.8785837104499892
Ga,0.5040076714503009
Ir,0.440200478048504
Al2SiO5,0.4373959583171937
Zr,0.49787617976891174
Hf,0.383304675616692
ZrO2,0.8737035532419437
SiC,0.31609634661350816
Al1.83O4.85Si1.08,0.9701677893563352
Ca4Al6Si6O24(SO4),0.9734172909954936
Zn2SnO4,0.16816773267074175
CuCrO4,0.9489886345385321
BaCO3,0.9544672971364329
SnCl2,0.9398636711479778
NH4Cl,0.9431131727871362
HgSO4,0.9553558438122951
Hg2Cl2,0.09618694908688957
NiCl2,0.5056888716732643
Ni2O3,0.5178743847251221
Ni(NO3)2,0.6079733010855292
Zn3(PO4)2,0.9448009863293245
NiOH,0.9472441354029874
ZnSO4·H2O,0.3349769006207073
CuSn(OH)6,0.4109696070743621
Zn5(OH)8Cl2·H2O,0.22248103394522284
PbFe3(AsO4)(SO4)(OH)6,0.4479116082647595
Pb-Sb,0.2520997288539118
Fe5Sb4,0.32196094362617744
NiAs,0.21632545088665717
Fe(1-x)S,0.2415269209330449
PbO·SnO2,0.35402278760852934
Zn(H2PO2)2,0.12370591514166676
"LaPO4:Ce,Tb",0.867649531871475
BaO,0.9594627150509698
SrO,0.952963711772653
"Cs0,1K0.1Co4.5Ni2.5Bi1.0Fe2.0Cr1.0Mn0.5Sn0.2Pb0.2Mo12.3Ox",0.13314406643551543
Cr,0.3890747966404339
Ba,0.3313990949200261
V2O4,0.21357808912864798
KAlSi2O6,0.13447050932005633
KFe(SO4)2,0.21542462233223428
Pd(OH)2,0.8399387795591752
BaCl2,0.9379420295331942
NaOH,0.9300400578193053
Sn(OH)Cl,0.26352329305507005
α-(SnO2·H2O)5,0.34234461061721166
CaSnO3,0.6803220686462536
Sn(OH)4,0.6762662144415996
MnCO3,0.9313665007038462
BeF2,0.10504785208839174
MgF2,0.09447504416752484
BeO,0.18548187478152428
NH4F,0.18628822734701977
Ca2V2O7,0.23261122185796482
Si,0.9466786966092569
FeZn13,0.26513599818606104
CrAsO4,0.949357090895349
HgSe,0.9312913922926489
Al,0.0892514667397281
NaCN,0.501214488837662
