repeat,seed,n_features,train_acc,train_acc_balanced,train_auc,train_f1_macro,train_f1_weighted,val_acc,val_acc_balanced,val_auc,val_f1_macro,val_f1_weighted
4,42,345,0.8277591973244147,0.9484994568503425,0.9972763282240773,0.7903890378889664,0.8417613933927176,0.7197802197802198,0.8858972149452086,0.9874153388885967,0.7430591965686305,0.7337648517308479
4,42,344,0.8177257525083612,0.9498340334223124,0.997031840260774,0.7938105626683505,0.8259933190713051,0.7142857142857143,0.8955040096424832,0.9871271549987634,0.7420150375939849,0.7200302107763067
4,42,343,0.8377926421404682,0.9548334823031027,0.9975030042956979,0.8028829042082108,0.849059257973144,0.7087912087912088,0.8862082228171921,0.9873999555986188,0.7429519837975163,0.7108418476503942
4,42,342,0.7909698996655519,0.9416940893974719,0.9963113407473776,0.7711813111627474,0.8017552496364909,0.7142857142857143,0.8945598711688405,0.98671945168288,0.7414138389411833,0.7248556763291353
4,42,341,0.8076923076923077,0.9438625473212724,0.996834854951803,0.7762263063662013,0.8199914594725234,0.6813186813186813,0.8881701633157181,0.9863650246123912,0.73472283561158,0.6889342612863886
4,42,340,0.8461538461538461,0.9581700588952518,0.9973600097567616,0.8345813729141329,0.8550558074220542,0.7307692307692307,0.9050090254181521,0.9880623654029875,0.7759560508349241,0.728776219824819
4,42,339,0.8260869565217391,0.9452885915104591,0.9967981753617972,0.794093840423349,0.8372559143803354,0.7087912087912088,0.9021961562638195,0.987204662320332,0.7393596578859737,0.7127308781444119
4,42,338,0.8260869565217391,0.9554427299224951,0.9969485323560804,0.7953641646275069,0.838515111845871,0.6923076923076923,0.8866147268822329,0.9871345298428829,0.7447034272847373,0.6924995448407338
4,42,337,0.8327759197324415,0.9524629767564066,0.996905114113944,0.7845659841213706,0.8461405983238928,0.6813186813186813,0.8835739374999799,0.9861866583626048,0.7228226338443103,0.6854157622590151
4,42,336,0.8193979933110368,0.9519040904779044,0.9964048407342904,0.7726159722692799,0.8317708217912487,0.7087912087912088,0.9043733746802198,0.9874736630961672,0.7443909505707589,0.7115704028907442
4,42,335,0.8160535117056856,0.9495939129718302,0.9970564501435788,0.7913859990680854,0.827862921975608,0.7032967032967034,0.9034196423968257,0.9876005775806479,0.7507498612498612,0.7045089449622417
4,42,334,0.8076923076923077,0.9412804299965507,0.9965553250358888,0.7619141052960252,0.8179193893363188,0.6868131868131868,0.8912772639837943,0.9863924101067308,0.718397653029232,0.6910087989469135
4,42,333,0.8277591973244147,0.9517047976722744,0.9969625739213184,0.7894357959766826,0.8376666288541909,0.7142857142857143,0.8989049479529416,0.9877245943910714,0.7582095238095238,0.7145900924472353
4,42,332,0.8093645484949833,0.9447321125386638,0.996980412092046,0.7766097233955094,0.8181703707989226,0.6813186813186813,0.8978541567998688,0.9873502617840202,0.7092689603073188,0.6817357447120413
4,42,331,0.8177257525083612,0.9511396091305769,0.9965023548092162,0.7822088837164509,0.833077692745683,0.6538461538461539,0.8791570928707041,0.9861652575385754,0.6925037621091983,0.6633042502767066
4,42,330,0.8093645484949833,0.9460673706328344,0.9969417717320462,0.7748507970470293,0.819716660545639,0.6758241758241759,0.8988563064408857,0.9866351476777347,0.717279359526397,0.6705234866563743
4,42,329,0.8076923076923077,0.9475887500517675,0.9966637584990237,0.7687303532836789,0.8223717101782889,0.6813186813186813,0.880427561772959,0.9852525212898929,0.7198034392981169,0.6953033761505304
4,42,328,0.8010033444816054,0.9376758857283523,0.9968158118958473,0.7706519054550526,0.8057004632652467,0.7252747252747253,0.889118275727245,0.9877130832499948,0.7528338538654329,0.7319500392288132
4,42,327,0.822742474916388,0.9462398909342957,0.9971089401803591,0.8004664093178269,0.8306584731881657,0.7197802197802198,0.9044922661917155,0.9876720770057505,0.7616157100945833,0.7172001600070012
4,42,326,0.8244147157190636,0.9537808845898571,0.997243803270439,0.7673882266115656,0.83921084591249,0.6538461538461539,0.8856219468965338,0.9865305477918273,0.6933221445221446,0.6471596352365582
