scenario,n_repeats,avg_best_n_features,avg_test_auc,std_test_auc,avg_test_f1_macro,std_test_f1_macro,avg_test_f1_weighted,std_test_f1_weighted,avg_test_acc_balanced,std_test_acc_balanced,avg_best_train_auc,std_best_train_auc,avg_best_train_f1_macro,std_best_train_f1_macro,avg_best_train_f1_weighted,std_best_train_f1_weighted,avg_best_train_acc_balanced,std_best_train_acc_balanced,avg_best_val_auc,std_best_val_auc,avg_best_val_f1_macro,std_best_val_f1_macro,avg_best_val_f1_weighted,std_best_val_f1_weighted,avg_best_val_acc_balanced,std_best_val_acc_balanced
S1,10,284.0,0.986082702922489,0.003077259796721132,0.6870281789789672,0.01364172646348976,0.8924687007709082,0.00596950747201944,0.7795787434563561,0.020145392773943758,0.9961579513893094,0.0007562229802012613,0.7255877371158966,0.014470480151521824,0.9215071238440403,0.0037069534922472337,0.8749413506330411,0.014936639535002334,0.9871624178512663,0.002759337153649612,0.7210400669976739,0.007972516335502767,0.909919019703177,0.004346820291475749,0.823897079566599,0.009829432789037822
S2,10,177.8,0.9924390234385598,0.0017844498796587666,0.7353682879760429,0.02588477839320541,0.7531103441431352,0.03783328758678444,0.9019356168057808,0.015824652871966653,0.9955110023432979,0.0007956180829821734,0.7575120699850941,0.027998262405938373,0.7963112367450542,0.02881900169657433,0.9369485535780113,0.008633103293669796,0.9936634243844894,0.0026813252466294795,0.8306128654731129,0.03668093304774188,0.8241172474381127,0.04169075305817928,0.9349129233676834,0.010954543153147223
S3,10,275.0,0.9863714407039377,0.002462369589042683,0.7076532584980194,0.017914384770906313,0.7897246835708396,0.018666848254005247,0.8232894984468949,0.032098945880881004,0.9940698869020765,0.000620369281313743,0.7498591869177458,0.020190439608397507,0.8396633649375259,0.015712769882912484,0.9070625306312781,0.013888503831347711,0.987998998805374,0.0017317266649045707,0.7600261654759136,0.02445700581570718,0.8208148092255403,0.020877238371879586,0.8741864385638604,0.02256163010825005
S4,10,270.5,0.9927218729212253,0.0021962186047560493,0.768547018071733,0.01361129503986856,0.9053794798993291,0.011941686846877521,0.867192073687429,0.03951128413613424,0.9968805189032107,0.0005200134941437605,0.7908754114092182,0.023547150511427223,0.9227619513592638,0.003585246918291002,0.9193292511145245,0.010376935415847272,0.9934893531133699,0.002087631898476455,0.7859894455340216,0.02072210008069796,0.9113244507650128,0.008126874202825098,0.8961744052322611,0.023268431342326545
S5,10,306.0,0.9660070310723586,0.017188274887647587,0.6884570082481201,0.05531913878240859,0.9317790432051295,0.010559436861254455,0.8303345412190751,0.05837174417119207,0.9992084429673008,0.0002667507428915496,0.7969459999572552,0.03839212446827528,0.9492533702222159,0.006012054590751087,0.9693726817656831,0.018115263475941123,0.968247003192384,0.02169345943498599,0.7599346694124222,0.04659603926942464,0.9383896841000615,0.005848376068350023,0.8697687519482102,0.053157506882031316
S6,10,302.7,0.9993511422318677,0.0005176363907075959,0.8375960639855983,0.024893066537243044,0.9852681256495437,0.002132791881448893,0.9430165775547878,0.028809112333489865,0.9999147448514621,2.583455626378412e-05,0.8515286973699526,0.023264138136311972,0.9864193720684797,0.0013386634521260863,0.9897694553611498,0.007210685807533413,0.9989066602421323,0.0009735070373687685,0.858340364614652,0.02133890528445972,0.9853780764476326,0.001006401522165945,0.9735843129625102,0.013260387912025417
S7,10,306.9,0.9997120767523551,0.0001497907280408141,0.7902336699545515,0.0160221464899751,0.9897123617543493,0.0009209330717406626,0.959334552373357,0.020225050132736018,0.9998914693157003,2.4055780371417303e-05,0.7897721596585174,0.018312492997423224,0.989927704059288,0.0007563135729825161,0.9826412506537657,0.005505176005310593,0.999622334440633,0.00025480008916563165,0.7877039882436276,0.01602145485528765,0.9898002613199776,0.0008614197392084285,0.9700177186482236,0.012558280790367613
