trial_number,param_C,param_penalty,param_l1_ratio,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,0.0002869787477867183,l1,0.8823916095972821,"[0.17120337680442932, 0.19821864518055513, 0.18726910474893704, 0.24854250973989905, 0.13184775987549308]","[0.03545963783022712, 0.06157331756708698, 0.08055780664877343, 0.09658990134099486, 0.058809768357293145]","[0.7470838510784226, 0.6861644992149423, 0.7395323790064396, 0.6812830130189171, 0.6359565284994745]","[0.953746865713079, 0.9459564619625844, 1.0073592904041502, 1.0264154240998111, 0.8266140567322607]",0.18741627926986268,0.06659808634887511,0.6980040541636392,0.9520184197823772,0.06980474961280761
1,0.1702061398957051,l1,0.499906000660448,"[0.9533787721298395, 0.9208583947218812, 0.9332127754912943, 0.9321980601751282, 0.9220705183518837]","[0.7341139702261131, 0.7300905897807559, 0.7185175510498208, 0.5256911077874017, 0.7478631096973277]","[0.9985129474684328, 0.9984084828709175, 0.9989868723274534, 0.995045301909239, 0.997840815995789]","[2.6860056898243854, 2.6493574673735547, 2.6507171988685685, 2.452934469871769, 2.6677744440450004]",0.9323437041740054,0.6912552657082839,0.9977588841143664,2.6213578539966553,0.08525987134586595
2,1.1895425372303976,l1,0.33051647944639484,"[0.9405337341675781, 0.9372225053381391, 0.94371098212777, 0.9546444228150068, 0.955821070327619]","[0.8036487126636837, 0.8185035513643701, 0.7990710278535, 0.7654489732304729, 0.8040501561746773]","[0.9995756381878844, 0.9989257005028489, 0.9994601114177086, 0.9994568880851459, 0.9995344863965638]","[2.743758085019146, 2.754651757205358, 2.742242121398979, 2.7195502841306256, 2.75940571289886]",0.9463865429552225,0.7981444842573409,0.9993905649180304,2.7439215921305937,0.013796394084260574
3,28.678812614035486,elasticnet,0.11991938204027841,"[0.935615759368405, 0.9046335005732559, 0.9346696791203652, 0.9382372506684107, 0.9362012055195558]","[0.8030774072025518, 0.7958961283274546, 0.8165288633019426, 0.7948984822805896, 0.7961580676917648]","[0.9996695236752154, 0.9995541177071625, 0.9996330619596933, 0.9990330731776059, 0.9994687142988181]","[2.738362690246172, 2.700083746607873, 2.750831604382001, 2.732168806126606, 2.7318279875101386]",0.9298714790499985,0.8013117897608607,0.9994716981636991,2.730654966974558,0.016761699770409887
4,0.4011377228340273,l1,0.827302699909385,"[0.9438258842340597, 0.9414814245243659, 0.949147806561964, 0.9385809169578917, 0.926303634664793]","[0.7603043189599714, 0.7822376391619931, 0.7658493800023592, 0.7313796383807079, 0.7298546459423914]","[0.9992043635256792, 0.9987729877076734, 0.9994049449631547, 0.9991065732715889, 0.9979745553516693]","[2.70333456671971, 2.722492051394032, 2.714402131527478, 2.6690671286101884, 2.654132835958854]",0.9398679333886149,0.7539251244894846,0.9988926849639531,2.6926857428420528,0.026523878239759206
5,0.0006295303529485373,l2,0.4742022877959846,"[0.7507049143833939, 0.6566786573202948, 0.7252622699928728, 0.7304178886674478, 0.7253038517836585]","[0.3766223171228685, 0.4572030463773914, 0.42460621115744124, 0.4075566257892547, 0.4851207829641558]","[0.9478262468174766, 0.949406178335525, 0.9383677630227035, 0.958505137477977, 0.9833288033074301]","[2.075153478323739, 2.0632878820332112, 2.0882362441730176, 2.0964796519346796, 2.1937534380552446]",0.7176735164295336,0.4302217966822224,0.9554868257922224,2.1033821389039784,0.04657986877616498
6,0.001694706681854863,l1,0.39271230862447437,"[0.6136046271557808, 0.6802572719150669, 0.6642275756576361, 0.574481420527118, 0.7228260181147448]","[0.3116325378510832, 0.3503005170820004, 0.2846949500748195, 0.2513737736110866, 0.3544693082387455]","[0.9438014462373956, 0.9548390384773423, 0.9373702303772171, 0.8903315169407422, 0.968704466695683]","[1.8690386112442596, 1.9853968274744096, 1.8862927561096727, 1.7161867110789468, 2.045999793049173]",0.6510793826740693,0.31049421737154703,0.9390093397456761,1.9005829397912923,0.11273036851871075
7,10.653884049066885,l1,0.3208392386645561,"[0.9432323449029295, 0.9089218177436724, 0.9449076732130163, 0.958497714012924, 0.9552376050802779]","[0.779951924879845, 0.799614242818561, 0.765843659342771, 0.7986813855157975, 0.8122691018624612]","[0.999436956010091, 0.9993056719267475, 0.9995131583727641, 0.9995269444365047, 0.9994529755749672]","[2.7226212257928655, 2.7078417324889807, 2.7102644909285516, 2.7567060439652264, 2.7669596825177063]",0.942159430990564,0.7912720628838871,0.9994471412642149,2.7328786351386665,0.024383287969317935
8,0.052126383550411035,l2,0.4672743823131452,"[0.7986912863122382, 0.836638415995242, 0.8615812543062114, 0.8542538302282908, 0.9093341012098786]","[0.6531669006561265, 0.47979861892556536, 0.5461135626787558, 0.47800496722334174, 0.5304045947834433]","[0.9863142672644236, 0.9846095969314264, 0.9922041657328908, 0.9796311526178783, 0.9941791723853401]","[2.438172454232788, 2.301046631852234, 2.3998989827178576, 2.311889950069511, 2.433917868378662]",0.8520997776103723,0.5374977288534465,0.9873876709863918,2.3769851774502104,0.05918497772838462
9,2.069877935427101,l2,0.6928950983306115,"[0.9443369400162258, 0.9083892565730335, 0.9543364668569635, 0.9089002150411399, 0.9443257318397097]","[0.7907621170464839, 0.5899043966529033, 0.6801773478263289, 0.6675650145795876, 0.6794430687773584]","[0.9991158135938799, 0.9965943034646161, 0.9993738778327171, 0.9972001243102205, 0.9987266323051616]","[2.7342148706565896, 2.494887956690553, 2.6338876925160095, 2.573665353930948, 2.6224954329222294]",0.9320577220654144,0.6815703889765323,0.998202150301319,2.611830261343266,0.0783713359932095
