trial_number,param_hidden_layer_sizes,param_activation,param_learning_rate_init,param_batch_size,param_alpha,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,32,logistic,0.00038642916535526494,128,0.043087600478391316,"[0.5511161636801158, 0.5548175279545942, 0.5149394181974758, 0.5414507734211315, 0.5318041530376734]","[0.5846185317116833, 0.5880619706979875, 0.5602368709641715, 0.5782712202752158, 0.5657318223483753]","[0.9965453094394613, 0.9973196877300036, 0.9966233518944884, 0.996423195781204, 0.9972796255340718]","[2.1322800048312605, 2.1401991863825853, 2.0717996410561357, 2.1161451894775514, 2.0948156009201204]",0.5388256072581982,0.5753840831994868,0.9968382340758458,2.1110479245335307,0.025021972331866125
1,32,logistic,0.00017934807211789802,128,0.0001309677449377761,"[0.7487218860170889, 0.7279644405359018, 0.7344346015669443, 0.7224462128002016, 0.7587747479173399]","[0.7723848289130477, 0.7537288221389911, 0.7633390494219696, 0.7522713993066839, 0.7802970178215765]","[0.9997296789731237, 0.9998012713332719, 0.9997662458847917, 0.9997670454454928, 0.9998416477627552]","[2.5208363939032603, 2.481494534008165, 2.4975398968737057, 2.4744846575523782, 2.5389134135016715]",0.7384683777674953,0.7644042235204538,0.9997811778798871,2.5026537791678356,0.024136003899038753
2,256,tanh,0.005571905096939265,256,0.017558886158773757,"[0.8194279728212434, 0.8032199864585398, 0.7938156465470256, 0.8044626448728575, 0.7947318325744489]","[0.8423624124657121, 0.8384952810113917, 0.8165669620352607, 0.8380116033974575, 0.8141241326097385]","[0.9997422993760375, 0.9998883993074449, 0.9998427840221572, 0.9999169060643385, 0.9998511758285918]","[2.661532684662993, 2.6416036667773763, 2.6102253926044434, 2.6423911543346534, 2.608707141012779]",0.803131616654823,0.8299120783039122,0.999848312919714,2.632892007878449,0.02042105964015761
3,256,relu,1.1952749874776884e-05,32,0.00014457314723643997,"[0.7675096209359877, 0.778144478556674, 0.7622864797400533, 0.7586280700140183, 0.7601243003339476]","[0.7991692140503567, 0.8163048763598079, 0.7861839445698675, 0.7948253989507745, 0.7837405871368971]","[0.9998256995567877, 0.9999165371893873, 0.9998666716764171, 0.9998943114448534, 0.9998499971044035]","[2.566504534543132, 2.5943658921058694, 2.548337095986338, 2.5533477804096463, 2.543714884575248]",0.7653385899161362,0.7960448042135407,0.9998706433943697,2.561254037524047,0.018226029733346413
4,128,tanh,1.5842139594029097e-05,256,0.005749963945531071,"[0.7330195086940643, 0.713655618827279, 0.7037294206633165, 0.7281975541458212, 0.7442354125173645]","[0.7592157698441071, 0.7428447953397657, 0.7386980741236452, 0.7527898846287709, 0.7688107886088379]","[0.9996770212025106, 0.9997605730400576, 0.9996718130329932, 0.9998202703626382, 0.999788399735176]","[2.491912299740682, 2.456260987207102, 2.4420993078199547, 2.4808077091372303, 2.512834600861378]",0.7245675029695691,0.7524718625090254,0.999743615474675,2.4767829809532693,0.02517508066029193
5,16,tanh,0.010075077894785215,64,0.0011135123186253584,"[0.8540342392102859, 0.8435643927906789, 0.831767461680424, 0.8451868881457153, 0.850688247108148]","[0.8778333690251264, 0.8832137476037747, 0.8575897761226108, 0.8677059881222161, 0.8792198841388499]","[0.9997389689791263, 0.9998321824081295, 0.9998874988076112, 0.9999113917524362, 0.9998325733995007]","[2.7316065772145386, 2.726610322802583, 2.689244736610646, 2.7128042680203674, 2.7297407046464985]",0.8450482457870503,0.8731125530025157,0.9998405230693608,2.7180013218589267,0.015817594902607337
6,128,logistic,0.0006304469295312829,256,0.005260638512072054,"[0.7545492352769281, 0.7352130290009127, 0.7656405184877757, 0.7606039490000971, 0.7865809148872586]","[0.7783932553011258, 0.76746928562236, 0.7915135416203007, 0.7833331432846107, 0.8144095218721283]","[0.9997944008386827, 0.9998810726394588, 0.9998655242661133, 0.999912724029802, 0.9998385446595216]","[2.5327368914167367, 2.5025633872627315, 2.55701958437419, 2.54384981631451, 2.6008289814189083]",0.7605175293305945,0.7870237495401051,0.9998584532867157,2.5473997321574156,0.032202872101452625
7,256,tanh,1.1568710983054887e-05,128,0.0002578738171385281,"[0.7477896317159294, 0.7364107543192345, 0.7436824469824945, 0.7347856835820853, 0.7605512639100689]","[0.7716089634075002, 0.7681740385905199, 0.7726674893645594, 0.7610585081506711, 0.782906932228242]","[0.9997733490619295, 0.9998699725668629, 0.9997634122173222, 0.9998418005366786, 0.9998298925310307]","[2.519171944185359, 2.504454765476617, 2.5161133485643763, 2.495685992269435, 2.5432880886693416]",0.7446439561019625,0.7712831863482986,0.9998156853827649,2.5157428278330256,0.016126589991054922
8,16,relu,1.200937857312506e-05,256,0.00413516832983145,"[0.5944490960060704, 0.5910366647017861, 0.5868938726325608, 0.5854861812736756, 0.5977109582670391]","[0.6137026270340693, 0.6104661399112001, 0.6085605049663305, 0.605925747648626, 0.6147364056869312]","[0.9988474054399328, 0.9986920347532863, 0.9985185608707937, 0.9979485626885769, 0.9986537854208418]","[2.2069991284800725, 2.2001948393662722, 2.193972938469685, 2.1893604916108784, 2.2111011493748123]",0.5911153545762264,0.6106782850494314,0.9985320698346862,2.200325709460344,0.008015677831483853
9,32,relu,0.01594155532514971,256,0.017432710909292645,"[0.7821627845030388, 0.8142956876963475, 0.7888847786521722, 0.8399088645152513, 0.8154033347931725]","[0.7932674732430942, 0.8442113256982522, 0.8144179800444757, 0.8599953795601898, 0.8314791253785186]","[0.9997555661597898, 0.9998594770982647, 0.9998588021110223, 0.9999147904799321, 0.9998180898811679]","[2.575185823905923, 2.6583664904928646, 2.60316156080767, 2.6998190345553734, 2.6467005500528593]",0.8081310900319965,0.8286742567849062,0.9998413451460353,2.6366466919629383,0.04350233761557238
10,16,tanh,0.07392326287467446,64,0.0007560497760818783,"[0.7738582500135355, 0.812292263226838, 0.7096800232901732, 0.8110843657639747, 0.7573917184559508]","[0.7968226372729841, 0.8123871680025766, 0.7228944091344444, 0.8185687527388122, 0.7566018302897161]","[0.998813500943233, 0.9985884673831054, 0.9995745674775123, 0.9992168377147889, 0.9991334058550058]","[2.5694943882297525, 2.6232678986125197, 2.4321489999021297, 2.6288699562175757, 2.5131269546006725]",0.7728613241500945,0.7814549594877066,0.999065355874729,2.55338163951253,0.07370208735908998
11,64,relu,0.012520594087297877,64,0.0010110544440133707,"[0.8557552806631259, 0.8867854634449444, 0.8383395967625127, 0.9077116034367827, 0.8938708034146443]","[0.8821192986428431, 0.9150080271032293, 0.8532984484708824, 0.9202690999442495, 0.9156031100089769]","[0.9998015004549147, 0.9998888496818042, 0.9998971968625083, 0.9999121315278908, 0.9997786487960312]","[2.7376760797608837, 2.801682340229978, 2.6915352420959033, 2.827892834908923, 2.8092525622196525]",0.876492549544402,0.8972595968340362,0.9998556654646299,2.773607811843068,0.05105406385028707
