trial_number,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_criterion,param_class_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,69,40,10,8,sqrt,False,entropy,balanced,"[0.9546838334452338, 0.9462647641106117, 0.9655372368885099, 0.9471787485319376, 0.9602778631628223]","[0.7701533823625729, 0.7737712055134313, 0.7793816256671916, 0.7742145457049772, 0.7940865469493004]","[0.9988811982249642, 0.9993451471992287, 0.9995712567178354, 0.9995265877026034, 0.999341496294831]","[2.723718414032771, 2.7193811168232718, 2.7444901192735367, 2.720919881939518, 2.753705906406954]",0.9547884892278231,0.7783214612394946,0.9993331372278925,2.73244308769521,0.01397682162640076
1,66,16,19,3,log2,False,entropy,balanced,"[0.937383340043019, 0.9385331999972828, 0.9600784040416712, 0.9560154802199493, 0.9545261799167364]","[0.6785796202135854, 0.6937985041376116, 0.6886127691876102, 0.6774651336865513, 0.6737841743874665]","[0.9985740529591071, 0.9985029294189717, 0.9991389543169231, 0.9988781295422767, 0.9986449939273109]","[2.6145370132157115, 2.630834633553866, 2.6478301275462046, 2.632358743448777, 2.6269553482315136]",0.9493073208437318,0.682448040322565,0.9987478120329178,2.6305031731992146,0.010689075549182926
2,181,39,14,5,log2,True,gini,balanced_subsample,"[0.9521047525971785, 0.9438618099739844, 0.9622970916634298, 0.961137850101016, 0.9592793878460953]","[0.7845190172621719, 0.8100003652690159, 0.8067505106484326, 0.8055829261504125, 0.8078120388435716]","[0.9993404321126027, 0.9994547062599176, 0.9996629124467895, 0.9996043721470852, 0.9995273276935815]","[2.735964201971953, 2.753316881502918, 2.768710514758652, 2.7663251483985136, 2.7666187543832486]",0.9557361784363408,0.8029329716347208,0.9995179501319953,2.758187100203057,0.01237448270055776
3,119,24,8,7,,False,entropy,balanced_subsample,"[0.8830665899183141, 0.8815040185978329, 0.9025718097675801, 0.9011927285584467, 0.8653436148333715]","[0.6341645106912958, 0.6482357439257206, 0.6469090647541103, 0.6544299113694698, 0.6377671768673532]","[0.9631279074884143, 0.9604351396471047, 0.9663283789360412, 0.9625447592832446, 0.9541733473970517]","[2.480359008098024, 2.490174902170658, 2.5158092534577317, 2.518167399211161, 2.4572841390977764]",0.8867357523351089,0.6443012815215899,0.9613219065503713,2.4923589404070703,0.022781588238499594
4,209,28,9,1,log2,False,gini,balanced_subsample,"[0.9538793266977542, 0.9440398890980022, 0.9624173711128027, 0.9647622390451401, 0.9577710284378287]","[0.813387012277354, 0.8178193281874512, 0.7961984057248108, 0.8116371578141329, 0.7927754114074108]","[0.9994093303440361, 0.9993241278842091, 0.9996400515296685, 0.9996278580078662, 0.9995493305478148]","[2.7666756693191443, 2.7611833451696626, 2.758255828367282, 2.7760272548671394, 2.750095770393054]",0.9565739708783056,0.806363463082232,0.999510139662719,2.7624475736232563,0.008648937285129867
5,109,49,19,9,log2,False,gini,balanced_subsample,"[0.953387618758915, 0.9418067447598385, 0.9618845753447495, 0.960998005435486, 0.9588962507844774]","[0.7743513331815133, 0.7929278824826193, 0.7883026018600485, 0.7939798821563407, 0.7952522550808]","[0.999274714904021, 0.9993663507323606, 0.9995897286427967, 0.9995464469655936, 0.9994643986582209]","[2.7270136668444493, 2.734100977974818, 2.7497769058475945, 2.7545243345574204, 2.7536129045234983]",0.9553946390166932,0.7889627909522643,0.9994483279805986,2.743805757949556,0.011161359179615792
6,131,17,5,5,,True,entropy,balanced_subsample,"[0.9176961617753987, 0.8916434742435737, 0.9351525740347358, 0.9200639418361598, 0.9004883255428762]","[0.7900803782066241, 0.7822346972633444, 0.7658531939910262, 0.7681838345527165, 0.7695567780517462]","[0.9933261998279349, 0.9986437875576464, 0.9989372140721322, 0.9981304583449648, 0.9984679859261074]","[2.701102739809958, 2.6725219590645644, 2.699942982097894, 2.686378234733841, 2.6685130895207294]",0.9130088954865488,0.7751817764130916,0.9975011291457572,2.6856918010453974,0.013487900160162658
7,285,4,18,3,log2,False,entropy,balanced,"[0.8614633168046221, 0.8418114264866273, 0.8821386972785303, 0.8854135357603629, 0.8896429782251345]","[0.3370001082328522, 0.3423536794738636, 0.3425705041784828, 0.3414680512756146, 0.34456204363785625]","[0.9906601760655737, 0.9886675300069429, 0.9916250285720309, 0.9909137537935047, 0.9896223523036903]","[2.189123601103048, 2.172832635967434, 2.216334230029044, 2.217795340829482, 2.223827374166681]",0.8720939909110555,0.34159087735973387,0.9902977681483485,2.203982636419138,0.01963812487365608
8,200,37,17,8,,False,entropy,balanced,"[0.8742229954834996, 0.8726690777432612, 0.9138183122954564, 0.9097322858613947, 0.8655141781533423]","[0.614705262558877, 0.6294247910552297, 0.6442444433451646, 0.6473033638589416, 0.6192749403015156]","[0.9564292724356589, 0.9698300031259994, 0.972162322329937, 0.9657354988879218, 0.9547436041343877]","[2.4453575304780353, 2.4719238719244903, 2.530225077970558, 2.522771148608258, 2.439532722589246]",0.8871913699073908,0.6309905602239457,0.963780140182781,2.4819620703141174,0.03804104649228732
9,107,34,4,3,,True,entropy,balanced,"[0.9146551162490649, 0.914285952527131, 0.9524131503018958, 0.9232381762036589, 0.8974899710463741]","[0.8042069044901377, 0.8047696885456549, 0.8134660704872385, 0.8122001313536206, 0.8066874432324433]","[0.991257328836346, 0.9980217548982274, 0.9946572034949962, 0.9994225131367803, 0.994926128004224]","[2.7101193495755487, 2.7170773959710135, 2.7605364242841306, 2.7348608206940597, 2.6991035422830416]",0.9204164732656249,0.8082660476218191,0.9956569856741148,2.7243395065615585,0.02150683571189436
