trial_number,param_C,param_penalty,param_l1_ratio,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,0.20173786271782274,l1,0.8143575634781238,"[0.9493246881574565, 0.9504278920374118, 0.8862550018715095, 0.9209189876375656, 0.9644544284280169]","[0.7264070010777544, 0.7467728379415938, 0.7664401498993212, 0.7235191446999396, 0.7748611382110164]","[0.9986275585068602, 0.9992886528378484, 0.9976280005950768, 0.9988825337130239, 0.9995192125993825]","[2.6743592477420712, 2.6964893828168544, 2.6503231523659077, 2.643320666050529, 2.738834779238416]",0.9342761996263921,0.7476000543659251,0.9987891916504384,2.680665445642756,0.03460960506768562
1,23.864840361732654,l2,0.4526478749205092,"[0.9523600960631273, 0.9538021948964273, 0.8800444437591457, 0.9398398151423487, 0.961736691197266]","[0.7766605209891789, 0.8001634200400577, 0.8087037374733625, 0.7550789731282116, 0.7985767499808483]","[0.9996926769012455, 0.9994296028843839, 0.9993882963667344, 0.9997166789329648, 0.9997331681384023]","[2.728713293953552, 2.7533952178208687, 2.688136477599243, 2.694635467203525, 2.7600466093165164]",0.9375566482116631,0.7878366803223318,0.9995920846447461,2.724985413178741,0.029425379669690402
2,0.00015109749531677823,l2,0.641003921584105,"[0.7583017458526361, 0.9018868113989985, 0.8638854357450135, 0.8961366714704853, 0.9043515822954411]","[0.32905848714728725, 0.3883319379742743, 0.4276666296335896, 0.39966743226299883, 0.3793805068609884]","[0.9568915617774713, 0.9927059731250779, 0.9901165449604906, 0.9919283035465121, 0.9919505388584972]","[2.0442517947773946, 2.282924722498351, 2.2816686103390937, 2.287732407279996, 2.2756826280149265]",0.8649124493525149,0.38482099877582765,0.9847185844536097,2.2344520325819524,0.09517762097411275
3,0.3508947775032452,l2,0.43208095760805576,"[0.9270139436146824, 0.8999277196673802, 0.8718944764357056, 0.8843714071842979, 0.8911160446279877]","[0.6325370764707854, 0.6521854897061539, 0.6512066612106314, 0.6723796466879777, 0.6115477031118922]","[0.997897254672863, 0.9981015195671155, 0.9963813753768254, 0.998240162485049, 0.9959234740849907]","[2.5574482747583307, 2.5502147289406496, 2.5194825130231626, 2.5549912163573243, 2.4985872218248706]",0.8948647183060107,0.6439713154374881,0.9973087572373688,2.5361447909808676,0.02321719979828066
4,0.00502516690171547,l1,0.5357192144254758,"[0.8294022691898506, 0.7893912204389218, 0.7482229575073793, 0.748629542143906, 0.7701511348562708]","[0.49204156531253396, 0.39081665841792385, 0.4231681893860862, 0.46342544285073956, 0.40107171036651346]","[0.9854834835437875, 0.9783388430387707, 0.9676228673622657, 0.9568834163408307, 0.9696864595306611]","[2.306927318046172, 2.1585467218956165, 2.1390140142557312, 2.168938401335476, 2.1409093047534453]",0.7771594248272657,0.43410471326675937,0.9716030139632631,2.1828671520572884,0.0630237682950226
5,4.80716010823373,elasticnet,0.8491069198883444,"[0.9566558218007206, 0.9640331013682464, 0.8888795270232929, 0.9408166438617103, 0.9706572152512917]","[0.7891996562238223, 0.7691888195937864, 0.7868130468535205, 0.7927947917557303, 0.7798609891737679]","[0.9994524524011211, 0.9990788711912354, 0.9993303601385318, 0.9996718373780915, 0.9997004244445081]","[2.745307930425664, 2.7323007921532683, 2.6750229340153453, 2.733283272995532, 2.750218628869568]",0.9442084618610525,0.7835714607201256,0.9994467891106975,2.7272267116918756,0.02699341163120808
6,71.7748898768726,l2,0.4023952330631113,"[0.9465262864022799, 0.9438767196804055, 0.8878563379148889, 0.9397385127782247, 0.9672341746616823]","[0.7699935472697348, 0.7816791221632938, 0.7378602118612413, 0.749548803534975, 0.7075378464389221]","[0.9994125360928107, 0.9997329875715607, 0.999170784801756, 0.9994712434911307, 0.9995412085324227]","[2.7159323697648254, 2.72528882941526, 2.624887334577886, 2.6887585598043304, 2.674313229633027]",0.9370464062874962,0.7493239062536334,0.9994657520979361,2.6858360646390658,0.03554820004260829
7,0.0003575214090084339,l1,0.28004360387186555,"[0.1438030095759234, 0.28740786684228153, 0.18945582522053112, 0.28100748954576277, 0.21528103262313789]","[0.04258793762988643, 0.05962416365863582, 0.08218340592242225, 0.06124276771971089, 0.05853136360066884]","[0.698774454796852, 0.7649485090746314, 0.8355745916557686, 0.7227824518128032, 0.8067024868163283]","[0.8851654020026618, 1.1119805395755487, 1.107213822798722, 1.065032709078277, 1.080514883040135]",0.22339104476152732,0.06083392770626485,0.7657564988312766,1.049981471299069,0.0841933396592453
8,0.02748650353692105,l1,0.46614911945838233,"[0.9118194586117899, 0.9050899857230482, 0.8456339689360339, 0.8864840753838199, 0.9451643538907029]","[0.5474748884425634, 0.5887302624483428, 0.5178482926982385, 0.5735506150784051, 0.6008678710439669]","[0.9956712660162733, 0.9949673540388012, 0.9860474989576786, 0.9968449775216031, 0.997861658060119]","[2.4549656130706268, 2.4887876022101922, 2.3495297605919507, 2.456879667983828, 2.543893882994789]",0.898838368509079,0.5656943859423034,0.9942785509188952,2.4588113053702774,0.06340126179952489
9,14.561411588493572,l1,0.46369766041755744,"[0.9210259663114272, 0.9573435199509795, 0.916536286265008, 0.9549702024445925, 0.9713497506661974]","[0.7811429088709694, 0.7952885089551874, 0.7998530331614445, 0.7875688567467637, 0.7799225083682119]","[0.999531558431332, 0.9994323710444667, 0.9995505915532426, 0.9997112829119207, 0.9995634349523502]","[2.7017004336137287, 2.752064399950634, 2.715939910979695, 2.7422503421032767, 2.7508356939867595]",0.944245145127641,0.7887551632205153,0.9995578477786624,2.732558156126818,0.02018348591201584
