trial_number,param_n_neighbors,param_n_trees,param_metric,param_search_k,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,49,32,euclidean,489,"[0.6903300207566251, 0.6967848976279167, 0.7004467033919023, 0.7023774124822377, 0.6907814657131434]","[0.7189596895791271, 0.7273515612174957, 0.7275188570749753, 0.7437255520690872, 0.7292620055265351]","[0.9602876010441704, 0.9835472250219959, 0.9871292467457659, 0.987801528495535, 0.9754952236364518]","[2.369577311379923, 2.4076836838674085, 2.4150948072126437, 2.43390449304686, 2.39553869487613]",0.696144099994365,0.729363533093444,0.9788521649887839,2.404359798076593,0.021386027594038334
1,3,20,hamming,492,"[0.8218645247740533, 0.861968720031858, 0.860118318994414, 0.8519608068483658, 0.7990246860684205]","[0.8460174113934545, 0.8772387349642314, 0.8848647727708364, 0.8446199247647341, 0.8103779928479209]","[0.9394233952220762, 0.956168782781226, 0.951623064429542, 0.9484257327453024, 0.9375960787545371]","[2.607305331389584, 2.6953762377773156, 2.6966061561947923, 2.6450064643584024, 2.5469987576708784]",0.8389874113434225,0.8526237673482356,0.9466474107865366,2.6382585894781947,0.056566525776590916
2,10,34,hamming,220,"[0.7901169595104753, 0.8136709001134562, 0.8279266973682442, 0.849508881354002, 0.7915730818930835]","[0.8168747204063027, 0.8464205966999349, 0.8550810392797582, 0.876716515984652, 0.8177584910256341]","[0.967672052743147, 0.97881891858392, 0.987791806769028, 0.9755747675254881, 0.9577110076190307]","[2.574663732659925, 2.6389104153973113, 2.6707995434170306, 2.701800164864142, 2.5670425805377484]",0.8145593040478524,0.8425702726792563,0.9735137106481228,2.6306432873752312,0.05276918035245814
3,48,42,euclidean,86,"[0.6536079487099917, 0.6573952589913381, 0.6496666415702346, 0.6715771235741195, 0.6415407827152396]","[0.6815496858670419, 0.6847938892281195, 0.6748221193345514, 0.7058214930872424, 0.6700757386385625]","[0.958211540890531, 0.9824294911034626, 0.9719918626153232, 0.9852529122653958, 0.9634608683859609]","[2.2933691754675647, 2.32461863932292, 2.296480623520109, 2.3626515289267576, 2.275077389739763]",0.6547575511121847,0.6834125852311035,0.9722693350521346,2.3104394713954233,0.03054134578195242
4,38,26,manhattan,81,"[0.6739890026565359, 0.6817142203992261, 0.6720201903011751, 0.6701562185395668, 0.6769122181897353]","[0.7147929249907905, 0.7201123324369283, 0.7015735759540982, 0.7013820926001293, 0.7073345271622525]","[0.9866265865070154, 0.9771992166067922, 0.9895338571616742, 0.9807240224979061, 0.9629118110692049]","[2.3754085141543415, 2.3790257694429466, 2.3631276234169474, 2.352262333637602, 2.3471585564211925]",0.6749583700172479,0.7090390906288397,0.9793990987685186,2.363396559414606,0.012460138957633484
5,29,31,cosine,313,"[0.7289642898778194, 0.7195178648614448, 0.7394331196181967, 0.7491965171922143, 0.7263083967893174]","[0.755680012170883, 0.7524499859249881, 0.7699880237095532, 0.7808261949316705, 0.7636312194764883]","[0.9633316539936502, 0.9820927443013642, 0.9779783388604215, 0.9968345634678363, 0.973949631717804]","[2.4479759560423524, 2.454060595087797, 2.487399482188171, 2.526857275591721, 2.4638892479836096]",0.7326840376677984,0.7645150872427167,0.9788373864682152,2.47603651137873,0.028739376650898627
6,39,17,cosine,279,"[0.6708147613923914, 0.6889106676137619, 0.6796057964516191, 0.7102964353158999, 0.6938297999963159]","[0.7004507655938332, 0.7273959795320326, 0.7212584510247629, 0.7465306932989271, 0.7321230609232602]","[0.9627386082328114, 0.9872272761495303, 0.9767053649149239, 0.9942725273513284, 0.9826864241235337]","[2.334004135219036, 2.4035339232953246, 2.377569612391306, 2.4510996559661553, 2.40863928504311]",0.6886914921539976,0.7255517900745632,0.9807260401544255,2.3949693223829867,0.038549548816567705
7,32,46,manhattan,93,"[0.6865469371187711, 0.7118074766193943, 0.7323495956267508, 0.7067582520839072, 0.695875870789356]","[0.7234173803526702, 0.7494934622402637, 0.7667432951717922, 0.7440565515250411, 0.7246884460576779]","[0.9628712479988123, 0.9760606548363957, 0.9897588520904091, 0.9841260398466454, 0.9682204850598933]","[2.3728355654702535, 2.4373615936960538, 2.488851742888952, 2.4349408434555935, 2.3887848019069273]",0.7066676264476358,0.7416798270694891,0.9762074559664311,2.4245549094835566,0.04089095917721013
8,47,27,cosine,167,"[0.6657040314106842, 0.6561476904572772, 0.6500370364522707, 0.6691720658236687, 0.6355940949862738]","[0.7019072707942065, 0.6902123441322914, 0.6785249545921159, 0.701173339739117, 0.6657372172781163]","[0.9573231550601213, 0.9843172837884417, 0.9776828817542862, 0.993569104565957, 0.9722477594055705]","[2.324934457265012, 2.3306773183780103, 2.306244872798673, 2.3639145101287427, 2.2735790716699604]",0.6553309838260349,0.6875110253071695,0.9770280369148754,2.31987004604808,0.029701379992493036
9,30,44,euclidean,125,"[0.692502315876468, 0.6988469811333253, 0.7031521230263682, 0.727646013786004, 0.6935905141484507]","[0.7223601139675386, 0.732763650136238, 0.7375402580514612, 0.7657703753773168, 0.731499622292995]","[0.9532017572324553, 0.9780537973496954, 0.9859923027150237, 0.9853911306964068, 0.9616956769008658]","[2.368064187076462, 2.4096644286192586, 2.4266846837928533, 2.478807519859728, 2.3867858133423114]",0.7031475895941233,0.7379868039651101,0.9728669329788893,2.4140013265381226,0.03802742133797268
10,6,12,hamming,487,"[0.7920135698140465, 0.8517463795888837, 0.8428032040086668, 0.8678610235345033, 0.7877675244781771]","[0.8132618850398291, 0.8762133514259726, 0.8719830572236362, 0.8954306723157586, 0.8115786286149411]","[0.9607788555019767, 0.962766367514474, 0.9710858888970337, 0.9577354178731288, 0.9386025505158311]","[2.5660543103558524, 2.69072609852933, 2.6858721501293368, 2.721027113723391, 2.5379487036089494]",0.8284383402848554,0.8536935189240277,0.9581938160604888,2.640325675269372,0.0736541732395067
11,5,12,hamming,485,"[0.8136663351552578, 0.8213376281959035, 0.8453512240549599, 0.8470782234204097, 0.7944122660195392]","[0.8410063716318221, 0.845831739813748, 0.8718543652048478, 0.8651867081010528, 0.819819748823246]","[0.9577135711456374, 0.9662228073211528, 0.968352795201866, 0.9564937519702658, 0.9502081399255996]","[2.612386277932717, 2.6333921753308043, 2.6855583844616735, 2.668758683491728, 2.5644401547683846]",0.8243691353692141,0.8487397867149434,0.9597982131129044,2.6329071351970614,0.04281718304621376
12,16,17,hamming,381,"[0.7584286880872969, 0.7966085427848654, 0.8089318433120415, 0.8029215797630799, 0.7825242647640642]","[0.7924305968525884, 0.8227707029392393, 0.8330095175317146, 0.83257881582489, 0.8142026766340659]","[0.9682399232404926, 0.980268186212665, 0.9832739136620947, 0.9849128789557597, 0.9516505172649325]","[2.519099208180378, 2.5996474319367695, 2.625215274505851, 2.6204132745437296, 2.5483774586630625]",0.7898829837422696,0.8189984619564996,0.9736690838671889,2.582550529565958,0.041809187863974154
13,17,10,hamming,391,"[0.754340556960366, 0.7793823694199541, 0.7948208241077305, 0.7977382053095131, 0.7827946604387718]","[0.7881625411023149, 0.8004711671385952, 0.8231364466242894, 0.8288758825521656, 0.8113904850138748]","[0.9688478374251801, 0.9788288006446577, 0.9897364348178646, 0.9774216992381902, 0.9539930043115458]","[2.5113509354878607, 2.558682337203207, 2.6076937055498846, 2.604035787099869, 2.548178149764192]",0.7818153232472671,0.810407304486248,0.9737655552874876,2.5659881830210027,0.03617394717547192
14,3,21,hamming,411,"[0.8216535284430141, 0.8619993829854934, 0.8655723958202595, 0.8525062112461057, 0.8204910222622658]","[0.8463455648627155, 0.8770957201134596, 0.8909503711866003, 0.845248827207241, 0.838103626946912]","[0.9394497714121565, 0.954631053460192, 0.9542023640418442, 0.9463514721652877, 0.9469011386135848]","[2.607448864717886, 2.693726156559145, 2.710725131048704, 2.6441065106186343, 2.605495787822763]",0.8444445081514276,0.8595488220633858,0.948307159938613,2.6523004901534266,0.04335669329178287
15,19,22,hamming,408,"[0.7633126723911435, 0.7727332865023591, 0.8169268423012026, 0.7884577491157155, 0.7736624653396865]","[0.7985503379547222, 0.7976510176526388, 0.852247566825134, 0.8183647137173431, 0.7989453148338811]","[0.9735314580160187, 0.9834298213037436, 0.9940086597784754, 0.9825798385722507, 0.975317918657289]","[2.5353944683618845, 2.553814125458741, 2.663183068904812, 2.5894023014053094, 2.5479256988308565]",0.7830186031300215,0.813151790196744,0.9817735392655556,2.5779439325923206,0.04624024963581574
16,10,14,hamming,329,"[0.7872334320939907, 0.8101225518239132, 0.8113279562787605, 0.8364592938307054, 0.7907625875905269]","[0.8101787787102986, 0.841955370917844, 0.8390620841899598, 0.8689230484815995, 0.817821812917794]","[0.9573897174861472, 0.9723416737415012, 0.9697782181049409, 0.9695124814542675, 0.9471256224992785]","[2.554801928290437, 2.6244195964832584, 2.620168258573661, 2.6748948237665724, 2.5557100230075993]",0.8071811643235793,0.8355882190434991,0.963229542657227,2.6059989260243057,0.04568772735505652
17,22,23,hamming,433,"[0.74775873038461, 0.7902707666746177, 0.795460323066423, 0.7992741223211446, 0.7671838190665874]","[0.7835403425359516, 0.8196644354482627, 0.8262620602661725, 0.8304989677027896, 0.7938936103159269]","[0.9761806973952463, 0.983431303639062, 0.9975289462180542, 0.9849201941474603, 0.9783686702395533]","[2.507479770315808, 2.593366505761942, 2.6192513295506497, 2.614693284171395, 2.539446099622068]",0.7799895523026766,0.8107718832538208,0.9840859623278752,2.5748473978843727,0.04403183012520885
18,11,38,manhattan,444,"[0.7676562274955515, 0.7902358993533782, 0.7999493591370314, 0.7905342510659678, 0.7557251872886366]","[0.7975856286487456, 0.818349575188427, 0.8285649182158746, 0.818292413134358, 0.7846218427814524]","[0.9443226663475811, 0.971188521258573, 0.9713887766981092, 0.9687686655403938, 0.9542573810618663]","[2.5095645224918783, 2.579773995800378, 2.599903054051015, 2.5775953297407197, 2.4946044111319554]",0.7808201848681131,0.8094828755937715,0.9619852021813047,2.5522882626431893,0.04199006127827076
19,3,16,hamming,4,"[0.6037884922751724, 0.6297386406902025, 0.6308717506778287, 0.6170791978759848, 0.6054438150190221]","[0.6285250385447019, 0.646373809753928, 0.671595473064922, 0.6450051768175417, 0.6404679152800609]","[0.8363347333274899, 0.850173212092201, 0.8660715319088338, 0.850606173710149, 0.83674356323997]","[2.068648264147364, 2.1262856625363313, 2.1685387556515843, 2.1126905484036755, 2.082655293539053]",0.6173843793076421,0.6463934826922308,0.8479858428557285,2.1117637048556017,0.03504680733981014
20,24,20,hamming,339,"[0.7568881186737706, 0.7656536190183061, 0.7933915176664077, 0.7693907010903351, 0.7678572829595971]","[0.7937509488310458, 0.7894839604966819, 0.8249578314420885, 0.7964509651432894, 0.7956784084949851]","[0.9769990509566298, 0.984930252218317, 0.9975443580032415, 0.9950988387456248, 0.9670782746615113]","[2.527638118461446, 2.540067831733305, 2.615893707111738, 2.560940504979249, 2.5306139661160936]",0.7706362478816834,0.8000644228816182,0.9843301549170649,2.555030825680366,0.03258726522176272
