trial_number,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_criterion,param_class_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
30,209,47,10,1,,False,gini,balanced_subsample,"[0.8943515649764846, 0.9368203782327323, 0.9203977061145368, 0.9243395357834323, 0.9320485931646243]","[0.7326055927185009, 0.7946402085746462, 0.7674020777807061, 0.7964371516276415, 0.7648254880649111]","[0.970359108430994, 0.976547212412275, 0.9694552169397772, 0.9683413746397648, 0.9762169508885262]","[2.5973162661259797, 2.7080077992196534, 2.65725500083502, 2.6891180620508384, 2.6730910321180614]",0.9215915556543621,0.7711821037532812,0.9721839726622674,2.6649576320699104,0.03778327772845775
31,269,45,9,2,sqrt,False,gini,balanced,"[0.9367712845006869, 0.9572866309712239, 0.9560830525933964, 0.9438693930792122, 0.9551014495995866]","[0.8072105732696532, 0.8407613912479394, 0.8297671190001692, 0.8370443368256979, 0.8405712285803518]","[0.9996312142203009, 0.9994285768436957, 0.9996744234413054, 0.9996536129236756, 0.9997365033039708]","[2.743613071990641, 2.797476599062859, 2.785524595034871, 2.780567342828586, 2.7954091814839095]",0.9498223621488211,0.8310709297847623,0.9996248661465896,2.780518158080173,0.01947502764039368
32,263,47,8,2,sqrt,False,gini,balanced,"[0.9365997559996404, 0.9542567011435232, 0.9561920629745886, 0.9550217209944714, 0.9451764779687027]","[0.8057497022868835, 0.8425262848122391, 0.8275718594016831, 0.8411104060385945, 0.8366806256248137]","[0.9996473246221069, 0.9994029327266432, 0.999665529872576, 0.9996570857496289, 0.9997146835921015]","[2.7419967829086307, 2.796185918682405, 2.7834294522488476, 2.7957892127826947, 2.781571787185618]",0.9494493438161854,0.8307277756328428,0.9996175113126112,2.779794630761639,0.019847158427583833
33,245,46,12,5,sqrt,False,gini,balanced,"[0.9424208692626643, 0.9561088007103359, 0.9565701215455412, 0.9492813148181395, 0.9476995817601888]","[0.7821118760584486, 0.8272300490422465, 0.8056439301950878, 0.8208270507579141, 0.8220781886760533]","[0.9995881992287433, 0.9992990533303803, 0.9995397954684943, 0.9995812970120119, 0.9996652383804636]","[2.724120944549856, 2.7826379030829624, 2.7617538472091234, 2.7696896625880654, 2.7694430088167055]",0.9504161376193739,0.8115782189459502,0.9995347166840187,2.761529073249343,0.019870716683575856
34,241,50,7,3,sqrt,False,gini,balanced,"[0.936065133727308, 0.9562023923210964, 0.9601768926874651, 0.949851087311342, 0.9440313897179611]","[0.8005318057666223, 0.8396578937531229, 0.8248268442145017, 0.8319676245394868, 0.8315013129437987]","[0.9995996210814159, 0.9993387847125179, 0.9996121139267045, 0.9996158317106989, 0.9996936443414509]","[2.736196560575346, 2.795199070786737, 2.784615850828671, 2.7814345435615278, 2.7752263470032106]",0.9492653791530344,0.8256970962435066,0.9995719991545575,2.7745344745510985,0.020231386374061636
35,165,43,9,2,sqrt,False,gini,balanced,"[0.9362433597043608, 0.9561580060734173, 0.956780539618595, 0.960883954679539, 0.9592207397538846]","[0.7929054818739674, 0.835002841243268, 0.8216793320313001, 0.8431594251526373, 0.8413107551849773]","[0.9996462727449617, 0.9994657824158639, 0.9996899111233788, 0.9996657908577186, 0.9997238877404121]","[2.72879511432329, 2.7906266297325493, 2.7781497827732737, 2.803709170689895, 2.800255382679274]",0.9538573199659593,0.8268115670972301,0.9996383289764669,2.780307216039657,0.027240492925918354
36,185,47,12,1,sqrt,True,gini,balanced,"[0.9422884232206097, 0.9344644317742368, 0.9433379739900899, 0.9486222769404218, 0.9541675934529252]","[0.8148688897504861, 0.8560054954176844, 0.8400661915556974, 0.8523356449338259, 0.8558558851840067]","[0.9997002191087101, 0.9995833789028393, 0.9997189645782418, 0.9997358811419808, 0.9998270026734601]","[2.756857532079806, 2.7900533060947605, 2.783123130124029, 2.8006938030162285, 2.8098504813103924]",0.9445761398756567,0.8438264213683402,0.9997130892810464,2.788115650525043,0.01809067454329519
37,186,11,14,1,log2,True,gini,balanced,"[0.9211408991210258, 0.9335941789004661, 0.9413924472030608, 0.9226386173707077, 0.9283501037761401]","[0.6588394899031802, 0.5891892901030361, 0.621192658741745, 0.6388255687424056, 0.6416874042127089]","[0.9961075991272946, 0.9969073920800997, 0.9966904383584161, 0.9970760658034444, 0.9969546012000443]","[2.576087988151501, 2.519690861083602, 2.5592755443032216, 2.5585402519165577, 2.5669921091888934]",0.92942324927428,0.6299468823406151,0.9967472193138598,2.5561173509287554,0.019286370914846727
38,146,37,11,9,sqrt,True,gini,balanced,"[0.9418944071942427, 0.9532375680215505, 0.952639051219288, 0.9446116871995643, 0.9453374761107951]","[0.7606701535850762, 0.770250609286205, 0.7946145397283019, 0.7908190069056166, 0.8034627681541099]","[0.999468548059933, 0.9992087025470591, 0.9995431029955002, 0.9994982323688438, 0.9995634043397559]","[2.7020331088392515, 2.722696879854815, 2.7467966939430903, 2.7349289264740246, 2.748363648604661]",0.947544037949088,0.7839634155318619,0.9994563980622184,2.7309638515431685,0.017172561543028323
39,218,48,12,1,,True,gini,balanced_subsample,"[0.9110659746072213, 0.9247232398857639, 0.9398760323201055, 0.9233789888182352, 0.9293383286473699]","[0.7746759581537218, 0.8232941965818131, 0.8174304917999777, 0.8242846373811973, 0.8166937834154102]","[0.9959661928910031, 0.991901858700572, 0.9928124247568282, 0.9922266705343326, 0.9964180310808678]","[2.681708125651946, 2.739919295168149, 2.7501189488769113, 2.739890296733765, 2.742450143143648]",0.9256765128557392,0.811275813466424,0.9938650355927207,2.730817361914884,0.024838491419055985
