trial_number,param_n_neighbors,param_n_trees,param_metric,param_search_k,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,3,30,euclidean,211,"[0.8176225326735458, 0.817828397205222, 0.8402811045840085, 0.7894549625073931, 0.8249944380178167]","[0.8328353175148585, 0.8296138401628184, 0.8729389278386605, 0.8072156738866405, 0.8541055220247382]","[0.9479288197902398, 0.9356579085377752, 0.9514793416182337, 0.9411001548436323, 0.9438927483551238]","[2.598386669978644, 2.5831001459058154, 2.664699374040903, 2.5377707912376657, 2.6229927083976787]",0.8180362869975972,0.8393418562855433,0.9440117946290009,2.601389937912141,0.04210866022351226
1,14,13,hamming,22,"[0.6895604187526103, 0.6753870805249862, 0.681538854488074, 0.6656065670773448, 0.6733729463349153]","[0.7304213317149493, 0.7299924389273458, 0.7265723172945886, 0.7142808056609666, 0.7189521303558918]","[0.9558073461973818, 0.9370210417182796, 0.9468502163143726, 0.9249251871387739, 0.9460152843374374]","[2.3757890966649415, 2.342400561170612, 2.3549613880970353, 2.304812559877085, 2.3383403610282443]",0.6770931734355862,0.7240438047907485,0.942123815141249,2.3432607933675835,0.023230203377527212
2,36,33,euclidean,195,"[0.6949586831758073, 0.6851004526600755, 0.6946895444439285, 0.6826131196412872, 0.7009781568750141]","[0.7317864867366451, 0.7202885768735076, 0.7230044878001712, 0.7180539997741284, 0.7395490058235376]","[0.9797188883627325, 0.9921483539624806, 0.9836759311191817, 0.9860033534157564, 0.9748658453310393]","[2.406464058275185, 2.3975373834960636, 2.4013699633632815, 2.386670472831172, 2.415393008029591]",0.6916679913592225,0.726536511401598,0.9832824744382382,2.401486977199059,0.009521458016902207
3,36,43,hamming,87,"[0.6873967786022324, 0.7446416394891732, 0.7103234240998417, 0.6864454121665989, 0.6965975978471916]","[0.7275930386526153, 0.7849735358368194, 0.7490762848455481, 0.7208520346695526, 0.7365740635544329]","[0.975601305288924, 0.9794058133602452, 0.9882549606439901, 0.9755505783599615, 0.9880365246917671]","[2.3905911225437717, 2.509020988686238, 2.44765466958938, 2.382848025196113, 2.4212081860933914]",0.7050809704410075,0.7438137915117936,0.9813698364689776,2.4302645984217786,0.045627444135457614
4,28,48,cosine,124,"[0.6994584091467289, 0.7127665613336844, 0.6865881838929895, 0.6710603177357071, 0.6974440624555633]","[0.7263411464930232, 0.7493957833608879, 0.7132572650558386, 0.7031208263710934, 0.7329948887696156]","[0.9779068701492578, 0.9630712713821112, 0.9819862254995807, 0.9639891692462557, 0.9773690424706991]","[2.40370642578901, 2.4252336160766834, 2.3818316744484087, 2.3381703133530563, 2.407807993695878]",0.6934635069129346,0.7250219820100918,0.972864515749581,2.3913500046726073,0.02996772879741821
5,44,47,euclidean,250,"[0.6890842115190403, 0.690392720359908, 0.6897828298825393, 0.6927009154445806, 0.6945700858930564]","[0.7177755154692775, 0.7246106145280481, 0.7183456615622835, 0.7262016979402116, 0.7259518554130905]","[0.9863508577880006, 0.9821165739692154, 0.9841335091599737, 0.9860095775075897, 0.9763596587184834]","[2.3932105847763183, 2.3971199088571713, 2.3922620006047963, 2.404912190892382, 2.39688160002463]",0.6913061526198249,0.7225770689825822,0.9829940354286526,2.3968772570310595,0.00445789497924716
6,25,27,euclidean,463,"[0.7460514319257315, 0.7182407929381186, 0.7408490832229573, 0.729130114183007, 0.7431271977528193]","[0.7776475949184644, 0.7575330363985312, 0.7775168254837586, 0.7649766965352005, 0.7848910187732778]","[0.9822305906049327, 0.9784148181683279, 0.9853278754223703, 0.9648750806777048, 0.9765311533321275]","[2.5059296174491283, 2.454188647504978, 2.5036937841290863, 2.4589818913959123, 2.504549369858225]",0.7354797240045268,0.7725130344218465,0.9774759036410927,2.4854686620674658,0.023642620458505046
7,4,36,euclidean,87,"[0.8028876952836979, 0.7796698795313429, 0.77638114695999, 0.797365723703971, 0.7977899067101313]","[0.8161274254117317, 0.7951419870449206, 0.7974270391172072, 0.8151962108778075, 0.81947939420955]","[0.9542752441820458, 0.9261596776949781, 0.945764993849442, 0.9384326345077816, 0.9449163061742609]","[2.5732903648774754, 2.5009715442712417, 2.519573179926639, 2.55099456908956, 2.562185607093942]",0.7908188704378267,0.8086744113322434,0.9419097712817017,2.5414030530517717,0.02702577529255363
8,41,16,hamming,401,"[0.736488487922018, 0.7318597908207194, 0.715638484256282, 0.7358057338784518, 0.7370047885888347]","[0.7730401925855199, 0.7687087118806353, 0.7497244584397873, 0.7724962344883748, 0.7728121317801288]","[0.9883922697156237, 0.9874004797157311, 0.997896629788999, 0.9856810177595159, 0.992159318968993]","[2.4979209502231616, 2.487968982417086, 2.463259572485068, 2.4939829861263423, 2.5019762393379565]",0.7313594570932611,0.7673563458348892,0.9903059431897724,2.489021746117923,0.013685222193409176
9,15,47,manhattan,224,"[0.7711277838382402, 0.7472951373767971, 0.7540167489262067, 0.7699152273622417, 0.7453667560030471]","[0.7956895697963949, 0.7772139632571107, 0.788766527867421, 0.7941489938119703, 0.7766187095928543]","[0.9679703459441014, 0.9608791943979301, 0.9813102501130038, 0.9673037282007635, 0.9772802643864792]","[2.534787699578737, 2.485388295031838, 2.5240935269066314, 2.5313679493749754, 2.4992657299823806]",0.7575443307013066,0.7864875528651502,0.9709487566084556,2.5149806401749126,0.019321353488078515
