trial_number,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_criterion,param_class_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,269,49,18,6,,False,entropy,balanced_subsample,"[0.853531946570833, 0.8836626240866446, 0.8590201221728924, 0.8693781853473631, 0.8921821578983676]","[0.6482709157236299, 0.6503650176900031, 0.6422779055382882, 0.6352197043636897, 0.6658828772432976]","[0.9452922407546103, 0.958770619173604, 0.9603137840221905, 0.9537416179389576, 0.9655440216954001]","[2.4470951030490733, 2.4927982609502517, 2.461611811733371, 2.4583395076500105, 2.5236090568370653]",0.8715550072152201,0.6484032841117818,0.9567324567169525,2.4766907480439544,0.027931431108878798
1,228,32,10,3,sqrt,False,entropy,balanced_subsample,"[0.9590738278122763, 0.9341972856129215, 0.9216378577220842, 0.9293682915156538, 0.9524349126188314]","[0.8107649344909269, 0.7803046091473701, 0.800218407103811, 0.7758017182805854, 0.7984109711575268]","[0.9997317665260462, 0.999670699373868, 0.9995704110363183, 0.9989721954714795, 0.9996829678442275]","[2.7695705288292496, 2.7141725941341592, 2.7214266758622134, 2.704142205267719, 2.7505288516205857]",0.9393424350563535,0.7931001280360441,0.9995256080503878,2.7319681711427855,0.024333212792726003
2,148,46,8,10,,False,entropy,balanced_subsample,"[0.8572103059754245, 0.9033021828430138, 0.8519395772784503, 0.8657179175423684, 0.8920406609400368]","[0.6135751059043432, 0.6146287679578354, 0.610091707254413, 0.5929051165023349, 0.6195421263729144]","[0.9459778633557779, 0.9685805873330652, 0.9603039042311297, 0.9544641105449456, 0.9673266290497107]","[2.4167632752355455, 2.4865115381339145, 2.422335188763993, 2.4130871445896487, 2.4789094163626615]",0.8740421289158589,0.6101485647983682,0.9593306189029258,2.4435213126171527,0.032222850180107274
3,210,6,13,8,,True,entropy,balanced_subsample,"[0.8166043277500978, 0.8136696922158219, 0.8178109042072775, 0.743292597863723, 0.8437923327537223]","[0.5188902653392892, 0.46981937631678283, 0.4446206325229167, 0.42298562123816, 0.4482340392700012]","[0.9834112139857152, 0.9831399051673724, 0.9796742055599545, 0.9673001492264461, 0.9857435882297697]","[2.3189058070751023, 2.2666289736999774, 2.242105742290149, 2.133578368328329, 2.2777699602534933]",0.8070339709581285,0.4609099869374299,0.9798538124338517,2.2477977703294103,0.062270009243198234
4,104,10,12,2,,False,gini,balanced,"[0.41342350125291594, 0.43720904906099434, 0.3626665821909592, 0.4266774860691971, 0.4146362162719639]","[0.33137854152911295, 0.3655661951098467, 0.29840941955752376, 0.33570425411908, 0.3691376233700081]","[0.7864568472853207, 0.7881299989005018, 0.7577841057158581, 0.7999753151090359, 0.7885935861035722]","[1.5312588900673496, 1.5909052430713428, 1.418860107464341, 1.562357055297313, 1.5723674257455442]",0.41092256696920604,0.3400392067371143,0.7841879706228578,1.5351497443291782,0.06127395467759025
5,67,23,10,2,,False,gini,balanced,"[0.7711151376209423, 0.7953994712303768, 0.7875563829563358, 0.7704606812136485, 0.8424803220093507]","[0.6511227356258236, 0.6619114372634739, 0.5877088063360258, 0.6959787597100292, 0.6851810667286441]","[0.9324149564126577, 0.961049898715411, 0.9646280247884823, 0.9602897256119978, 0.9803340531376787]","[2.3546528296594236, 2.418360807209262, 2.3398932140808437, 2.426729166535676, 2.5079954418756736]",0.7934023990061309,0.6563805611327993,0.9597433317332456,2.4095262918721754,0.05988325882623407
6,258,37,18,3,,False,entropy,balanced,"[0.8513064138019459, 0.8539502826159773, 0.857692705485953, 0.8710640933475999, 0.8898824223228887]","[0.6733662410291553, 0.6751862934181783, 0.6846880724359221, 0.672274835651883, 0.6914447057997709]","[0.9392136763671922, 0.9539560783939435, 0.9573105244465778, 0.9525091649250167, 0.9642061626811612]","[2.4638863311982933, 2.483092654428099, 2.499691302368453, 2.4958480939245, 2.545533290803821]",0.864779183514873,0.679392029666982,0.9534391213627783,2.497610334544633,0.02702634675044704
7,205,29,16,9,,False,entropy,balanced,"[0.8562300855255291, 0.9027419912209591, 0.8551766960895761, 0.8676363507271699, 0.8956781301621868]","[0.6137233840077317, 0.6228151391387615, 0.6238243771370053, 0.6120352630798205, 0.6341157257040558]","[0.9454030200549322, 0.9678110359737901, 0.9628758071117537, 0.9553961230825782, 0.9693520292383587]","[2.415356489588193, 2.4933681663335108, 2.4418768803383353, 2.4350677368895686, 2.499145885104601]",0.8754926507450843,0.621302777813475,0.9601676030922827,2.456963031650842,0.033295126349910234
8,263,42,6,7,sqrt,True,entropy,balanced,"[0.9590756794869729, 0.9297796061290446, 0.9234840782647805, 0.9288746897533633, 0.9555614697181223]","[0.7921423982839151, 0.7651865137573981, 0.7603841069239227, 0.7669851757597095, 0.7590908260186847]","[0.9996564615270125, 0.9995573456513671, 0.999492770855792, 0.9985212670947458, 0.9995577875173352]","[2.7508745392979006, 2.69452346553781, 2.683360956044495, 2.6943811326078184, 2.7142100832541423]",0.9393551046704568,0.768757804148726,0.9993571265292506,2.7074700353484333,0.023872829570743298
9,201,25,8,6,log2,True,gini,balanced_subsample,"[0.9580614372080255, 0.9259226153891674, 0.9407436177557209, 0.9241720727001338, 0.9511009040884152]","[0.7379572609840227, 0.7516247412239049, 0.7601600255313907, 0.7240942928536555, 0.726116545631658]","[0.9994904928407098, 0.9993793509699441, 0.99935737701896, 0.9989529040910551, 0.9995716568489095]","[2.695509191032758, 2.6769267075830165, 2.7002610203060717, 2.6472192696448444, 2.6767891065689824]",0.9400001294282927,0.7399905732449263,0.9993503563539157,2.6793410590271347,0.018671926412816033
10,298,17,2,4,sqrt,True,gini,balanced_subsample,"[0.9498483885397495, 0.9214385390309495, 0.9293272854569359, 0.9138880181346412, 0.9449939133091572]","[0.7076993520030078, 0.7471987710801965, 0.7358483343967224, 0.7120481475224054, 0.6972977055912668]","[0.9987009323356447, 0.9986411140534136, 0.9983949282083772, 0.9978387737048042, 0.999145770144265]","[2.656248672878402, 2.6672784241645595, 2.6635705480620353, 2.6237749393618506, 2.6414373890446887]",0.9318992288942868,0.7200184621187198,0.9985443036893009,2.650461994702307,0.016010962153334526
11,243,37,4,5,sqrt,True,entropy,balanced,"[0.9601150794879039, 0.9341810762772803, 0.9245277886327632, 0.9262906799992355, 0.9564834471538856]","[0.7996254508857596, 0.7726374348374963, 0.7725003842705616, 0.776797836182263, 0.777674256089736]","[0.9997057743175424, 0.9995976014686835, 0.9995424599208874, 0.9984549694802104, 0.9996137068427153]","[2.759446304691206, 2.70641611258346, 2.696570632824212, 2.701543485661709, 2.733771410086337]",0.9403196143102137,0.7798470724531632,0.9993829024060078,2.719549589169385,0.023743413845100363
12,162,34,3,4,sqrt,True,entropy,balanced,"[0.9478755887334609, 0.9313313255048695, 0.9253638890484897, 0.9272785075913048, 0.952801118160787]","[0.8199110899003084, 0.7849016673343773, 0.7976846023143485, 0.777943676177689, 0.7883940286227837]","[0.9997217398253098, 0.9996158193085551, 0.9995702599434036, 0.9985611048681295, 0.9996349298826236]","[2.7675084184590792, 2.7158488121478017, 2.722618751306242, 2.7037832886371236, 2.7408300766661946]",0.9369300858077825,0.7937670128699013,0.9994207707656043,2.730117869443288,0.022208815612096148
13,144,34,2,1,sqrt,True,entropy,balanced_subsample,"[0.8889309943736783, 0.8869978294482731, 0.8951712840497283, 0.9148548317654931, 0.9120117730193128]","[0.802462578666082, 0.8357108561380872, 0.8254431663686131, 0.8094679658390698, 0.8427493117323211]","[0.9997469278226534, 0.9994391226681744, 0.9994504592880287, 0.9992592063180404, 0.9989459475483877]","[2.6911405008624136, 2.7221478082545345, 2.7200649097063705, 2.723582003922603, 2.7537070323000217]",0.8995933425312972,0.8231667757488346,0.9993683327290569,2.722128451009189,0.0198183311311737
14,157,31,14,4,sqrt,False,entropy,balanced_subsample,"[0.960319408694342, 0.9318788097592325, 0.9254163251040646, 0.9303338929903309, 0.9590863033242253]","[0.7862106253953433, 0.7721614650045748, 0.7904878671463179, 0.7757752524369903, 0.7781415832894173]","[0.9997199325676368, 0.999634858570614, 0.9995530980184054, 0.9989439005954682, 0.9996386641836569]","[2.746249966657322, 2.7036751333344213, 2.715457290268788, 2.7050530460227895, 2.7368665507972993]",0.9414069479744389,0.7805553586545287,0.9994980907871562,2.7214603974161236,0.017166399731982838
15,110,19,5,4,log2,True,entropy,balanced,"[0.9661376483905371, 0.9232142466611286, 0.966934068218337, 0.9229931033291723, 0.9488219957323141]","[0.7275597603184919, 0.7334534364923776, 0.7226748996975779, 0.7285674980442347, 0.7130730711473348]","[0.9993927208576969, 0.9992787676219832, 0.9991238974398577, 0.9985587454137095, 0.9994253510737684]","[2.693090129566726, 2.6559464507754895, 2.6887328653557727, 2.6501193467871165, 2.661320417953417]",0.9456202124662978,0.7250657331400034,0.9991558964814032,2.6698418420877044,0.0176183258041145
16,182,41,10,1,sqrt,False,entropy,balanced_subsample,"[0.946568192871186, 0.9239779574386909, 0.8972118403535742, 0.9143326498050623, 0.9340680805752178]","[0.8521570080381631, 0.839426813794008, 0.8264309902963776, 0.8093720591157068, 0.8466512419689142]","[0.9997375270527761, 0.9997803069926283, 0.999449939628944, 0.9993204564235222, 0.9996800430273436]","[2.798462727962125, 2.7631850782253276, 2.723092770278896, 2.7230251653442914, 2.7803993655714754]",0.9232317442087462,0.8348076226426338,0.9995936546250427,2.7576330214764226,0.030354338563561355
17,231,41,10,1,sqrt,False,entropy,balanced_subsample,"[0.9465883727919754, 0.9206446241053575, 0.8999944900758113, 0.9143323264231108, 0.9340756425847688]","[0.8525067636095688, 0.8381121803395095, 0.828122767535246, 0.8102099836780816, 0.8469989865844489]","[0.9997371976062378, 0.9997799139428478, 0.9994804377348936, 0.9994538143585, 0.9996792683962157]","[2.798832334007782, 2.758536718387715, 2.727597695345951, 2.7239961244596924, 2.7807538975654333]",0.9231270911962047,0.835190136349371,0.999626126407739,2.7579433539533147,0.02920909124822039
18,185,41,8,1,sqrt,False,gini,balanced_subsample,"[0.9546783169601087, 0.9335220638905222, 0.9072024710095782, 0.9245733270844128, 0.9434321814158098]","[0.8457404231095635, 0.8341956878037251, 0.8203301246968515, 0.8041681066527397, 0.8396919509177769]","[0.9998194278632759, 0.999756484679289, 0.9996523462086329, 0.9994806078150286, 0.999812375365943]","[2.800238167932948, 2.7674742363735363, 2.7271849419150627, 2.728222041552181, 2.78293650769953]",0.9326816720720863,0.8288252586361313,0.9997042483864339,2.7612111790946514,0.029258809475611772
19,290,50,7,1,log2,False,gini,balanced_subsample,"[0.9445546963113094, 0.9292761689296708, 0.905841639270162, 0.9215806995520373, 0.9417588235749222]","[0.8538845043208663, 0.8446086046272602, 0.8309024764746314, 0.8167806172414888, 0.8521960139239277]","[0.9998130776620445, 0.999813239727781, 0.9996724352873825, 0.9997332859556097, 0.9998042033703025]","[2.7982522782942203, 2.773698013284712, 2.736416551032176, 2.7380946027491357, 2.7937590408691526]",0.9286024055276203,0.8396744433176349,0.9997672484006241,2.7680440972458795,0.026468975025421927
20,298,50,7,2,log2,False,gini,balanced_subsample,"[0.9626987109740951, 0.9327926600837604, 0.9485093113176386, 0.935502007702382, 0.9591909014350286]","[0.822634382160944, 0.8142057087887128, 0.8137766936249784, 0.7955157982100332, 0.8307133637801498]","[0.9997507796765589, 0.9997400046688449, 0.9996589052962841, 0.9994673790346966, 0.9997513306351979]","[2.785083872811598, 2.746738373541318, 2.761944910238901, 2.7304851849471117, 2.7896555958503764]",0.9477387183025809,0.8153691893129636,0.9996736798623165,2.762781587477861,0.02245326976525919
21,300,49,7,2,log2,False,gini,balanced_subsample,"[0.9646632159583713, 0.93237093532592, 0.9486326644278484, 0.9315395585633673, 0.9539916097988513]","[0.8148426919361388, 0.8241889514899922, 0.8150961539406767, 0.787567182449589, 0.8267311453428314]","[0.99974674010362, 0.9997323165852712, 0.9996820642989411, 0.999464451530909, 0.999754239113461]","[2.7792526479981303, 2.756292203401183, 2.763410882667466, 2.718571192543865, 2.7804769942551437]",0.9462395968148718,0.8136852250318457,0.9996759623264404,2.7596007841731582,0.022498457039139403
22,281,46,8,1,log2,False,gini,balanced_subsample,"[0.9521760159914439, 0.9317998135039269, 0.9049702529833604, 0.9287754800760051, 0.9437734313877648]","[0.8516107806829813, 0.8418192672563923, 0.827425935183779, 0.8136029620661589, 0.8469641868902817]","[0.9998329456215217, 0.9998129972287347, 0.9997375495912222, 0.9997437719619775, 0.9998126703873599]","[2.803619742295947, 2.773432077989054, 2.7321337377583617, 2.7421222141041417, 2.7905502886654063]",0.9322989987885002,0.8362846264159186,0.9997879869581633,2.7683716121625817,0.02743044703778245
23,280,50,6,2,log2,False,gini,balanced_subsample,"[0.9645228045460239, 0.9312707020101412, 0.9464171061106706, 0.934598586200613, 0.9569896624486328]","[0.8051926483591002, 0.8157890294081537, 0.8133824339250847, 0.7952086555193297, 0.830318186404435]","[0.9997487848034828, 0.9997211967375715, 0.9996751090060509, 0.9994966163156438, 0.9997508302752725]","[2.769464237708607, 2.7467809281558666, 2.759474649041806, 2.7293038580355864, 2.7870586791283403]",0.9467597722632164,0.8119781907232205,0.9996785074276042,2.7584164704140415,0.01962895344829436
24,283,45,5,3,log2,False,gini,balanced_subsample,"[0.9659685776385727, 0.9317363599555928, 0.9493418500304546, 0.9372185450288326, 0.9615619731810712]","[0.8069469776360786, 0.8078071428789271, 0.8071398007632006, 0.7817920199626681, 0.7876553084137334]","[0.9997125343892499, 0.9996849499457109, 0.9996534795897289, 0.9993979191474387, 0.9997309133416354]","[2.7726280896639013, 2.739228452780231, 2.756135130383384, 2.7184084841389393, 2.74894819493644]",0.9491654611669048,0.7982682499309215,0.9996359592827527,2.7470696703805793,0.018010510853751466
25,248,45,8,1,log2,False,gini,balanced_subsample,"[0.9526523839616269, 0.9312546995889213, 0.9103799633480638, 0.9331258523368171, 0.9420976463447951]","[0.850831241277193, 0.8405953741965863, 0.8291116945334541, 0.811354203089021, 0.8441139646244942]","[0.9998257854647683, 0.9998179968178456, 0.9997458522159104, 0.999722932018595, 0.9998247598336057]","[2.803309410703588, 2.7716680706033534, 2.7392375100974284, 2.744202987444433, 2.786036370802895]",0.9339021091160449,0.8352012955441497,0.999787465270145,2.7688908699303396,0.024393155940660053
26,248,45,9,1,log2,False,gini,balanced_subsample,"[0.9555997548217192, 0.9312548203887312, 0.9107397250257349, 0.928295935651596, 0.9570858148770301]","[0.8185170791577875, 0.8442839071933272, 0.8261280600854738, 0.8141366588792147, 0.8451688998532453]","[0.9998270135651207, 0.9998122960342092, 0.9997286916964684, 0.9997136183303112, 0.9998283860244577]","[2.7739438475446274, 2.7753510236162677, 2.736596476807677, 2.742146212861122, 2.802083100754733]",0.9365952101529624,0.8296469210338098,0.9997820011301133,2.7660241323168853,0.02402541962882351
27,280,37,12,3,log2,False,gini,balanced_subsample,"[0.9755996252326679, 0.9304355677875888, 0.9488069360280074, 0.9387779246656224, 0.9577160410795611]","[0.7792560257312405, 0.7946932210548283, 0.7999079377766424, 0.7691380709348175, 0.7744310360399557]","[0.9997093309375689, 0.9996652698535717, 0.9996224260988972, 0.9993703992590571, 0.9997346128201069]","[2.7545649819014772, 2.7247940586959887, 2.7483372999035467, 2.707286394859497, 2.7318816899396237]",0.9502672189586896,0.7834852583074968,0.9996204077938404,2.7333728850600267,0.01690777085129877
28,231,45,4,1,log2,False,gini,balanced_subsample,"[0.9423707563306348, 0.9240713747891605, 0.9068548719006257, 0.9223448603716328, 0.9436167945778946]","[0.8154382457742689, 0.8453875949179147, 0.8300527635446667, 0.8095569351812929, 0.8462352984759909]","[0.9998241513128555, 0.9997538914852541, 0.9997098568795505, 0.9996871128156356, 0.9998158776146707]","[2.757633153417759, 2.7692128611923295, 2.736617492324843, 2.731588908368561, 2.7896679706685563]",0.9278517315939897,0.8293341675788268,0.9997581780215933,2.75694407719441,0.021344346931136
29,268,47,20,5,log2,False,gini,balanced_subsample,"[0.9646570905768053, 0.929586226770611, 0.9498398963911419, 0.937009099809469, 0.9592814243886342]","[0.7766493941355017, 0.7918355178056758, 0.7977305372057083, 0.7666693943878176, 0.7721295577025142]","[0.9996954366851466, 0.9996532016507931, 0.9996094603739253, 0.9993231434550089, 0.9997028492309457]","[2.7410019213974537, 2.7210749462270796, 2.747179893970775, 2.703001637652296, 2.731113831322094]",0.9480747475873322,0.7810028802474435,0.9995968182791639,2.72867444611394,0.015602655801369894
30,251,38,15,2,log2,False,gini,balanced_subsample,"[0.9669958139283027, 0.9330139393895596, 0.9498118825112003, 0.9367706208435324, 0.9614696244585423]","[0.7941641685245269, 0.8170021976745351, 0.8023435588702131, 0.7780725504195866, 0.7876750783837138]","[0.9997330386703566, 0.9997207371191824, 0.9996669081792042, 0.9994174362855857, 0.9997532684654675]","[2.760893021123186, 2.7497368741832773, 2.7518223495606176, 2.7142606075487046, 2.7488979713077235]",0.9496123762262275,0.7958515107745152,0.9996582777439593,2.7451221647447017,0.016009999115826654
31,247,44,8,1,log2,False,gini,balanced_subsample,"[0.955841318138842, 0.9317026931057875, 0.9107595749760855, 0.9272313485800524, 0.9570012564080291]","[0.8183390148706029, 0.8402114756781706, 0.8280279908278697, 0.8082641281469943, 0.8454429483055275]","[0.9998302439863263, 0.9998135184373642, 0.9997261173366642, 0.99973207337597, 0.9998305501584985]","[2.774010576995771, 2.7717276872213223, 2.7385136831406194, 2.7352275501030165, 2.8022747548720552]",0.9365072382417592,0.828057111565833,0.9997865006589646,2.764350850466557,0.024906530878372107
32,280,47,9,1,log2,False,gini,balanced_subsample,"[0.9556660882029034, 0.9312750024287618, 0.9065006543721519, 0.9310271857038, 0.9417823893718125]","[0.820592432659207, 0.8405770820696438, 0.8297522233772604, 0.8134684987081635, 0.8474176669437251]","[0.9998298249595734, 0.9998148504496185, 0.9997225606123906, 0.9997570666116308, 0.9998287116931907]","[2.776088345821684, 2.771666934948024, 2.7359754383618027, 2.7442527510235943, 2.7890287680087282]",0.9332502640158861,0.8303615807515999,0.9997906028652809,2.763402447632767,0.02002445393626471
33,219,44,11,3,log2,False,gini,balanced_subsample,"[0.9629775913722218, 0.9309382183164888, 0.9502780464924742, 0.9349228259698928, 0.9615481987333331]","[0.7912092437102629, 0.8063246183325029, 0.8084094550157945, 0.7748648800011593, 0.7873832983943727]","[0.9997112481900104, 0.9996743803841868, 0.9996367319908234, 0.9994003063853159, 0.9997406370801678]","[2.753898083272495, 2.7369372170331783, 2.758324233499092, 2.709188012356368, 2.7486721342078737]",0.9481329761768821,0.7936382990908184,0.9996326608061008,2.741403936073801,0.01762409829327108
34,242,48,9,2,log2,False,gini,balanced_subsample,"[0.9617220927610178, 0.9330166463032089, 0.9497618131957104, 0.9362242420160307, 0.954014232488489]","[0.8220081619338806, 0.8235742773240259, 0.8176086984346846, 0.7889612197998003, 0.8265103415698678]","[0.9997427234272448, 0.9997267484934695, 0.9996905620973056, 0.9994947934709297, 0.9997489297976891]","[2.783472978122143, 2.756317672120704, 2.7670610737277004, 2.724680255286761, 2.780273503856046]",0.9469478053528914,0.8157325398124519,0.9996807514573278,2.762361096622671,0.021189735447252868
