trial_number,param_n_neighbors,param_n_trees,param_metric,param_search_k,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,29,39,hamming,65,"[0.6809755867491104, 0.7224159065213611, 0.7339576448868508, 0.6956746512954262, 0.6860605040220982]","[0.7256699142715521, 0.7636335729409433, 0.7678209018771832, 0.744609488995946, 0.7288245113404173]","[0.9845983302512963, 0.9825630585954157, 0.9503715231727057, 0.9796971615144823, 0.9581169214046463]","[2.3912438312719586, 2.4686125380577204, 2.4521500699367396, 2.4199813018058545, 2.373001936767162]",0.7038168586949693,0.7461116778852084,0.9710693989877093,2.420997935567887,0.035854043045487026
1,12,12,hamming,141,"[0.7905709833447623, 0.7782424862042457, 0.7722819393791243, 0.7818675195660554, 0.7719054101594639]","[0.8238045377381523, 0.7984532711837281, 0.7951913728092489, 0.8138993002665924, 0.8048826890798163]","[0.9816285071440187, 0.9728957810969747, 0.9523959896232086, 0.981847203439287, 0.9851768662798758]","[2.5960040282269334, 2.5495915384849486, 2.519869301811582, 2.5776140232719347, 2.561964965519156]",0.7789736677307303,0.8072462342155076,0.9747888695166729,2.561008771462911,0.025784203934811886
2,35,34,manhattan,144,"[0.6994460193878622, 0.7019042782634237, 0.7106679398006978, 0.7017202776738057, 0.6899302806893417]","[0.7298069443254961, 0.7421021590747902, 0.7535992076610654, 0.7373142740811545, 0.7265118348793856]","[0.9701842709239168, 0.9599059363679885, 0.9525420890942256, 0.9880506565090522, 0.9769576011088804]","[2.399437234637275, 2.4039123737062025, 2.416809236555989, 2.4270852082640126, 2.393399716677608]",0.7007337591630263,0.7378668840043783,0.9695281108008127,2.4081287539682177,0.012206251248662627
3,36,28,cosine,113,"[0.6545636899976192, 0.6489219629661368, 0.6880364604187951, 0.6568779535871359, 0.664289751086541]","[0.6851895193673372, 0.6792169968981174, 0.7246850333116245, 0.6872650747113245, 0.7049772400689557]","[0.9745999322205658, 0.9575942816023054, 0.9434675326971032, 0.9769218343420153, 0.9623680936083839]","[2.3143531415855225, 2.2857332414665597, 2.356189026427523, 2.3210648626404757, 2.3316350847638807]",0.6625379636112456,0.696266772871472,0.9629903348940749,2.321795071376792,0.022961450772026968
4,21,48,euclidean,191,"[0.7381545423358179, 0.7629163682040822, 0.7469130934708155, 0.7313649928368967, 0.7497557153309695]","[0.7762522179306728, 0.7886561055130492, 0.7753943275730623, 0.7660329620366246, 0.7885129172601573]","[0.9664823785310852, 0.9519953536660738, 0.9511114437529603, 0.9895039829629525, 0.9685893086056361]","[2.480889138797576, 2.5035678273832054, 2.473418864796838, 2.486901937836474, 2.506857941196763]",0.7458209424357164,0.7789697060627132,0.9655364935037415,2.490327142002171,0.012925020986369818
5,7,36,euclidean,236,"[0.809590493177331, 0.7873944818961403, 0.7940682165444177, 0.7816158022006688, 0.7904533215272062]","[0.8304204275361359, 0.811993932826519, 0.8157963181732475, 0.8132136561904555, 0.8191592057663527]","[0.9514487374832902, 0.946548908509241, 0.9373506754057586, 0.9735501060578923, 0.9603079733745681]","[2.591459658196757, 2.5459373232319003, 2.547215210123424, 2.5683795644490166, 2.569920500668127]",0.7926244630691528,0.8181167080985421,0.9538412801661501,2.564582451333845,0.016819981906383136
6,15,21,manhattan,141,"[0.7647320231385515, 0.7436074459012008, 0.7319950023735329, 0.7462395284350946, 0.7456953937844035]","[0.8010967593023695, 0.7729830868919579, 0.764048738886413, 0.7743488546790348, 0.7752165880917038]","[0.9693383668067765, 0.9503567985514071, 0.9479402434680579, 0.9833665121586458, 0.9726911447244154]","[2.5351671492476973, 2.466947331344566, 2.443983984728004, 2.5039548952727753, 2.4936031266005227]",0.7464538787265566,0.7775388055702959,0.9647386131418605,2.488731297438713,0.03126865573459154
7,24,18,manhattan,183,"[0.709833588413234, 0.717738986728025, 0.7074480783727048, 0.7366399452043757, 0.7185470081823463]","[0.740550306412635, 0.751964084165804, 0.7410875342919343, 0.7681143850972378, 0.7528501731348782]","[0.971821620882586, 0.9515489345365505, 0.9484556831567936, 0.9892526246099597, 0.9750804626299301]","[2.422205515708455, 2.4212520054303797, 2.396991295821433, 2.494006954911573, 2.4464776439471545]",0.7180415213801371,0.7509132966204979,0.967231865163164,2.436186683163799,0.032875169140749894
8,36,40,euclidean,172,"[0.7000680783475624, 0.7325465862742473, 0.6891704224283692, 0.702597226699997, 0.7107777832063793]","[0.7267521684975581, 0.7695573746175594, 0.729808155316523, 0.7374219029604008, 0.7500782805110123]","[0.9759578833786742, 0.961094989098951, 0.9585991126288418, 0.9929195541421616, 0.9696271907217683]","[2.402778130223795, 2.4631989499907574, 2.377577690373734, 2.4329386838025595, 2.4304832544391597]",0.707032019391311,0.7427235763806107,0.9716397459940793,2.4213953417660012,0.029085968101056445
9,30,23,hamming,117,"[0.7524096794738768, 0.7640592699010804, 0.7466170435420166, 0.7298740180985912, 0.7412634464582211]","[0.7920205055939724, 0.7938705743005002, 0.7769206764604161, 0.7654569842567593, 0.7739428679168148]","[0.9841861474051471, 0.9862867006962786, 0.9677377483996801, 0.9903235984956841, 0.9696446206566445]","[2.528616332472996, 2.5442165448978593, 2.4912754684021126, 2.4856546008510345, 2.4848509350316803]",0.7468446914947572,0.7804423217056925,0.9796357631306869,2.5069227763311366,0.024681066686894994
