trial_number,param_hidden_layer_sizes,param_activation,param_learning_rate_init,param_batch_size,param_alpha,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,128,tanh,0.00015388702589035815,128,0.00029848987432414063,"[0.8647880480818759, 0.8742360232169726, 0.89322344576312, 0.8900702332903825, 0.8746990254087144]","[0.891823374929584, 0.8953913570429489, 0.9252136270389741, 0.9172422424335294, 0.9095858845925355]","[0.9998544121147768, 0.999905296515529, 0.9999262924083274, 0.9998796269299152, 0.9999153145927909]","[2.756465835126237, 2.7695326767754507, 2.8183633652104216, 2.807192102653827, 2.784200224594041]",0.879403355152213,0.9078512972075142,0.9998961885122677,2.7871508408719956,0.0229632282989761
1,16,tanh,0.00013763963826431963,64,0.07794559690372604,"[0.5430458998069009, 0.5529363142921481, 0.5543417615408225, 0.5549712852937885, 0.5483044489135867]","[0.580061436287879, 0.5876215833770143, 0.588943241175317, 0.5879419578300432, 0.5846922426796319]","[0.9962236965786287, 0.9963349453384704, 0.9965209209637823, 0.9959597956350933, 0.9961373169161964]","[2.1193310326734087, 2.136892843007633, 2.139805923679922, 2.138873038758925, 2.129134008509415]",0.5507199419694493,0.5858520922699771,0.9962353350864344,2.132807369325861,0.007714511432105532
2,16,relu,1.0152399308817323e-05,128,0.025555869148687085,"[0.5886654676429542, 0.5760363532815663, 0.6003472879242516, 0.5905674952689832, 0.5896142874014464]","[0.6096076930431207, 0.6011712614496613, 0.6199862422117027, 0.6104440935616674, 0.6099528586455886]","[0.9984814586598445, 0.9982967675124695, 0.9984930522334072, 0.9983986302454474, 0.9983789850315721]","[2.1967546193459198, 2.1755043822436972, 2.2188265823693616, 2.199410219076098, 2.197946131078607]",0.5890461783038403,0.6102324297823482,0.9984097787365481,2.197688386822737,0.01373212605710497
3,256,tanh,0.012117592638217153,32,0.0005671988414208867,"[0.8514535208859979, 0.8559507838545722, 0.8182875568569679, 0.816558172526423, 0.821758379325144]","[0.8823627625847884, 0.8319965802696373, 0.8298569973389838, 0.8427243664108203, 0.8218161512779346]","[0.9997459460950003, 0.9997502912390617, 0.9997852033600435, 0.9997983340376707, 0.9995868515107119]","[2.733562229565787, 2.687697655363271, 2.6479297575559952, 2.659080872974914, 2.6431613821137905]",0.832801682689821,0.8417513715764329,0.9997333252484977,2.6742863795147516,0.03343092320764588
4,16,tanh,0.01991786946176313,256,0.02445840671680986,"[0.7764515428537463, 0.7906324133627594, 0.7975333350710564, 0.7833397142344052, 0.763125492290825]","[0.8131277129276231, 0.8154692335424838, 0.823406737263156, 0.8026704167926314, 0.7900139571592056]","[0.99971155280642, 0.9997553303463457, 0.9998355205246149, 0.9997471971267601, 0.9997713048260211]","[2.5892908085877897, 2.6058569772515887, 2.6207755928588274, 2.5857573281537967, 2.552910754276052]",0.7822164995625585,0.80893761153702,0.9997641811260323,2.5909182922256107,0.022752933461585714
5,256,tanh,0.0021577393159637314,64,0.001091652604513616,"[0.9011756316991864, 0.9057811601946584, 0.8923395711391449, 0.8745623420832785, 0.8677133698437705]","[0.9299089134069398, 0.9316900528792148, 0.9030899309326462, 0.9052136420164881, 0.8935626859426848]","[0.9998399454373454, 0.999896179457898, 0.9998988437278011, 0.9998769731383743, 0.9999052846900973]","[2.8309244905434716, 2.837367392531771, 2.795328345799592, 2.7796529572381408, 2.7611813404765524]",0.8883144149920078,0.9126930450355948,0.9998834452903033,2.800890905317906,0.029296390248246727
6,128,tanh,0.0008191363072454353,32,0.0001151261908054592,"[0.9133583989962816, 0.9161383975706953, 0.905409869810665, 0.9030552225145594, 0.908720609090907]","[0.9283526540529538, 0.9390689629184348, 0.9272146346582036, 0.9283502904027954, 0.9316254746228289]","[0.9998329005640544, 0.9999128164388875, 0.9999048644874599, 0.999906328947632, 0.999929757720111]","[2.84154395361329, 2.8551201769280175, 2.8325293689563282, 2.831311841864987, 2.8402758414338467]",0.9093364995966216,0.9309224033310433,0.999897333631629,2.840156236559294,0.008511780098763527
7,64,logistic,0.00021290830287932605,128,0.04962647917926528,"[0.5217415116862864, 0.5126855292468676, 0.5202280593997918, 0.5143268640567976, 0.5057733062993512]","[0.5647910794001753, 0.5517677795097565, 0.560236678231923, 0.550773441080273, 0.5423333232845393]","[0.9968895821861291, 0.9966974548697383, 0.9968543969781174, 0.996380983548828, 0.9964262579713323]","[2.0834221732725906, 2.0611507636263626, 2.0773191346098323, 2.061481288685899, 2.044532887555223]",0.5149510541378189,0.5539804603013334,0.9966497351108291,2.0655812495499815,0.013678807932148313
8,256,relu,0.006921435712008895,128,0.000177485684210881,"[0.9010548177820047, 0.9038392771018623, 0.9075335068515862, 0.8860742729649113, 0.9080210513614716]","[0.930049417552362, 0.9204809993288404, 0.933602844843864, 0.9168537706941674, 0.9276343117599012]","[0.999874363287376, 0.9998887870480375, 0.9998987025025109, 0.9998626439879934, 0.999893730464058]","[2.830978598621743, 2.8242090634787402, 2.841035054197961, 2.802790687647072, 2.835549093585431]",0.9013045852123673,0.9257242688358269,0.9998836454579951,2.8269124995061894,0.013264545556108103
9,128,tanh,1.7930975943357436e-05,128,0.00038550842767509397,"[0.7370740706510495, 0.7460079447987893, 0.7473763156425568, 0.7328378221018391, 0.7224253035572104]","[0.7625676666732778, 0.7770597959911762, 0.7681590411491537, 0.7564799352603389, 0.7496898149916834]","[0.9997800729958791, 0.9998012085222047, 0.9998516327549583, 0.9997525090901871, 0.9997812934555563]","[2.4994218103202064, 2.52286894931217, 2.515386989546669, 2.489070266452365, 2.47189641200445]",0.737144291350289,0.762791250813126,0.999793343363757,2.4997288855271718,0.018270116647776224
