trial_number,param_alpha,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,0.00011541039390580609,"[0.9088487716702899, 0.8947515847451466, 0.9292627400655239, 0.8878716069882825, 0.9488699460476151]","[0.8714625559190009, 0.8691589232739801, 0.8805792535558763, 0.8641404547729857, 0.8852097973479738]","[0.9998170419865473, 0.9997894463128774, 0.9998416468682216, 0.9996590871624247, 0.9998213212820183]","[2.780128369575838, 2.7636999543320044, 2.809683640489622, 2.751671148923693, 2.8339010646776073]",0.9139209299033716,0.8741101969739633,0.9997857087224178,2.7878168355997532,0.030163423091417303
1,0.10262367264023729,"[0.9019964165688333, 0.8847355159172408, 0.90358189328823, 0.8832185572753132, 0.9312792579663305]","[0.8309514114751307, 0.820902222689951, 0.8173361412076123, 0.8256297381881896, 0.8438198998730401]","[0.9996846848975339, 0.9996286099206415, 0.999756155088962, 0.999471638022194, 0.9997320498688967]","[2.732632512941498, 2.705266348527833, 2.7206741895848046, 2.7083199334856967, 2.7748312077082673]",0.9009623282031896,0.8277278826867848,0.9996546275596456,2.72834483844962,0.025186579955567924
2,0.0943278115689808,"[0.9020364566088733, 0.8847890355996435, 0.9169227881014868, 0.8842477683045241, 0.9312776142109027]","[0.831092994201883, 0.8214828913783861, 0.8260296047143741, 0.8274254154412704, 0.8428989767606061]","[0.9996908037443296, 0.9996264373557396, 0.9997596160483971, 0.9994842823181712, 0.9997372849160265]","[2.7328202545550857, 2.7058983643337693, 2.7427120088642583, 2.7111574660639657, 2.7739138758875352]",0.9038547325650861,0.8297859764993039,0.9996596848765329,2.733300393940923,0.024410835408392888
3,0.0006352975401357891,"[0.908759813880659, 0.894445996927876, 0.9290055167433361, 0.8877796908377777, 0.9487536147124318]","[0.8703596784928177, 0.8615966029091999, 0.8712233596572166, 0.8597312420394969, 0.8829108438224539]","[0.9998112839511768, 0.9997778088265017, 0.9998354979992234, 0.9996516251378168, 0.9998146963662669]","[2.7789307763246534, 2.7558204086635776, 2.800064374399776, 2.7471625580150913, 2.831479154901152]",0.9137489266204162,0.8691643453842369,0.9997781824561971,2.78269145446085,0.03059593550259124
4,0.0007123058526403595,"[0.9087568546441419, 0.894445996927876, 0.9290009142810187, 0.8877796908377777, 0.9487536147124318]","[0.8681763707543605, 0.8599491374714119, 0.8707297995647814, 0.8597312420394969, 0.8799898989850631]","[0.99981074431896, 0.9997772395206195, 0.99983525968811, 0.999650563389659, 0.9998141389943536]","[2.7767439697174625, 2.754172373919907, 2.7995659735339102, 2.7471614962669335, 2.8285576526918486]",0.9137474142806493,0.8677152897630227,0.9997775891823405,2.7812402932260123,0.029963366461063484
5,0.0020481042263457983,"[0.9086649376179939, 0.8944312007452909, 0.9289549160854859, 0.888089090260168, 0.9487490117204871]","[0.8598436043709698, 0.8549334291276746, 0.8633411510911216, 0.8537609842807602, 0.8792879115270311]","[0.9998063724827639, 0.999770769117704, 0.9998281294552855, 0.9996493156707102, 0.9998093517781491]","[2.768314914471728, 2.7491353989906697, 2.7921241966318933, 2.7414993902116382, 2.827846275025667]",0.9137778312858853,0.8622334160795114,0.9997727877009226,2.775784035066319,0.03136511485563014
6,0.03243762756125224,"[0.902477499196141, 0.8932231642036057, 0.9280921917236931, 0.8851995633974825, 0.9395067502532988]","[0.8383630750383159, 0.8344760004075621, 0.846071563128089, 0.8336192923151442, 0.8551760712187401]","[0.9997568090483986, 0.9997050445676976, 0.9997952630609257, 0.99957463506151, 0.9997729989338922]","[2.7405973832828554, 2.7274042091788653, 2.773959017912708, 2.7183934907741367, 2.794455820405931]",0.9096998337548442,0.8415412004215703,0.9997209501344848,2.7509619843108992,0.02878776763710704
7,0.003080399260654173,"[0.9086649376179939, 0.8943452021921771, 0.9289549160854859, 0.888086131242562, 0.9487266533094405]","[0.8580856218564216, 0.8499344055299574, 0.8583890254001032, 0.8532373937034872, 0.8752938336091741]","[0.9998046344623118, 0.9997669765525119, 0.99982480346064, 0.9996460072140284, 0.9998074247602833]","[2.7665551939367274, 2.7440465842746464, 2.787168744946229, 2.7409695321600775, 2.8238279116788982]",0.9137555680895317,0.8589880560198286,0.999769969289955,2.772513593399316,0.03062297718865975
8,0.00031941691216058127,"[0.908802813157216, 0.894445996927876, 0.9290758158282822, 0.8877796908377777, 0.9488240275745811]","[0.8706384649507067, 0.8615966029091999, 0.876459575177627, 0.8608952188372812, 0.8832424172730049]","[0.9998141765182068, 0.9997813096362591, 0.9998400477174316, 0.9996549630391849, 0.999817679532172]","[2.7792554546261297, 2.755823909473335, 2.805375438723341, 2.748329872714244, 2.831884124379758]",0.9137856688651466,0.8705664558295639,0.9997816352886509,2.7841337599833613,0.031107780564737376
9,0.01183019328478308,"[0.9034942554631057, 0.8938305364651552, 0.9316635562395996, 0.887937408647459, 0.9485332812107741]","[0.8466346116622936, 0.8419868665908191, 0.8534720479595664, 0.8466788537811606, 0.8674621792373354]","[0.9997865835553965, 0.9997453770509144, 0.9998093897939694, 0.9996168896851603, 0.9997907299434763]","[2.7499154506807955, 2.7355627801068887, 2.7849449939931357, 2.73423315211378, 2.8157861903915857]",0.9130918076052186,0.851246911846235,0.9997497940057833,2.7640885134572377,0.031665686012910345
