trial_number,param_n_neighbors,param_n_trees,param_metric,param_search_k,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
33,3,27,hamming,496,"[0.8223344848989121, 0.8054389055593592, 0.86752278297212, 0.8763784138848226, 0.8387405125923725]","[0.8408464301765359, 0.8341689901565639, 0.8820942507037058, 0.8882304758606885, 0.8549103475932793]","[0.9391828061349536, 0.9416871346925, 0.9588786129662885, 0.9590116830151877, 0.9435704565274713]","[2.6023637212104016, 2.5812950304084232, 2.708495646642114, 2.723620572760699, 2.637221316713123]",0.8420830199815172,0.8600500988981548,0.9484661386672804,2.6505992575469524,0.056555842336049905
34,7,36,hamming,359,"[0.8388415413726772, 0.795479836288376, 0.816029918956639, 0.840054599323866, 0.8338809604267954]","[0.8656485406730888, 0.8242424603612888, 0.8394272962687974, 0.8740960921680024, 0.8648544014033256]","[0.9653874066926594, 0.9632021381576189, 0.9796239737377046, 0.9678239419062341, 0.9592988404489511]","[2.6698774887384253, 2.5829244348072837, 2.6350811889631407, 2.6819746333981023, 2.6580342022790724]",0.8248573712736708,0.8536537581749005,0.9670672601886336,2.6455783896372047,0.034945641569226554
35,5,29,euclidean,292,"[0.786428999489665, 0.7767620150796369, 0.8194372157773745, 0.8125744333368218, 0.7951345679939675]","[0.8043024922939074, 0.8009107025062447, 0.8473390060416822, 0.8370162711566264, 0.8222645818949155]","[0.9397133739901109, 0.9438271560176961, 0.9650860412678413, 0.9565121974972236, 0.9466004438399865]","[2.530444865773683, 2.5214998736035774, 2.631862263086898, 2.606102901990672, 2.5639995937288695]",0.7980674463354931,0.8223666107786751,0.9503478425225718,2.57078189963674,0.04261496936692669
36,18,42,hamming,435,"[0.7736515474040254, 0.7721203164708277, 0.7998946302205598, 0.7986086532404356, 0.7792942305119652]","[0.7939580383603115, 0.8015511043336854, 0.82983786699155, 0.830521100108527, 0.813174058338713]","[0.9896882837226224, 0.9823765793293204, 0.9876782900082817, 0.9927751794171468, 0.9694258170910568]","[2.5572978694869595, 2.5560480001338335, 2.6174107872203916, 2.6219049327661095, 2.561894105941735]",0.7847138755695628,0.8138084336265574,0.9843888299136857,2.582911139109806,0.03010024971015172
37,48,32,hamming,393,"[0.753669714371226, 0.7271942823620055, 0.7417738068031183, 0.7386688095351183, 0.7327005207099946]","[0.786655524191544, 0.764792206959934, 0.7777314355311753, 0.7728988584758067, 0.7768984750455722]","[0.9952726550106749, 0.975357056142952, 0.9964008822840278, 0.99678917083457, 0.9914113574568216]","[2.535597893573445, 2.4673435454648915, 2.515906124618321, 2.5083568388454953, 2.5010103532123886]",0.7388014267562925,0.7757953000408064,0.9910462243458094,2.5056429511429084,0.022353084490246998
38,13,45,euclidean,471,"[0.7731948597237603, 0.764841625812669, 0.8059094519952162, 0.7869293266878371, 0.7751121993259618]","[0.7960252221653913, 0.7972845102367063, 0.8371097927527329, 0.8143970229347489, 0.8076554698021029]","[0.9682287890487967, 0.9681974429074545, 0.977136436835329, 0.9735929569601198, 0.9592226448625202]","[2.5374488709379484, 2.53032357895683, 2.6201556815832783, 2.574919306582706, 2.541990313990585]",0.7811974927090889,0.8104944035783364,0.9692756541228441,2.5609675504102696,0.03331727223149579
39,44,39,manhattan,92,"[0.669733876164523, 0.6603222213812707, 0.6661915067550653, 0.6621313666671125, 0.6683012329666205]","[0.7013135433074851, 0.6959190974872937, 0.694943796839228, 0.6892892301548298, 0.7079612785787891]","[0.9804703910194932, 0.974245578786951, 0.9814742532610755, 0.9923161616274015, 0.9875021921271508]","[2.3515178104915013, 2.3304868976555153, 2.342609556855369, 2.3437367584493436, 2.3637647036725604]",0.6653360407869184,0.6978853892735251,0.9832017153644145,2.346423145424858,0.01097642364639014
40,8,27,hamming,338,"[0.8380715839912463, 0.8109290592946223, 0.8101324795562647, 0.8487450384461566, 0.8120388360211175]","[0.8607506552968003, 0.8518257013548974, 0.8365966200435215, 0.88888447833218, 0.8478970852036788]","[0.9653565788396401, 0.9607419378406951, 0.9797273285189619, 0.9732197260224349, 0.959528874385676]","[2.6641788181276866, 2.623496698490215, 2.626456428118748, 2.7108492428007716, 2.6194647956104724]",0.8239833994618815,0.8571909080462156,0.9677148891214816,2.6488891966295784,0.03489017995724025
41,3,31,hamming,402,"[0.8434327009236307, 0.8233643400983454, 0.8702770049870426, 0.8963422753257276, 0.8382871700245778]","[0.8572560770294803, 0.8592014410962426, 0.8857492708201762, 0.9139208796243311, 0.8555235909482023]","[0.9407192834968313, 0.9447649000282392, 0.9615196949069589, 0.9593917297866077, 0.9433734142769714]","[2.6414080614499422, 2.627330681222827, 2.717545970714178, 2.769654884736666, 2.637184175249751]",0.8543406982718647,0.8743302519036865,0.9499538044991217,2.678624754674673,0.055740167717791334
42,5,31,hamming,403,"[0.8380522141729202, 0.7947188036073969, 0.8628608718302858, 0.8456469623891953, 0.8389305978812477]","[0.8612684204950622, 0.8188369660392933, 0.8912975949190202, 0.8745877123700141, 0.8654404002147765]","[0.9496451349593076, 0.9491594177525547, 0.9739471012641822, 0.9637574853892229, 0.9517678901855591]","[2.64896576962729, 2.562715187399245, 2.728105568013488, 2.6839921601484322, 2.6561388882815833]",0.8360418899762092,0.8622862188076332,0.9576554059101653,2.655983514694008,0.05428504132511235
