trial_number,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,param_min_child_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,274,18,0.16461627490075603,0.6166786502900999,0.6430626719743872,2.975260321031201,0.044574533936481676,0.012417585037258259,4,"[0.9283707296922384, 0.9652754556354295, 0.9687595942061958, 0.9329833785459618, 0.9266018961576197]","[0.7931235731431309, 0.7935678678166007, 0.7762499435949793, 0.7618699272735795, 0.7723995845825334]","[0.999315243048609, 0.9985901800548257, 0.9997472761444004, 0.9991485079450507, 0.9981395282827793]","[2.720809545883978, 2.757433503506856, 2.7447568139455756, 2.6940018137645922, 2.6971410090229324]",0.944398210847489,0.7794421792821649,0.998988147095133,2.7228285372247862,0.025192294170767734
1,206,24,0.09685537607436165,0.8072145647997075,0.8315434400904629,3.2267754794779693,8.935551389956924,1.2568718068943683,5,"[0.9236631373225511, 0.9622142246528489, 0.9718737568012307, 0.9219538688929731, 0.9189842854364254]","[0.7636096021367496, 0.7508514136998223, 0.7537720367712621, 0.7545977514844922, 0.7395421609590832]","[0.9994116674547872, 0.9988157523062259, 0.9997181219874909, 0.9990393510594174, 0.9983922121876213]","[2.686684406914088, 2.711881390658897, 2.7253639155599836, 2.6755909714368826, 2.65691865858313]",0.9397378546212058,0.7524745930102819,0.9990754209991085,2.6912878686305963,0.024633705220433885
2,269,42,0.0014028946615937579,0.8874548946256777,0.9208682249697902,3.6820332190571947,0.3512843110540187,0.05066222641776684,2,"[0.9186495499114539, 0.9636381647048294, 0.9699144645990657, 0.9344721679990892, 0.9124297284386762]","[0.7350791062685325, 0.7401226172223265, 0.7221138070068647, 0.7161859906902971, 0.7159420192300641]","[0.998641726537777, 0.9987560757701281, 0.9991254029764797, 0.9980882316535613, 0.9980757798887824]","[2.6523703827177636, 2.702516857697284, 2.69115367458241, 2.6487463903429473, 2.6264475275575228]",0.9398208151306229,0.7258887080836169,0.9985374433653457,2.6642469665795856,0.02827958344808887
3,290,22,0.003850744236919715,0.8869103385813277,0.997682975368775,1.2780702780041753,0.2272726415446689,0.0988620395200612,8,"[0.9182913796575014, 0.9618562800432258, 0.9616969057031168, 0.9291370622465616, 0.9090172155209614]","[0.6984428205441475, 0.7022192868669935, 0.7148164396903597, 0.6862258620121763, 0.6995982144665379]","[0.9976183932991902, 0.9982798147139349, 0.9986659548941458, 0.996432024868603, 0.9955163100566476]","[2.614352593500839, 2.6623553816241543, 2.6751793002876223, 2.611794949127341, 2.604131740044147]",0.9359997686342734,0.7002605247160429,0.9973024995665043,2.6335627929168206,0.02922329381932417
4,285,19,0.004836718602848501,0.7609890036147092,0.898604286873994,3.6203528370584417,0.010728499376315004,8.849102821816786,5,"[0.9172210186414002, 0.9605030161753945, 0.9674696227472975, 0.9437269931093428, 0.9217590717206552]","[0.6997357197325589, 0.7026380746445327, 0.7007225764005977, 0.6814355972904577, 0.701356681680136]","[0.9985250246836134, 0.9985007918808493, 0.9989998596396537, 0.9976935229614625, 0.9975366935623758]","[2.615481763057572, 2.6616418827007764, 2.667192058787549, 2.622856113361263, 2.620652446963167]",0.942135944478818,0.6971777299496565,0.9982511785455909,2.6375648529740654,0.02212471036244342
5,143,37,0.0016693721425550154,0.7593491675245133,0.9083523865231519,3.8237549175023355,0.002626013278553607,0.000886565754742088,5,"[0.9406639854474612, 0.9614543304540866, 0.9681470833068118, 0.9302332629796295, 0.912076918984]","[0.6979741820647609, 0.6994015428626409, 0.6980752544122102, 0.6879379040960155, 0.6988918344384129]","[0.9975692697379673, 0.9979336419267888, 0.9986283130977033, 0.9970718651360293, 0.9973100080923377]","[2.6362074372501896, 2.6587895152435164, 2.6648506508167253, 2.6152430322116746, 2.6082787615147507]",0.9425151162343978,0.6964561435748081,0.9977026195981654,2.636673879407371,0.022577924153646605
6,134,38,0.0032388768279755986,0.7324416296484351,0.9376913683290276,3.0751201716118803,2.6688268527289214,7.634227574809417,9,"[0.9303356350892672, 0.9545039582911258, 0.9632119004465431, 0.9321903620258201, 0.9103277993500236]","[0.6362378312324556, 0.6355240104791293, 0.6582159104229528, 0.626027034561012, 0.6420084796990412]","[0.9966451614786555, 0.996943682871243, 0.9978226394846348, 0.9955636961459817, 0.9957265819431239]","[2.5632186278003783, 2.5869716516414982, 2.619250450354131, 2.553781092732814, 2.5480628609921885]",0.9381139310405558,0.6396026532789182,0.9965403523847278,2.5742569367042023,0.02612781773783105
7,95,32,0.019275407480231807,0.7616626618690913,0.8967534750196036,4.129666445845918,0.26070487511341206,0.0004970018753315344,8,"[0.9364302476196003, 0.9626996032926763, 0.9709190193339694, 0.9305784386253909, 0.9133623664101639]","[0.7045755728067224, 0.7094838875617261, 0.7172742193295675, 0.6986346238207369, 0.7058463503327012]","[0.9987459495129268, 0.9987428568171549, 0.9991754281092642, 0.9979706791824391, 0.9978726846850131]","[2.6397517699392496, 2.6709263476715575, 2.687368666772801, 2.627183741628567, 2.6170814014278783]",0.9427979350563602,0.7071629307702909,0.9985015196613597,2.6484623854880107,0.026577245864508606
8,64,12,0.3133218136774557,0.7620409829455966,0.6593166130403773,3.411435653372919,0.0006568160456650033,0.1742313113439347,3,"[0.950575838195649, 0.9636477825679088, 0.972881378052139, 0.9323652577167771, 0.9229646594965994]","[0.7851802102587472, 0.7712051858415124, 0.7714065795022098, 0.7522631543875263, 0.7658195418331016]","[0.9995436249508587, 0.9992237862102316, 0.9997687606654507, 0.9990165089232521, 0.9989149699220431]","[2.7352996734052546, 2.734076754619653, 2.7440567182197997, 2.6836449210275557, 2.687699171251744]",0.9484869832058147,0.7691749343646195,0.9992935301343673,2.7169554477048012,0.025805617721581606
9,60,49,0.0015091315249788563,0.8051760744342553,0.7365186364879683,3.300049093226989,1.6677720282014759,0.10455210558380844,6,"[0.9499602398295143, 0.9604339073021464, 0.9753621238720589, 0.9453538508916773, 0.9294642057195456]","[0.7075212429756392, 0.6980643486581861, 0.7119734424306778, 0.6919047169043734, 0.6962304473290368]","[0.9978402985376036, 0.9979368344585722, 0.9986480711705671, 0.997194687566873, 0.9974927118291]","[2.655321781342757, 2.6564350904189045, 2.6859836374733037, 2.634453255362924, 2.6231873648776824]",0.9521148655229885,0.7011388396595827,0.9978225207125432,2.651076225895114,0.021537786661104057
