trial_number,param_n_neighbors,param_n_trees,param_metric,param_search_k,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,44,49,euclidean,217,"[0.6935350124789162, 0.6792427761334697, 0.6913792551213218, 0.6996256803158015, 0.6911523091212564]","[0.7213687286818288, 0.7109558890589665, 0.7253855437156704, 0.7382844654552079, 0.7214315676312407]","[0.9670612879520684, 0.9847210969789437, 0.9711250620346712, 0.9789994833116902, 0.9905672030472508]","[2.3819650291128136, 2.3749197621713796, 2.387889860871663, 2.4169096290826997, 2.4031510797997475]",0.6909870066341532,0.7234852389085829,0.9784948266649248,2.392967072207661,0.015162377564927384
1,22,31,hamming,357,"[0.7658224636664016, 0.7812832782543818, 0.7901580545719209, 0.7774286334165077, 0.7920818250962247]","[0.7937508901157428, 0.8152252406222924, 0.8224070421487951, 0.8065627632842045, 0.8237534200548379]","[0.9871511934076854, 0.9873977648576959, 0.9674995085067469, 0.9782657727022261, 0.9921145087614495]","[2.5467245471898297, 2.58390628373437, 2.580064605227463, 2.5622571694029386, 2.607949753912512]",0.7813548510010874,0.8123398712451746,0.9824857496471608,2.5761804718934225,0.02071507563467738
2,32,27,manhattan,35,"[0.6812702211002355, 0.68672679808127, 0.6778008904229909, 0.6964208301040752, 0.6847038990342195]","[0.7195482009303465, 0.7257289588471343, 0.7179429702758306, 0.7328782749303145, 0.7155052881687682]","[0.9691211385386802, 0.9660726470111284, 0.9619791063196271, 0.9748982230382285, 0.966207997514278]","[2.3699395605692626, 2.3785284039395327, 2.3577229670184487, 2.4041973280726183, 2.3664171847172657]",0.6853845277485582,0.7223207386304789,0.9676558224843884,2.375361088863426,0.015887418350125204
3,50,15,hamming,449,"[0.7301110634506803, 0.6984870974507608, 0.7447158553738586, 0.6909571700865578, 0.7270415336050726]","[0.7648237364228488, 0.740059543965421, 0.7810575487131394, 0.7275392138756858, 0.7649321520009889]","[0.9964088157706112, 0.9912993565317753, 0.9802902581201196, 0.9833429361686512, 0.9965924849564708]","[2.4913436156441406, 2.429845997947957, 2.5060636622071177, 2.401839320130895, 2.488566170562532]",0.718262543993386,0.7556824389956167,0.9895867703095258,2.463531753298528,0.040372940031584384
4,19,50,hamming,470,"[0.779306574127375, 0.77893392602465, 0.8017477265291424, 0.7805157267868037, 0.7944684273203948]","[0.8129517633535674, 0.8139226022165346, 0.8309264249703554, 0.8088160442144986, 0.8260463106493038]","[0.9881125650790882, 0.9868783713063461, 0.9770203632018705, 0.9719369185060853, 0.9925838601213819]","[2.5803709025600305, 2.5797348995475304, 2.6096945147013684, 2.5612686895073877, 2.6130985980910806]",0.7869944761576732,0.818532629080852,0.9833064156429543,2.5888335208814794,0.019688553948203378
5,18,27,manhattan,303,"[0.75219136210862, 0.7717997911816551, 0.76496568772636, 0.7654664543495521, 0.7578314488952542]","[0.7850512178072444, 0.806448278108705, 0.8011062295435838, 0.7987775255505147, 0.7946865507354081]","[0.9613183045445257, 0.9713758084702475, 0.9769146795531494, 0.970628785237269, 0.9841470570140655]","[2.49856088446039, 2.5496238777606077, 2.542986596823093, 2.5348727651373357, 2.5366650566447277]",0.7624509488522884,0.7972139603490911,0.9728769269638514,2.5325418361652305,0.01776529440244923
6,41,11,cosine,22,"[0.609339763741241, 0.593493442537918, 0.5970160374501706, 0.6102473415971287, 0.6014908545126542]","[0.6397438741605322, 0.635364939652507, 0.6377986622640482, 0.6503704790724227, 0.6359163602627986]","[0.9626318872366264, 0.9503704981393638, 0.9696840838546474, 0.9756274778476329, 0.96224925254368]","[2.2117155251383998, 2.179228880329789, 2.2044987835688663, 2.236245298517184, 2.199656467319133]",0.6023174879678225,0.6398388630824617,0.9641126399243902,2.2062689909746744,0.018473063824509913
7,24,17,euclidean,52,"[0.686376576763108, 0.6853844101198403, 0.7076826362052425, 0.6984095148326765, 0.695011606026939]","[0.724233644345102, 0.7244431684547851, 0.758276093659494, 0.7361413313221685, 0.7393840294333057]","[0.9859047833110139, 0.9668184241846507, 0.9691071612482358, 0.9723493981622711, 0.985762729898618]","[2.396515004419224, 2.3766460027592764, 2.4350658911129726, 2.406900244317116, 2.420158365358863]",0.6945729487895612,0.7364956534429711,0.9759884993609578,2.40705710159349,0.01996061498019375
8,38,48,euclidean,257,"[0.6935871263532075, 0.7059939750245482, 0.7029304526173189, 0.7025879838556277, 0.7090121637043932]","[0.7214994271675178, 0.7424413629432494, 0.7360853518005066, 0.7402742490225662, 0.7407323514256138]","[0.9669564183040721, 0.9852205501443274, 0.970291642763476, 0.978945089880001, 0.9901726864820586]","[2.3820429718247973, 2.433655888112125, 2.409307447181302, 2.4218073227581947, 2.4399172016120656]",0.702822340311019,0.7362065484718907,0.9783172775147868,2.4173461662976967,0.020524605344879196
9,25,10,manhattan,266,"[0.7369719486289061, 0.7281740100346535, 0.7395287240571736, 0.7322656160625133, 0.7332226687253552]","[0.7726448383597141, 0.7727215585295523, 0.7811607299379412, 0.7661066075770262, 0.7659383669252432]","[0.990929326480434, 0.9756316343334646, 0.9717643357088842, 0.9740227616999151, 0.9777766188397691]","[2.5005461134690545, 2.47652720289767, 2.492453789703999, 2.472394985339455, 2.4769376544903676]",0.7340325935017205,0.7717144202658954,0.9780249354124934,2.4837719491801087,0.010820131064913049
10,4,40,hamming,487,"[0.8371073886284981, 0.815054667687715, 0.8366454041380069, 0.792047623750573, 0.8500623064358643]","[0.8499272953861154, 0.826561077020353, 0.8637810630113268, 0.8041965034278655, 0.8691279810542095]","[0.9684968933402841, 0.9660619833907355, 0.9457091079449153, 0.949480219518722, 0.9536451213710767]","[2.6555315773548975, 2.6076777280988033, 2.646135575094249, 2.5457243466971606, 2.6728354088611503]",0.8261834781281315,0.8427187839799739,0.9566786651131467,2.6255809272212525,0.04527718855999158
11,5,40,hamming,495,"[0.8220111608529586, 0.8338165423836946, 0.8136188425428701, 0.7893401669172646, 0.84624189407023]","[0.8480434208725527, 0.8568087996491406, 0.8377064506415388, 0.8101589878392023, 0.879186883777349]","[0.9698158512094258, 0.9713022643690874, 0.9477465259628078, 0.9504198307680312, 0.9709957285385762]","[2.639870432934937, 2.661927606401923, 2.5990718191472166, 2.5499189855244984, 2.696424506386155]",0.8210057213534036,0.8463809085559568,0.9620560401695858,2.6294426700789457,0.05078775583269461
12,3,37,hamming,497,"[0.8343441669801988, 0.8384944928286369, 0.8388267889217262, 0.8021703410305796, 0.8583099998661112]","[0.8408580961970513, 0.840643936151354, 0.8576981862359889, 0.8048383330537449, 0.8714430780651883]","[0.9646184819546348, 0.959049562591863, 0.9428493588723161, 0.9476077264703497, 0.9520494638904462]","[2.639820745131885, 2.638187991571854, 2.6393743340300313, 2.554616400554674, 2.681802541821746]",0.8344291579254506,0.8430963259406654,0.9532349187559219,2.6307604026220384,0.04150823466065946
13,3,38,hamming,378,"[0.8293412084003171, 0.8381790968802023, 0.8383385371165427, 0.7990454094902794, 0.8583070408485051]","[0.8334263714207687, 0.8404775963627918, 0.857268122124141, 0.8006422100417078, 0.8702432193482745]","[0.9641503455697557, 0.9590544525320255, 0.9428397907414507, 0.9476075914275655, 0.9520499682512411]","[2.6269179253908415, 2.63771114577502, 2.6384464499821343, 2.5472952109595526, 2.6806002284480206]",0.8326422585471693,0.8404115038595368,0.9531404297044077,2.6261941921111136,0.04351631384008063
14,11,39,cosine,146,"[0.7783500964646501, 0.751952430831041, 0.7947348973426448, 0.7682787162037205, 0.7782213456266058]","[0.8096593178254146, 0.7880404753711459, 0.8267246137153532, 0.8051893600910256, 0.8145670744115011]","[0.9529279841603614, 0.9579294957559172, 0.9527133066771201, 0.9687614140499176, 0.9709088276350468]","[2.540937398450426, 2.497922401958104, 2.5741728177351177, 2.542229490344664, 2.563697247673154]",0.7743074972937325,0.8088361682828881,0.9606482056556725,2.543791871232293,0.026206194619044124
15,10,34,hamming,410,"[0.791322943862931, 0.8093076600357323, 0.8132158924754899, 0.7969444403293323, 0.8262123405898876]","[0.8247333362513716, 0.8332359990283795, 0.8373378661359479, 0.8219777560329453, 0.851699681198752]","[0.9814592514990487, 0.9749502675195206, 0.9629975354282838, 0.9684097629432208, 0.9789621823541569]","[2.597515531613351, 2.6174939265836326, 2.6135512940397216, 2.5873319593054984, 2.656874204142796]",0.8074006554586747,0.8337969277294791,0.9733557999488461,2.6145533831370003,0.023799147753149497
16,12,44,hamming,495,"[0.7869045268876027, 0.804319363406158, 0.81958836901166, 0.7966084840514452, 0.8072955937907105]","[0.8147341441478444, 0.829073050303377, 0.8426486754721743, 0.8255384127016057, 0.8309872951849161]","[0.9826342996119131, 0.9802410087786281, 0.9652210416426944, 0.96918048109774, 0.982907228743966]","[2.58427297064736, 2.6136334224881628, 2.6274580861265284, 2.591327377850791, 2.6211901177195926]",0.8029432674295153,0.8285963155619835,0.9760368119749883,2.607576394966487,0.016878286732980294
