trial_number,param_alpha,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,0.04130184122809881,"[0.9130367333316726, 0.9323531976341584, 0.9217224995745439, 0.8852490190076517, 0.8807740561072082]","[0.8415063840842468, 0.8517453794519493, 0.8383962967912061, 0.8432128936094446, 0.819529308916707]","[0.9997517215412511, 0.9997730676229046, 0.9997572678331647, 0.999658072588917, 0.9996856461484701]","[2.7542948389571706, 2.783871644709012, 2.759876064198915, 2.728119985206013, 2.699989011172385]",0.9066271011310469,0.8388780525707109,0.9997251551469416,2.7452303088486993,0.02873797099145853
1,0.00014307290357163475,"[0.9143138287041892, 0.938316813707426, 0.9350805351288316, 0.8890594609966493, 0.8896144834905461]","[0.8845527880917267, 0.886036084505053, 0.898604824223583, 0.8759290591993752, 0.8551654212204912]","[0.9998026512993483, 0.9998254675155411, 0.9998198862260331, 0.9997755857017154, 0.9997817862603339]","[2.7986692680952645, 2.82417836572802, 2.8335052455784475, 2.76476410589774, 2.7445616909713713]",0.9132770244055285,0.8800576354480458,0.9998010754005943,2.793135735254169,0.03402454815743295
2,0.1985979984885014,"[0.8979501138272055, 0.8490232454110221, 0.8621902384948747, 0.8755284018184329, 0.8506444867263808]","[0.815164428631322, 0.7645899915550808, 0.7863446533440566, 0.8248346863959723, 0.7915634954402351]","[0.9996426388573976, 0.9996863812631319, 0.9996342641662213, 0.9994491774879735, 0.9994793426387583]","[2.712757181315925, 2.613299618229235, 2.6481691560051526, 2.699812265702379, 2.6416873248053743]",0.8670672972555833,0.7964994510733333,0.9995783608826965,2.663145109211613,0.03735003807479396
3,0.04091988040159678,"[0.9130413347351006, 0.9323531976341584, 0.9217224995745439, 0.8852490190076517, 0.8807740561072082]","[0.8439574356702034, 0.8517453794519493, 0.8383962967912061, 0.8432128936094446, 0.819529308916707]","[0.9997520268451169, 0.9997730236011422, 0.999757256126982, 0.9996589144448564, 0.9996869301090234]","[2.756750797250421, 2.7838716006872497, 2.759876052492732, 2.728120827061953, 2.6999902951329386]",0.9066280214117326,0.839368262887902,0.9997256302254242,2.745721914525059,0.0289086621003499
4,0.033281800464116384,"[0.9135339626851439, 0.9324390366249987, 0.9217930261597176, 0.8852949775207257, 0.8816170551648544]","[0.8485050865194015, 0.8533970894584973, 0.8421651630735777, 0.8388038804487694, 0.8203708208223536]","[0.9997594201700905, 0.9997799595657837, 0.9997656903982769, 0.9996749495747166, 0.9996951105510502]","[2.761798469374636, 2.7856160856492798, 2.763723879631572, 2.7237738075442115, 2.701682986538258]",0.906935611631088,0.84064840806452,0.9997350260519836,2.7473190457475916,0.03027363106987862
5,0.009594203502107348,"[0.9139078015017508, 0.9379785676505967, 0.9246421788026373, 0.88814969566157, 0.886432380467189]","[0.860267161269836, 0.8671309593530236, 0.8588404430486414, 0.8602613577338998, 0.8262924465782427]","[0.9997848379693914, 0.9998057903227484, 0.9997914699569561, 0.999735431091858, 0.9997408547453004]","[2.773959800740978, 2.804915317326369, 2.783274091808235, 2.748146484487328, 2.712465681790732]",0.9102221248167488,0.8545584735967287,0.9997716768172509,2.7645522752307286,0.03178158682476993
6,0.0016900198445929532,"[0.9140982033460476, 0.9381653694678327, 0.9347862120267364, 0.8888263889123654, 0.8889067784725374]","[0.8743299794005458, 0.8735380821011087, 0.8795575833472982, 0.8691877179507367, 0.8479863904331113]","[0.9997973204538667, 0.9998168876351059, 0.9998089213091873, 0.999762058833066, 0.9997681453088865]","[2.78822550320046, 2.8115203392040473, 2.814152716683222, 2.757776165696168, 2.736661314214535]",0.9129565904451038,0.8689199506465602,0.9997906667080224,2.7816672077996865,0.030284786051158346
7,0.5195481444645876,"[0.829136941045817, 0.8182511155934152, 0.805913919246221, 0.7980093768289696, 0.7999902298673247]","[0.7665579622398213, 0.7585772145682287, 0.7535875213399666, 0.7615828228030178, 0.7557112972696811]","[0.9993717322665084, 0.9995225585724842, 0.9993850315363655, 0.9988938909420648, 0.9990121277368498]","[2.5950666355521466, 2.576350888734128, 2.558886472122553, 2.558486090574052, 2.5547136548738556]",0.8102603165163493,0.7592033636441432,0.9992370682108545,2.5687007483713473,0.01516563675624571
8,0.006279543048780206,"[0.9140371244287269, 0.9381043666813973, 0.9346852581813268, 0.8887328276010402, 0.8866547021618727]","[0.8666074104999637, 0.8715193102562321, 0.8665649954678699, 0.8597106376310724, 0.8408348615096719]","[0.9997890079431747, 0.9998103812983379, 0.9997939212368715, 0.999745972305107, 0.99975069023056]","[2.780433542871865, 2.809434058235967, 2.8010441748860684, 2.74818943753722, 2.727240253902105]",0.9124428558108727,0.8610474430729619,0.9997779946028104,2.773268293486645,0.031235660293640555
9,0.003989915063542342,"[0.9140801234863731, 0.938154848094595, 0.9346970942517514, 0.8887728676410802, 0.886783699334811]","[0.867515481987076, 0.8750116888327397, 0.8687051636898439, 0.8625789273358585, 0.8431209666648727]","[0.9997933914417719, 0.9998133832323041, 0.9998001824617169, 0.9997534336311206, 0.9997576170348588]","[2.781388996915221, 2.812979920159639, 2.8032024404033122, 2.751105228608059, 2.7296622830345427]",0.9124977265617222,0.8633864457020781,0.9997836015603545,2.775667773824155,0.031314247018664004
10,58.99421141716909,"[0.3296868989648123, 0.3315594228791199, 0.32223287206287365, 0.3313074928327261, 0.3342442513080867]","[0.3540193343744326, 0.3544716197015866, 0.3477699124440042, 0.356068454269614, 0.35933117779895396]","[0.7853977066562495, 0.7785085179141963, 0.7713452971916621, 0.7732242480002643, 0.7712539115596995]","[1.4691039399954944, 1.4645395604949027, 1.44134808169854, 1.4606001951026044, 1.46482934066674]",0.32980618760952374,0.35433209971771823,0.7759459362644143,1.4600842235916562,0.009747109177827491
11,0.00011277024006885495,"[0.9143811687715292, 0.9383214161697434, 0.9350805351288316, 0.8890594609966493, 0.889654523530586]","[0.8845888450764378, 0.8865567417193485, 0.898604824223583, 0.8759290591993752, 0.8554776236067915]","[0.9998028348440856, 0.9998256650561876, 0.9998206890255894, 0.9997770716327475, 0.9997829461105704]","[2.7987728486920527, 2.8247038229452794, 2.8335060483780037, 2.7647655918287724, 2.744915093247948]",0.9132994209194679,0.8802314187651072,0.9998018413338361,2.7933326810184114,0.03402347661659849
12,0.00011660214724443947,"[0.9143138287041892, 0.938316813707426, 0.9350805351288316, 0.8890594609966493, 0.889654523530586]","[0.8845527880917267, 0.886036084505053, 0.898604824223583, 0.8759290591993752, 0.8554776236067915]","[0.9998028235775511, 0.9998256264633912, 0.9998206398498898, 0.9997770605480124, 0.9997829300659804]","[2.798669440373467, 2.82417852467587, 2.833505999202304, 2.764765580744037, 2.744915077203358]",0.9132850324135365,0.8801200759253058,0.999801816100965,2.793206924439807,0.03392375883934669
13,0.00010722319102394143,"[0.9143811687715292, 0.9384288298353358, 0.9350805351288316, 0.8890594609966493, 0.889654523530586]","[0.8845888450764378, 0.887056794526361, 0.898604824223583, 0.8759290591993752, 0.8554776236067915]","[0.9998029504204696, 0.9998258519312097, 0.999820769030585, 0.9997771289314359, 0.9997833574720643]","[2.7987729642684367, 2.8253114762929066, 2.8335061283829996, 2.764765649127461, 2.744915504609442]",0.9133209036525864,0.8803314293265097,0.999802011557153,2.7934543445362494,0.034136110424657085
