trial_number,param_n_neighbors,param_n_trees,param_metric,param_search_k,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,29,39,hamming,220,"[0.7663503716334629, 0.7603616520059551, 0.7530497632222495, 0.7629628459153746, 0.7688106226149876]","[0.8056743570113011, 0.7978125053301697, 0.7838978245606212, 0.7907074134240781, 0.8047065413140767]","[0.989321481586249, 0.9938801644415045, 0.9860192971061763, 0.970962619101655, 0.9857445583638333]","[2.561346210231013, 2.5520543217776295, 2.5229668848890467, 2.524632878441108, 2.5592617222928977]",0.7623070510784059,0.7965597283280493,0.9851856241198836,2.5440524035263388,0.016829419919422522
1,45,49,manhattan,463,"[0.7323857272143194, 0.7077126671764673, 0.6997019058876339, 0.7020774387823171, 0.7088181910422067]","[0.7775699800464253, 0.7429054082187814, 0.7294455756947048, 0.7330772684545227, 0.7458286457347001]","[0.9895742025960536, 0.9785495363513428, 0.9962068892365656, 0.9616909554376525, 0.9703935959232673]","[2.4995299098567982, 2.4291676117465917, 2.4253543708189045, 2.396845662674492, 2.425040432700174]",0.7101391860205888,0.7457653756298269,0.9792830359089765,2.435187597559392,0.034193375541151726
2,6,13,hamming,490,"[0.803024667532037, 0.8563442571653646, 0.8048813475262773, 0.7834526718326775, 0.8504132933202831]","[0.8210587962611489, 0.8681656555444625, 0.8356261952745377, 0.8072681972573167, 0.8749643049821969]","[0.9361517682761513, 0.9651518389168586, 0.9668936298815793, 0.9369489516744204, 0.9617670083744883]","[2.560235232069337, 2.689661751626686, 2.607401172682394, 2.5276698207644146, 2.687144606676968]",0.8196232474753279,0.8414166298639326,0.9533826394246997,2.61442251676396,0.06551493903305027
3,41,28,euclidean,473,"[0.6949561975987423, 0.7203718530738693, 0.6877946202972383, 0.7072430920348394, 0.7022595766191071]","[0.7282873186609962, 0.7596544436453959, 0.7131753384810205, 0.738749229299595, 0.738869747922449]","[0.989701401048543, 0.9768256570293146, 0.9957448814270228, 0.9627882394833576, 0.9775492242796937]","[2.4129449173082813, 2.45685195374858, 2.3967148402052816, 2.408780560817792, 2.4186785488212497]",0.7025250679247593,0.7357472156018914,0.9805218806535863,2.4187941641802366,0.020348912512466153
4,28,27,manhattan,12,"[0.6841406159167177, 0.7052427559849893, 0.6824914564761181, 0.6793781099072106, 0.6920088834113404]","[0.7120321504642664, 0.7366154140973333, 0.7237521386980774, 0.7162938253368619, 0.7307400958319029]","[0.9439085781693412, 0.9739319128424466, 0.9736501802454327, 0.9525389981253956, 0.9490537992620288]","[2.3400813445503252, 2.4157900829247696, 2.379893775419628, 2.348210933369468, 2.371802778505272]",0.6886523643392752,0.7238867248856884,0.958616693728929,2.3711557829538923,0.02668737039880087
5,32,35,manhattan,220,"[0.7338765380698764, 0.7243919133068732, 0.7028331794172407, 0.693448910977104, 0.7141484215606845]","[0.7743797475859647, 0.7588176516712143, 0.7288593754197623, 0.7313515820321973, 0.7519873554513071]","[0.9804655216071114, 0.9755459164644388, 0.9924441601991829, 0.9575697703379079, 0.9584501268498119]","[2.4887218072629524, 2.4587554814425263, 2.4241367150361857, 2.3823702633472092, 2.4245859038618036]",0.7137397926663558,0.7490791424320892,0.9728950990916907,2.435714034190135,0.03590030581697974
6,36,12,manhattan,160,"[0.692397145189682, 0.7070289887742198, 0.6885100376842129, 0.6885001329558891, 0.6892789224229291]","[0.7358264156857162, 0.741828611422748, 0.722167763525801, 0.728332741746102, 0.7241664681450812]","[0.9810646671729312, 0.9742421660076832, 0.9923460559892693, 0.9585993845329245, 0.9605756212799893]","[2.409288228048329, 2.4230997662046514, 2.4030238571992832, 2.3754322592349157, 2.3740210118479994]",0.6931430454053865,0.7304644001050897,0.9733655789965596,2.396973024507036,0.01929602497861216
7,20,33,manhattan,83,"[0.7258806162736103, 0.7298705519015327, 0.7026091348863575, 0.7063417456094127, 0.734721405543397]","[0.7621641700355216, 0.7560661171629874, 0.7386684607100739, 0.746297183559806, 0.7662501878947278]","[0.965981030727862, 0.9733357712209308, 0.9780419053529887, 0.9536066046250151, 0.9550771622571691]","[2.454025817036994, 2.459272440285451, 2.41931950094942, 2.406245533794234, 2.456048755695294]",0.719884690842862,0.7538892238726232,0.9652084948367932,2.4389824095522785,0.021852151544868637
8,34,20,euclidean,329,"[0.7143628540755924, 0.7318154987928851, 0.6937054176421377, 0.70802816727707, 0.711362974197941]","[0.7534002905721298, 0.7674982517905917, 0.7260660026933264, 0.7426047952196264, 0.7461988915660845]","[0.9844488289043055, 0.9761685511858154, 0.9865433610460773, 0.960558488093122, 0.9773109433293256]","[2.4522119735520276, 2.475482301769292, 2.4063147813815413, 2.4111914505898184, 2.434872809093351]",0.7118549823971252,0.7471536463683519,0.9770060345117292,2.436014663277206,0.025766746212891305
9,9,18,hamming,50,"[0.7813043020352083, 0.7992279436957077, 0.7726497497848814, 0.7487591343685805, 0.7875370358037391]","[0.8117621944687303, 0.8406528413743198, 0.8134111908302033, 0.783863860912334, 0.8177777467825891]","[0.9275590353606199, 0.9579770892690145, 0.9364039832408733, 0.9404760697156255, 0.9584096791722371]","[2.5206255318645585, 2.597857874339042, 2.522464923855958, 2.47309906499654, 2.5637244617585653]",0.7778956331376233,0.8134935668736354,0.9441651713516741,2.5355543713629323,0.0423559904951311
