trial_number,param_n_neighbors,param_n_trees,param_metric,param_search_k,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,45,23,euclidean,266,"[0.6685758950482267, 0.6874415526803456, 0.68533713716229, 0.6789060841316084, 0.6798751472395729]","[0.6927348527886708, 0.7194154107143711, 0.7161457502240061, 0.7173217948287751, 0.7198398357158945]","[0.9777353218355007, 0.9884016246195635, 0.9953595936251973, 0.9859805760968101, 0.9736976022803693]","[2.3390460696723983, 2.39525858801428, 2.396842481011493, 2.3822084550571936, 2.3734125852358368]",0.6800271632524086,0.7130915288543436,0.9842349436914881,2.3773536357982405,0.021009393963953762
1,23,23,cosine,291,"[0.7269133162277263, 0.7439313447978542, 0.7477274143572954, 0.7482516313131307, 0.7494608895037715]","[0.7658616361352639, 0.7721600658249099, 0.7806280859126137, 0.7834714097548308, 0.7806291798635069]","[0.9721468955572221, 0.9910697383012836, 0.9834538754831752, 0.9698503652309672, 0.965984072295158]","[2.464921847920212, 2.5071611489240477, 2.511809375753084, 2.5015734062989288, 2.4960741416624366]",0.7432569192399556,0.7765500754982251,0.9765009893735612,2.496307984111742,0.016558703013189274
2,33,50,cosine,30,"[0.6536679375870988, 0.6320576276626103, 0.6643282942170876, 0.6398760427285309, 0.645051729201403]","[0.6858127164360291, 0.6646616115931521, 0.6991065933239713, 0.6723724309545185, 0.68426555169652]","[0.9680502986102045, 0.9905758365873257, 0.9900949870726568, 0.9641251766912429, 0.964731306398971]","[2.3075309526333325, 2.287295075843088, 2.3535298746137157, 2.2763736503742926, 2.294048587296894]",0.6469963262793461,0.6812437808008383,0.9755155210720801,2.303755628152264,0.026857690955355586
3,37,42,euclidean,479,"[0.6847597148603226, 0.7193393540134286, 0.7339034210550378, 0.7174209658942625, 0.7113753655263321]","[0.7155259136559959, 0.7576685294714415, 0.7685324756727198, 0.7530129904718632, 0.7509246187907803]","[0.97684372679922, 0.9886484718150971, 0.9942385579640985, 0.9807183802172205, 0.967652282509895]","[2.377129355315539, 2.4656563552999673, 2.4966744546918562, 2.451152336583346, 2.4299522668270077]",0.7133597642698767,0.7491329056125602,0.9816202838611062,2.444112953743543,0.039909171766997244
4,22,18,manhattan,301,"[0.7225911478345391, 0.7456929328963254, 0.7619630212583343, 0.7300622367159191, 0.7426777628650784]","[0.754300949686694, 0.7785517047919303, 0.78987196536494, 0.7622137087404439, 0.7739716153809714]","[0.9762665777809795, 0.9886201700793875, 0.9905721342959899, 0.9796696958210993, 0.9650630436724047]","[2.4531586753022125, 2.5128648077676434, 2.542407120919264, 2.471945641277462, 2.4817124219184543]",0.7405974203140392,0.771781988792996,0.9800383243299722,2.4924177334370072,0.03159748599893071
5,37,48,hamming,363,"[0.738124635840175, 0.7607370148516728, 0.7599976807764243, 0.7651981509191588, 0.7594241805016463]","[0.7682103129933867, 0.7917074595948823, 0.790955844349588, 0.8025407027468177, 0.7906906822044513]","[0.9835062267743604, 0.99608669504461, 0.9970952992219385, 0.9860468172956136, 0.985144272110593]","[2.489841175607922, 2.548531169491165, 2.548048824347951, 2.55378567096159, 2.53525913481669]",0.7566963325778154,0.7888210003778251,0.989575862089423,2.5350931950450635,0.023433347788504557
6,22,50,cosine,201,"[0.7249727703559908, 0.7316255755428493, 0.7553643607909045, 0.7458920876378208, 0.7352550181669009]","[0.7621729926198871, 0.7601153674957871, 0.7848705895233921, 0.7845751101168459, 0.7703525461290093]","[0.9772028711919779, 0.9912392186568759, 0.992907763045528, 0.9707860680247629, 0.9660954771336993]","[2.4643486341678558, 2.4829801616955125, 2.5331427133598243, 2.5012532657794297, 2.4717030414296093]",0.7386219624988933,0.7724173211769843,0.9796462796105686,2.4906855632864464,0.02460743429719594
7,40,41,cosine,368,"[0.698873627805922, 0.7060657832582193, 0.7049612785645348, 0.6918507157893281, 0.7004564487431502]","[0.7316005153770258, 0.7308385560161261, 0.7378879198563912, 0.7246158357165469, 0.7367219273152685]","[0.9802796444862963, 0.9913101832089894, 0.9945336178994516, 0.9732038225793613, 0.9664867455844466]","[2.410753787669244, 2.428214522483335, 2.437382816320378, 2.3896703740852363, 2.4036651216428653]",0.7004415708322309,0.7323329508562717,0.9811628027517092,2.4139373244402114,0.017076694116123618
8,12,23,hamming,419,"[0.7588893316078936, 0.800560513557132, 0.8421245175923147, 0.7843406468226714, 0.7711864484105699]","[0.7820601541464589, 0.8254403512817874, 0.8607854244640268, 0.8112542995368743, 0.7941845209274405]","[0.965205726004437, 0.9729471440159613, 0.9937707376277737, 0.9812161518495057, 0.9678798534093667]","[2.5061552117587897, 2.598948008854881, 2.696680679684115, 2.5768110982090513, 2.533250822747377]",0.7914202915981162,0.8147449500713175,0.9762039225814089,2.582369164250843,0.06571765481770173
9,11,35,hamming,343,"[0.7634530657526615, 0.8008538338365884, 0.8272220595815467, 0.7930633651067954, 0.7885829595350847]","[0.7908772733243172, 0.827099294665407, 0.8459740227545695, 0.8218205117332923, 0.8138679653049711]","[0.961754675106389, 0.977488989439761, 0.9929165803813333, 0.9774780586311306, 0.9731353567843424]","[2.5160850141833677, 2.6054421179417564, 2.6661126627174494, 2.592361935471218, 2.575586281624398]",0.7946350567625353,0.8199278135565115,0.9765547320685913,2.5911176023876377,0.048377909011939266
