trial_number,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,param_min_child_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,188,36,0.006097378631749905,0.8043310420790653,0.9571787817390619,4.48146544466719,0.00042454775855513846,0.0010869620730769541,1,"[0.9532663579179831, 0.9474760809669138, 0.9130761839226834, 0.9457447977687995, 0.9502170085801959]","[0.7332569134516581, 0.7478033804830353, 0.738737654466817, 0.750084570833354, 0.7370417722051456]","[0.9988821852311603, 0.9989170367938361, 0.9975816232955442, 0.9992651537200891, 0.9988728328957694]","[2.6854054566008014, 2.694196498243785, 2.6493954616850446, 2.6950945223222424, 2.686131613681111]",0.9419560858313151,0.741384858288002,0.9987037663872798,2.682044710506597,0.016804370705936236
1,160,4,0.017099332983786086,0.8596576190459042,0.7113949130591901,3.3812745099006563,0.09001483444754631,0.00013179817962229672,6,"[0.9500055933056355, 0.9524259642637374, 0.9054359539245072, 0.9392666321445853, 0.9491649154482534]","[0.6586041160729544, 0.6482403185020797, 0.649259114753361, 0.6551721161311221, 0.6496181367369496]","[0.9977817722537476, 0.9981345880145774, 0.9960261672319919, 0.998413565934293, 0.9975314938242188]","[2.606391481632338, 2.5988008707803947, 2.55072123590986, 2.5928523142100004, 2.5963145460094217]",0.9392598118173439,0.6521787604392932,0.9975775174517658,2.589016089708403,0.019657701266391634
2,115,22,0.005824057997937387,0.8772551673251985,0.7761814870682958,0.7843386923748163,0.05287435592346807,0.7972119913354007,4,"[0.9563994492376893, 0.9449180302240404, 0.9131541709721173, 0.950755344457493, 0.9622396990506599]","[0.7191352809682968, 0.7480865214509119, 0.7224749089164385, 0.7457891800864875, 0.7425897626115661]","[0.998837397790284, 0.999145970856599, 0.9980617713421285, 0.9993144147168697, 0.9988496910494311]","[2.6743721279962704, 2.692150522531551, 2.6336908512306842, 2.6958589392608503, 2.703679152711657]",0.9454933387884001,0.7356151308067402,0.9988418491510623,2.679950318746202,0.025044126206778
3,105,21,0.3367219156696561,0.9903981689891735,0.8689534703651254,4.51417054269199,1.6933797283110252,0.0077619386655518405,1,"[0.9496391511850333, 0.9433218841721898, 0.9066305754679085, 0.9479345527269112, 0.9452429469846024]","[0.750138868910969, 0.7637265873894121, 0.7450654161676592, 0.7631401461793539, 0.7457908025097214]","[0.9994107676070199, 0.9994582676054633, 0.9976844648767974, 0.9997148227109436, 0.9992683390209072]","[2.6991887877030223, 2.7065067391670654, 2.649380456512365, 2.7107895216172087, 2.690302088515231]",0.938553822107329,0.7535723642314232,0.9991073323642263,2.6912335187029788,0.022052397579923323
4,214,29,0.009459157355574137,0.6900218019359328,0.7626079665504994,2.3447012434958454,0.0022191052007971197,0.0028771590544817613,5,"[0.9563262643294986, 0.9447791593255727, 0.9168324380033898, 0.952621202221803, 0.9680775592816127]","[0.7299651979211039, 0.7360445943833238, 0.7341741099936013, 0.7598779206129711, 0.7535198161780964]","[0.9991758679372404, 0.9993518106076678, 0.9982095186610422, 0.9995133829084355, 0.9990889056704698]","[2.685467330187843, 2.6801755643165643, 2.6492160666580333, 2.7120125057432096, 2.720686281130179]",0.9477273246323754,0.7427163278178194,0.9990678971569713,2.6895115496071655,0.02531955446183796
5,265,31,0.0058227110281049875,0.7111910026494406,0.7818488302087787,1.0270517230249376,0.001015999642693531,0.03716852262432066,1,"[0.9566555731011875, 0.946381093480162, 0.9195016418433759, 0.9521212006543303, 0.9673211513761594]","[0.7683739193450206, 0.7937793021269235, 0.7676993781064408, 0.7866561808314414, 0.7821826433613873]","[0.9995097315213815, 0.9996112123975357, 0.9989629285255767, 0.9997009047825312, 0.9994252177287228]","[2.7245392239675894, 2.739771608004621, 2.6861639484753934, 2.738478286268303, 2.7489290124662693]",0.9483961320910431,0.7797382847542427,0.9994419989911496,2.7275764158364355,0.02212565868464102
6,171,20,0.08128772418192202,0.8986984892408019,0.8764371687423057,3.4459020687745707,0.007379052848291794,0.21911596593291138,4,"[0.9546323218138071, 0.9443847473964536, 0.9161916890205033, 0.951047479351136, 0.9543751491439773]","[0.7729630150241674, 0.7780527690194888, 0.7660317707162447, 0.7959298255830722, 0.7735439558088985]","[0.9994454263800563, 0.9995715581978248, 0.9981643048824372, 0.9997252421248257, 0.9992201354593145]","[2.7270407632180307, 2.7220090746137675, 2.6803877646191854, 2.746702547059034, 2.7271392404121904]",0.9441262773451754,0.7773042672303743,0.9992253334088916,2.720655877984442,0.02183841483630039
7,193,18,0.015901318465164228,0.6246115723319757,0.6970701688737353,4.858013030867838,0.001422070154343361,0.2866735039391972,7,"[0.9540309189053775, 0.953524201497184, 0.91514128462921, 0.9516923242528386, 0.9660771507651904]","[0.7233128068820114, 0.7269910925660973, 0.727910312893885, 0.7415644909993492, 0.7432855888871369]","[0.9992196918825477, 0.9994235299646985, 0.9984797823180216, 0.9995723238416134, 0.9991523299237183]","[2.6765634176699367, 2.67993882402798, 2.6415313798411164, 2.692829139093801, 2.7085150695760456]",0.9480931760099601,0.732612858445696,0.9991695315861199,2.679875566041776,0.022222813329118976
8,231,25,0.040773465957916005,0.6267877695731305,0.6290248551288934,0.9948801314853917,0.0005745197793957778,0.00031660788230692403,2,"[0.9550143755171883, 0.9592631186735141, 0.9188630244549398, 0.9578308776019729, 0.9705077560099781]","[0.7854869718170542, 0.8004760604931539, 0.7843066541779752, 0.8211949060925201, 0.8045924290212989]","[0.9997228850950499, 0.999762969617479, 0.9990724466635473, 0.9998281529004115, 0.9996327295417585]","[2.7402242324292923, 2.759502148784147, 2.7022421252964626, 2.7788539365949045, 2.7747329145730357]",0.9522958304515186,0.7992114043204005,0.9996038367636493,2.7511110715355684,0.02794553767536224
9,188,12,0.37127242616079054,0.8726447115229706,0.8164078693439085,3.5359030040394885,0.0020865719016781026,4.301584130554455,9,"[0.9474972993094901, 0.9457787703315694, 0.9105502769780647, 0.9532921693155043, 0.9612129377649095]","[0.7536584271836863, 0.771306936403548, 0.7478096340069971, 0.772943679531878, 0.7827587560885264]","[0.9993906153248013, 0.9992333494959024, 0.9981649819708514, 0.9996264102951494, 0.9982603621157444]","[2.7005463418179776, 2.7163190562310198, 2.656524892955913, 2.7258622591425317, 2.74223205596918]",0.9436662907399075,0.7656954866429271,0.9989351438404898,2.7082969212233245,0.02920583335074433
10,295,48,0.001468834662965098,0.6132797612491907,0.6003242820281564,1.5897279185044,0.00010269580064006,0.00010954519368441351,3,"[0.9595154172583278, 0.9701827507782107, 0.9219291210418696, 0.9589926715929192, 0.9682126756840241]","[0.7481772007338211, 0.7593021513531802, 0.7510329650639842, 0.773360556052876, 0.7619301524024007]","[0.9989853757154856, 0.999316409067663, 0.9985436139724563, 0.9994213375680087, 0.9991440619162286]","[2.7066779937076344, 2.728801311199054, 2.6715057000783102, 2.731774565213804, 2.7292868900026535]",0.9557665272710704,0.7587606051212525,0.9990821596479684,2.7136092920402914,0.022922988575381255
