trial_number,param_alpha,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,17.40108853820366,"[0.5859065211910233, 0.5869710711471425, 0.5717755835064983, 0.5816193875397361, 0.5887695985178154]","[0.592689668721139, 0.5952802937389416, 0.5845536425079129, 0.5915978420962019, 0.5983819851325672]","[0.8797810953670765, 0.8748340789455881, 0.8804428316377702, 0.8685455016589592, 0.8856628907729683]","[2.0583772852792386, 2.057085443831672, 2.0367720576521813, 2.041762731294897, 2.072814474423351]",0.5830084323804432,0.5925006864393525,0.8778532796764724,2.053362398496268,0.012862232328752459
1,64.75062681310848,"[0.32544278164212725, 0.318019764972307, 0.32415422022245866, 0.32306959563371107, 0.32793047253907515]","[0.3486795770322702, 0.3431245590534957, 0.3480264762976841, 0.34757973590058033, 0.35068217254342826]","[0.7634005949720282, 0.7722573702560706, 0.7734211990020821, 0.7592154337210886, 0.7770448242014393]","[1.4375229536464256, 1.4334016942818733, 1.4456018955222247, 1.42986476525538, 1.4556574692839428]",0.3237233670019358,0.34761850416549167,0.7690678844305417,1.4404097555979694,0.009253047712892993
2,16.412216651223066,"[0.589559685259454, 0.5908124178573155, 0.5777268085822491, 0.5862774450462939, 0.5913757536757943]","[0.5942621411337872, 0.5956012233902246, 0.587143667211626, 0.5931378648795402, 0.5966015371080677]","[0.8853774128443905, 0.879349284874713, 0.885861089237345, 0.873776477898701, 0.8911342327878863]","[2.0691992392376317, 2.065762926122253, 2.05073156503122, 2.053191787824535, 2.0791115235717483]",0.5871504220842214,0.5933492867446493,0.8830996995286071,2.0635994083574776,0.010493470259666062
3,0.15315604727301646,"[0.9156947568765907, 0.8958641369876547, 0.8666294486612321, 0.8667348787427791, 0.9219019035945056]","[0.8180147962677438, 0.8158640922172912, 0.7908619163047728, 0.7864152287560731, 0.8233943806424726]","[0.9996972358892156, 0.9995690085019988, 0.9996989245670167, 0.999432730208646, 0.9997563934208487]","[2.73340678903355, 2.711297237706945, 2.6571902895330215, 2.6525828377074983, 2.745052677657827]",0.8933650249725525,0.8069100828376709,0.9996308585175452,2.6999059663277682,0.038352051512172886
4,0.0024909784355899,"[0.9181524104727365, 0.9045654858078704, 0.9234464007114667, 0.8967640489124475, 0.9344612315137429]","[0.8558003567690965, 0.851294990391904, 0.8727420082336095, 0.8413310159939583, 0.8745615536876433]","[0.9998045860017701, 0.9997621805308927, 0.9998271311118266, 0.9997344594909979, 0.9998477681037063]","[2.773757353243603, 2.755622656730667, 2.796015540056903, 2.737829524397404, 2.8088705533050926]",0.9154779154836529,0.8591459850152423,0.9997952250478388,2.774419125546734,0.02586832073825463
5,0.00011705576987546885,"[0.9184383466235065, 0.9050214624279853, 0.9236821244043923, 0.896956940780344, 0.9351066895591411]","[0.8748042200219401, 0.8729185006705156, 0.8932700425887355, 0.8615728543955771, 0.8877668211261488]","[0.9998154310295669, 0.9997789790267876, 0.9998375288498126, 0.9997588694799265, 0.999857341558074]","[2.793057997675014, 2.7777189421252886, 2.8167896958429406, 2.7582886646558475, 2.822730852243364]",0.9158411127590739,0.8780664877605835,0.9998096299888335,2.7937172305084905,0.024023704961057116
6,0.038265986130010615,"[0.9173637000581217, 0.8988238835221948, 0.919806670314981, 0.8903911915748605, 0.9286316482717819]","[0.8255408913295301, 0.8242755472606902, 0.8433239555214799, 0.8272785710047562, 0.8577652413616049]","[0.9997644697576021, 0.9996825397380829, 0.9997742072792153, 0.9996344949260325, 0.9998163470225131]","[2.742669061145254, 2.722781970520968, 2.762904833115676, 2.717304257505649, 2.7862132366559]",0.911003418748388,0.8356368412956122,0.9997344117446894,2.746374671788689,0.02559606834696065
7,0.025948255180701856,"[0.9175670594396067, 0.8988714866314065, 0.9217748287803315, 0.8904433527786527, 0.9337756469677848]","[0.8322466060677219, 0.8253015407043766, 0.8457721122120937, 0.8306780788654088, 0.8618391285338673]","[0.9997762707571758, 0.9997047680747306, 0.9997888754145271, 0.9996636613667839, 0.9998254390613532]","[2.7495899362645044, 2.7238777954105133, 2.7673358164069524, 2.7207850930108455, 2.7954402145630057]",0.9124864749195565,0.8391674932766936,0.9997518029349142,2.7514057711311644,0.027898068689171295
8,0.13678800894802096,"[0.9157453571886195, 0.8959133851308256, 0.8666353680101038, 0.8668207976536995, 0.9219449829731949]","[0.8190644876356958, 0.8173007983984791, 0.7909709043341683, 0.7881483395433151, 0.8234810548730944]","[0.9997051174228829, 0.9995836072033976, 0.9997075535943926, 0.9994584293895652, 0.9997637530836673]","[2.7345149622471983, 2.7127977907327026, 2.6573138259386644, 2.6544275665865795, 2.7451897909299565]",0.8934119781912887,0.8077931169569507,0.9996436921387811,2.7008487872870206,0.038190410353330845
9,0.07419092311898008,"[0.9159629673382749, 0.8963293217109005, 0.9195297271479995, 0.874433423245435, 0.9281081198301547]","[0.8205350502258846, 0.8196196765715422, 0.836347331692025, 0.7999541372210256, 0.8404807762255736]","[0.9997381290442001, 0.9996447391678209, 0.9997468817090613, 0.9995648451660548, 0.9997923848672258]","[2.7362361466083596, 2.7155937374502637, 2.7556239405490857, 2.6739524056325155, 2.768381280922954]",0.906872711854553,0.8233873943872103,0.9996973959908726,2.7299575022326357,0.03321885845059582
