trial_number,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_criterion,param_class_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,52,27,11,2,,True,gini,balanced_subsample,"[0.9211906031708724, 0.90321075988378, 0.9354226321041211, 0.9162843430343129, 0.9107490433438243]","[0.7836709060765208, 0.8028063677139259, 0.7890399320222639, 0.8038736745613774, 0.7699365168955041]","[0.9890772617773022, 0.9986039337295967, 0.9970268703100936, 0.9990735144090085, 0.9976946789316539]","[2.6939387710246954, 2.7046210613273027, 2.721489434436479, 2.7192315320046987, 2.6783802391709823]",0.9173714763073821,0.7898654794539184,0.996295251831531,2.703532207592832,0.0160920596943889
1,59,36,12,9,,False,gini,balanced,"[0.8749030099873417, 0.8709497495358595, 0.9044357442206937, 0.8755035549222494, 0.8797566996205767]","[0.6634169629247286, 0.7069603921265599, 0.6591243038910736, 0.6824277274485689, 0.6984057814457543]","[0.967260293244352, 0.9742767142378506, 0.9854780450006189, 0.9705988426529941, 0.9631512237989626]","[2.5055802661564224, 2.5521868559002696, 2.549038093112386, 2.5285301250238126, 2.541313704865294]",0.8811097516573442,0.6820670335673371,0.9721530237869557,2.535329809011637,0.01696558336638236
2,296,11,11,10,,False,entropy,balanced,"[0.8037739874110145, 0.7812351206367586, 0.8106396277441157, 0.7829905067154935, 0.7991334864797766]","[0.5138768911097374, 0.5005073901372318, 0.44906501612785577, 0.5346714156529386, 0.47620033270039136]","[0.9666238556720456, 0.9626088342258612, 0.9683556862989687, 0.9598156257366053, 0.9617219327171401]","[2.2842747341927976, 2.244351344999852, 2.22806033017094, 2.277477548105037, 2.237055751897308]",0.7955545457974317,0.49486420914563095,0.9638251869301241,2.254243941873187,0.02245229527331008
3,166,32,11,5,log2,False,gini,balanced,"[0.9484196388388972, 0.9311955257171494, 0.9551112891672673, 0.9607246371579703, 0.954198222880821]","[0.7909240325717118, 0.7546707726294735, 0.7934187226269678, 0.7805548880680623, 0.7909861892496595]","[0.999618637474968, 0.9994376748469876, 0.9992868126624335, 0.9995564971980413, 0.9994904762790334]","[2.7389623088855775, 2.6853039731936104, 2.7478168244566685, 2.740836022424074, 2.744674888409514]",0.949929862752421,0.782110921029175,0.9994780196922928,2.7315188034738886,0.023309804539733817
4,165,5,2,2,sqrt,False,entropy,balanced_subsample,"[0.8644603280085198, 0.8339992622931774, 0.8562375700271743, 0.8436617011180404, 0.8774490765110967]","[0.3699696756893596, 0.36834387573393584, 0.37651138395483136, 0.36751190453294613, 0.37796081235909784]","[0.9908496566786406, 0.9891135999819195, 0.9899941555740042, 0.9915757037591164, 0.9900076827219338]","[2.22527966037652, 2.1914567380090326, 2.22274310955601, 2.2027493094101027, 2.2454175715921285]",0.8551615875916017,0.3720595304540341,0.9903081597431228,2.2175292777887585,0.018778893466104004
5,55,21,5,4,log2,False,entropy,balanced_subsample,"[0.9570949144855028, 0.9395972887880094, 0.948148111896618, 0.9613547664860242, 0.953145444648518]","[0.7359355340300765, 0.7224187798925528, 0.7378708074976643, 0.7305459421179856, 0.7119065231004137]","[0.9989799505012469, 0.9992224137539538, 0.9990829061076567, 0.9992820947558282, 0.99918599463472]","[2.692010399016826, 2.661238482434516, 2.685101825501939, 2.691182803359838, 2.664237962383652]",0.9518681052609346,0.7277355173277386,0.9991506719506811,2.6787542945393543,0.01332674648731753
6,174,23,15,6,log2,False,gini,balanced_subsample,"[0.9535468214476799, 0.942628996155526, 0.9500761852742616, 0.9606857560388492, 0.9514291001623387]","[0.7505615134946264, 0.7217481844833418, 0.742712841461197, 0.7722771401718398, 0.7568748185024815]","[0.9993730841331654, 0.9989227286587996, 0.999105945503733, 0.9993344957613087, 0.9991853435268122]","[2.7034814190754717, 2.6632999092976677, 2.691894972239192, 2.7322973919719975, 2.707489262191632]",0.9516733718157312,0.7488348996226973,0.9991843195167638,2.699692590955192,0.022465290944502187
7,122,7,11,7,log2,True,gini,balanced,"[0.8974654550161119, 0.8789799130277837, 0.9049236240395406, 0.8851783976374382, 0.9133706130600546]","[0.48794387307246573, 0.4843762946195166, 0.484955382346718, 0.49393518919245977, 0.47837688649257076]","[0.9930939852590369, 0.991965199041405, 0.9936648346690578, 0.9941611453029056, 0.993542019848207]","[2.3785033133476143, 2.3553214066887054, 2.3835438410553165, 2.3732747321328036, 2.3852895194008323]",0.8959836005561858,0.4859175251447462,0.9932854368241225,2.3751865625250543,0.010781411688052038
8,83,8,17,6,log2,True,gini,balanced,"[0.8949387507355597, 0.8701529331024317, 0.9134032494566905, 0.8919580950077232, 0.9059808581461978]","[0.5266965785668754, 0.5111773667385132, 0.5441790291681958, 0.5202300391143516, 0.5198264158262156]","[0.992812554296312, 0.9929184690254543, 0.9945115128384348, 0.9937747832574256, 0.9941116262907805]","[2.414447883598747, 2.374248768866399, 2.452093791463321, 2.4059629173795005, 2.419918900263194]",0.8952867772897207,0.5244218858828302,0.9936257891416815,2.4133344523142326,0.025015640040463503
9,180,27,17,1,sqrt,False,entropy,balanced_subsample,"[0.95224129607792, 0.9280848952504382, 0.952417209622988, 0.9533448822634285, 0.9362741948212423]","[0.8254741761033572, 0.8037586645183348, 0.8332655152395294, 0.8121337088102816, 0.7937298882673315]","[0.9994866762155575, 0.9996490286459111, 0.9995580061113474, 0.999628430713714, 0.9995105072886769]","[2.7772021483968348, 2.7314925884146843, 2.785240730973865, 2.765107021787424, 2.7295145903772506]",0.9444724956072033,0.813672390587767,0.9995665297950413,2.757711415990012,0.023129784747837622
