trial_number,param_C,param_penalty,param_l1_ratio,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,0.00011541039390580609,l1,0.21368886836363085,"[0.04, 0.04, 0.04, 0.04, 0.04]","[8.747795414462082e-05, 2.5416548997458346e-05, 0.0002394029009998592, 7.056167090036692e-05, 0.0002843068261787474]","[0.5, 0.5, 0.5, 0.5, 0.5]","[0.5400874779541446, 0.5400254165489975, 0.5402394029009998, 0.5400705616709004, 0.5402843068261788]",0.04,0.00014143318024421053,0.5,0.5401414331802442,0.00010139501060065759
1,0.0020481042263457983,l1,0.37639891204032006,"[0.543711860437977, 0.5747938405608031, 0.732518553304297, 0.7274849091159231, 0.7043555162430785]","[0.26581480446845085, 0.29756049972095494, 0.2969558973358755, 0.35224047746506815, 0.4226506909068119]","[0.8961826455025019, 0.8960412880430715, 0.9402320969325298, 0.9578454854344274, 0.9387818438956239]","[1.7057093104089298, 1.7683956283248294, 1.9697065475727022, 2.0375708720154186, 2.065788051045514]",0.6565729359324158,0.32704447397943226,0.9258166719616309,1.909434081873479,0.14552937756540468
2,0.001001516431963843,l2,0.6592859131190087,"[0.7137841337548742, 0.30650592238818886, 0.6819967412853929, 0.6981728340279664, 0.7279969971366177]","[0.36499150561888294, 0.2622186364259371, 0.3776289384190584, 0.3586916877349646, 0.33045687598281276]","[0.9624079380769143, 0.7132637031082492, 0.9859361451623281, 0.9476342633032805, 0.9387347099322811]","[2.0411835774506715, 1.281988261922375, 2.0455618248667795, 2.0044987850662115, 1.9971885830517115]",0.6256913257186081,0.3387975288363312,0.9095953519166106,1.8740842064715497,0.2966705346969635
3,0.2732491964074024,l1,0.6619419392544442,"[0.9186863871891431, 0.937381814629938, 0.943922464780871, 0.9378471541004844, 0.925973499287091]","[0.7725242760647896, 0.7778788980285064, 0.7641836696000902, 0.7988475804503774, 0.7589224761712506]","[0.99926544624081, 0.9990167064361899, 0.9992327817873631, 0.9992518772510876, 0.9991253122604792]","[2.6904761094947425, 2.7142774190946346, 2.7073389161683243, 2.7359466118019493, 2.6840212877188208]",0.9327622639975056,0.7744713800630028,0.9991784247951859,2.7064120688556943,0.018386483557437456
4,0.020838335103563595,l2,0.8524195276213249,"[0.8862200293785691, 0.669064603654636, 0.852393289966872, 0.8283210938655963, 0.8039643996219419]","[0.49875586393127824, 0.3901852661186339, 0.4902512696241647, 0.5232755476549722, 0.4951492395284213]","[0.9960298212619902, 0.9667320929731861, 0.9898106690544322, 0.9896562104741804, 0.9708535537923288]","[2.3810057145718373, 2.025981962746456, 2.332455228645469, 2.341252851994749, 2.2699671929426923]",0.8079926832975233,0.47952343737149405,0.9826164695112236,2.2701325901802405,0.1271570751871425
5,6.644137630116339,l1,0.8564139335809926,"[0.9534457989712144, 0.941539353136958, 0.9404673213373245, 0.9572107063919999, 0.9531973206189894]","[0.7889284293751021, 0.7576950106716085, 0.8086009683122453, 0.7740279879857899, 0.8194257085670634]","[0.9997171897592381, 0.9995407399526265, 0.99947017012134, 0.9992989048166243, 0.9994067050922747]","[2.7420914181055545, 2.698775103761193, 2.7485384597709097, 2.730537599194414, 2.7720297342783278]",0.9491721000912973,0.7897356209823618,0.9994867419484207,2.73839446302208,0.02399718132139935
6,0.7893012288701478,l2,0.2944925402507268,"[0.9448159324726639, 0.8862682070957034, 0.9120939532353104, 0.902808771555848, 0.9376211883706366]","[0.6919387373278489, 0.6798924879598371, 0.6774565396779613, 0.5454756289540235, 0.6011914258961436]","[0.9988590163316053, 0.9974001643689034, 0.9981408787054694, 0.9955984641559098, 0.9986504199176436]","[2.6356136861321184, 2.5635608594244443, 2.587691371618741, 2.4438828646657815, 2.537463034184424]",0.9167216105460325,0.6391909639631629,0.9977297886959062,2.553642363205102,0.06369603995661399
7,17.394224002326368,l1,0.47082777118724606,"[0.9533611158398948, 0.9428626262253682, 0.9486424321009421, 0.9443537863090242, 0.955046370918246]","[0.8057067688438915, 0.7650381978614565, 0.7871424194206117, 0.8070321930768426, 0.7699840322553547]","[0.9997528822330167, 0.9995107344501222, 0.9996045055287139, 0.999435414236227, 0.999418232421693]","[2.758820766916803, 2.707411558536947, 2.735389357050268, 2.7508213936220938, 2.7244486355952935]",0.948853266278695,0.7869807222916314,0.9995443537739546,2.7353783423442812,0.018382789288224528
8,0.4604966181158824,l1,0.7963266371412249,"[0.9385923918930095, 0.900991370370864, 0.95476344882817, 0.924324803478993, 0.9345660237513126]","[0.7618800221346181, 0.7216222830144933, 0.776775609468432, 0.758530447699338, 0.6966891792039027]","[0.9996394214174847, 0.9989959777516436, 0.9991358216105485, 0.999176499333338, 0.999037729739506]","[2.7001118354451124, 2.6216096311370007, 2.7306748799071503, 2.682031750511669, 2.6302929326947213]",0.9306476076644697,0.7430995083041567,0.9991970899705042,2.672944205939131,0.0414918400546871
9,0.001330919788631838,elasticnet,0.13156385413941366,"[0.7112526235357841, 0.39673995890790464, 0.7490309261639339, 0.6057520036068162, 0.6777368787582227]","[0.32131472926274546, 0.23790642810782983, 0.40360904655312807, 0.2702261661540265, 0.3226290554791768]","[0.9827545768332197, 0.7149819627208954, 0.9813455105621789, 0.9144411021577981, 0.9380312825710954]","[2.015321929631749, 1.34962834973663, 2.1339854832792406, 1.790419271918641, 1.9383972168084949]",0.6281024781945324,0.31113708511138133,0.9063108869690375,1.845550450274951,0.27188814691053076
