trial_number,param_hidden_layer_sizes,param_activation,param_learning_rate_init,param_batch_size,param_alpha,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,32,tanh,2.16889538501089e-05,256,0.0001306908334241364,"[0.6607978639853306, 0.6367581578071684, 0.6499943864474759, 0.6438902663734861, 0.6646243743861437]","[0.6864081252385129, 0.6581350300900429, 0.6732179091093426, 0.6646063478302754, 0.6919530293408688]","[0.999318879166064, 0.9989996181202909, 0.9993906144374627, 0.9990597026168864, 0.9993866107782003]","[2.3465248683899076, 2.293892806017502, 2.322602909994281, 2.307556316820648, 2.3559640145052128]",0.6512130097999209,0.6748640883218086,0.9992310850237809,2.32530818314551,0.023234891478325727
1,64,relu,0.019928832547297767,256,0.0003227816020293697,"[0.8809834275460457, 0.8672911116622936, 0.9248409260063947, 0.8669164713393712, 0.8998399775210234]","[0.8986725320811461, 0.8948181348842911, 0.9171526242420421, 0.8759780363903299, 0.9233096741437323]","[0.9998940027707205, 0.9998789646015535, 0.9998930511895173, 0.999846489144431, 0.9998780346727336]","[2.7795499623979123, 2.761988211148138, 2.8418866014379542, 2.742740996874132, 2.8230276863374897]",0.8879743828150257,0.9019862003483082,0.9998781084757912,2.789838691639125,0.03717578337754137
2,256,logistic,0.042180245944472713,32,0.003082088840588411,"[0.6976491719437853, 0.6302507847910853, 0.6302565678803385, 0.6199163829548996, 0.6196407487379731]","[0.7199444075249448, 0.6496278367205265, 0.662507147273368, 0.6472173780169629, 0.6473475191291814]","[0.9987355877183094, 0.9985356529265508, 0.9985552273558908, 0.9977889471458061, 0.9987043379908994]","[2.4163291671870395, 2.2784142744381626, 2.291318942509597, 2.264922708117669, 2.265692605858054]",0.6395427312616164,0.6653288577329967,0.9984639506274913,2.303335539622104,0.05731590358943803
3,64,tanh,0.0038767415967459334,32,0.0003225479177715234,"[0.8754600843357505, 0.8442820364605899, 0.8723210879388104, 0.8824643401157435, 0.9286173187448503]","[0.9072228632860031, 0.8763847147277659, 0.9041756301766961, 0.9022727623456431, 0.9483657820280104]","[0.9999068233909145, 0.999882459205467, 0.9998926775622433, 0.9998700567470972, 0.9998883231336417]","[2.782589771012668, 2.720549210393823, 2.7763893956777497, 2.784607159208484, 2.8768714239065023]",0.8806289735191488,0.9076843505128238,0.9998880680078728,2.7882013920398454,0.050245645166436516
4,16,tanh,0.043441502436145925,64,0.002149497206948265,"[0.7555534577104573, 0.7864008316710804, 0.7661440376073704, 0.7900074712105228, 0.7485381203776456]","[0.7874466042089998, 0.7973359202234152, 0.7756496264430279, 0.8051731759521314, 0.7808081918989582]","[0.9995304049190743, 0.9992519839076662, 0.9993740374794204, 0.9996022787762405, 0.9995228474597491]","[2.5425304668385316, 2.5829887358021617, 2.541167701529819, 2.594782925938895, 2.528869159736353]",0.7693287837154152,0.7892827037453065,0.9994563105084302,2.558067797969152,0.025879088690610858
5,16,relu,0.0009491752831840507,64,0.08173246260506287,"[0.5878493151439695, 0.5784270106206706, 0.5703564945342827, 0.5912358144462361, 0.5780747052976263]","[0.6091567218054696, 0.6010102288625522, 0.5979034109427899, 0.612239146866334, 0.602719636580058]","[0.9977923696105259, 0.997791580277229, 0.9985116167945915, 0.9981129413946255, 0.998004989733995]","[2.194798406559965, 2.177228819760452, 2.166771522271664, 2.201587902707195, 2.178799331611679]",0.581188668008557,0.6046058290114407,0.9980426995621935,2.1838371965821906,0.012613672418969046
6,64,tanh,2.5835460525095467e-05,64,0.00017808620932694387,"[0.7360975602652622, 0.7464539051444548, 0.7366372337970507, 0.7519923669411379, 0.7100830126126054]","[0.7619383260408901, 0.7741444386905454, 0.7594879153309165, 0.7751247892840638, 0.7417780250886582]","[0.9998369351749146, 0.9997207780364431, 0.999891794269996, 0.9998046540204969, 0.9997388135599776]","[2.497872821481067, 2.5203191218714434, 2.4960169433979633, 2.5269218102456987, 2.451599851261241]",0.7362528157521021,0.7624946988870148,0.9997985950123656,2.4985461096514827,0.02641986230503429
7,256,relu,0.023257583757522907,128,0.02370661550146988,"[0.7494710686777617, 0.7036111529294529, 0.7234785149433455, 0.7251814400950259, 0.7481495997341994]","[0.7694215844803398, 0.7336386805954589, 0.7521593023064375, 0.7511408449881563, 0.7753561640548915]","[0.999642232238608, 0.999448658573693, 0.9996529624623762, 0.9997035392890586, 0.9997077007679934]","[2.5185348853967096, 2.436698492098605, 2.475290779712159, 2.4760258243722406, 2.523213464557084]",0.729978355275957,0.7563433152850567,0.999631018666346,2.48595268922736,0.031900344137800664
8,32,logistic,1.9623518763321147e-05,32,0.020033753271565497,"[0.26835032759256355, 0.2744089538784735, 0.2735656956155061, 0.2609013642681852, 0.30773223422320084]","[0.27437176573572936, 0.27886444802517985, 0.28211941457858486, 0.26704230833745923, 0.32667829535625714]","[0.9906995873607346, 0.9907402884768411, 0.9921755573063971, 0.9897904293795381, 0.991932051553176]","[1.5334216806890275, 1.5440136903804946, 1.547860667500488, 1.5177341019851824, 1.626342581132634]",0.2769917151155859,0.285815246406642,0.9910675828153375,1.5538745443375652,0.03770801166107072
9,128,tanh,0.007968850649831674,32,0.00861701790765279,"[0.728445451271774, 0.7077093341659892, 0.7250096716556795, 0.7081350840140265, 0.7071675612225771]","[0.7634223949636885, 0.7279206430558619, 0.7540137772399583, 0.720360456204377, 0.7355237620787284]","[0.9995147852848654, 0.9995000460982463, 0.9997383407264462, 0.9996448658015931, 0.9997311986333217]","[2.491382631520328, 2.4351300233200974, 2.4787617896220837, 2.4281404060199967, 2.442422521934627]",0.7152934204660092,0.7402482067085228,0.9996258473088945,2.4551674744834266,0.025150049703293056
10,64,relu,0.0004363587420194913,256,0.0006915990211809836,"[0.8750963938110736, 0.8676702907831007, 0.895396493578431, 0.8673406618139929, 0.8869171266785663]","[0.9091828994553255, 0.8935139115641562, 0.9236522677315837, 0.8895370286333669, 0.9096982625776687]","[0.9999377734570871, 0.99987827505592, 0.9999405976386383, 0.9998854324361058, 0.9998803213895674]","[2.7842170667234862, 2.761062477403177, 2.8189893589486528, 2.756763122883466, 2.7964957106458024]",0.8784841933330328,0.9051168739924202,0.9999044799954637,2.7835055473209165,0.023009563849953424
11,64,relu,0.004855453143990272,256,0.0005173361325967608,"[0.9009415090869994, 0.8673112977379486, 0.8994296499294542, 0.8755823833597861, 0.9090043184070481]","[0.927493524844917, 0.8845906419058658, 0.9225650214719533, 0.8963753685925328, 0.933430250334511]","[0.9999243801851455, 0.9998983049863023, 0.9999422790423529, 0.9998739187392272, 0.999881407372892]","[2.828359414117062, 2.751800244630117, 2.82193695044376, 2.771831670691546, 2.842315976114451]",0.8904538317042473,0.9128909614299561,0.999904058065184,2.803248851199387,0.03504289948483454
12,64,relu,0.003873567215909903,256,0.000849600435466288,"[0.8971114700196418, 0.8731066369102733, 0.916749938384563, 0.8769805011230919, 0.9183803549527372]","[0.9239167500079563, 0.8922151521800755, 0.9177452477236586, 0.8945995697831084, 0.9373438941830643]","[0.9999271906701711, 0.9998942355268895, 0.9999406789307098, 0.9998831146679048, 0.9998950897341061]","[2.8209554106977692, 2.765216024617238, 2.8344358650389316, 2.771463185574105, 2.8556193388699076]",0.8964657802780615,0.9131641227755726,0.9999080619059562,2.8095379649595906,0.035462317290250456
13,64,relu,0.00021260886820933692,256,0.0011222587263230058,"[0.8570669440487008, 0.8529831714656853, 0.8419408052915226, 0.854206599875635, 0.7622452275913507]","[0.8852288648579233, 0.8767312223253013, 0.8703300775989723, 0.8774138944983737, 0.783600580380029]","[0.9999318510629255, 0.9998651947560805, 0.9999315440022427, 0.9998815433760755, 0.9998458821884276]","[2.7422276599695494, 2.729579588547067, 2.7122024268927376, 2.7315020377500843, 2.5456916901598072]",0.8336885496545788,0.85866092793212,0.9998912030771503,2.6922406806638493,0.07390456580284212
