trial_number,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_criterion,param_class_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,274,18,17,1,log2,True,gini,balanced,"[0.9528025414776627, 0.9607822074382402, 0.9698213592264362, 0.9452035787812336, 0.9251510875237001]","[0.7119860803387791, 0.7370137111349427, 0.7106706683618149, 0.6939176069843144, 0.7140684123576417]","[0.9987347226539981, 0.9988601062978002, 0.9992972820496168, 0.9982359427613716, 0.9985638530644995]","[2.66352334447044, 2.6966560248709834, 2.6797893096378678, 2.6373571285269195, 2.637783352945841]",0.9507521548894544,0.7135312958354986,0.9987383813654572,2.6630218320904104,0.023273661424474134
1,195,33,20,9,log2,False,gini,balanced,"[0.9554382027112459, 0.9646947490546716, 0.9734024427108614, 0.9489817001315761, 0.9324069661057977]","[0.7613654240080419, 0.7682828625568041, 0.7434059547494405, 0.7338512335113455, 0.7491700091508978]","[0.9995003996631691, 0.9992619372814922, 0.9996793892261803, 0.9991756964819981, 0.9991816345930223]","[2.7163040263824567, 2.732239548892968, 2.716487786686482, 2.6820086301249195, 2.680758609849718]",0.9549848121428305,0.751215096795306,0.9993598114491723,2.705559720387309,0.02057389088088535
2,81,48,9,3,log2,True,entropy,balanced,"[0.9705517822538774, 0.9548526824917107, 0.9783783233281178, 0.9492947100366307, 0.9235254050125933]","[0.8115773143872965, 0.7971003181990726, 0.7869487388731748, 0.7732296160919907, 0.7749338948602933]","[0.9996340002797353, 0.9990066333947414, 0.999705134846447, 0.9994174335146713, 0.9991594174152858]","[2.7817630969209093, 2.7509596340855245, 2.7650321970477396, 2.7219417596432924, 2.6976187172881723]",0.9553205806245859,0.7887579764823656,0.9993845238901763,2.7434630809971274,0.030176776673024156
3,151,38,15,5,sqrt,True,entropy,balanced,"[0.9420123280578578, 0.9575100564569216, 0.9775364887550688, 0.9466436682913927, 0.922308613022806]","[0.7916336528049712, 0.7959657512214489, 0.7828455370585741, 0.7665385026305056, 0.7764186198736788]","[0.9996430102890332, 0.9988189697690395, 0.9997117535272497, 0.9993417087398511, 0.9982831796973792]","[2.7332889911518623, 2.7522947774474096, 2.7600937793408926, 2.7125238796617492, 2.6970104125938636]",0.9492022309168094,0.7826804127178357,0.9991597244045106,2.7310423680391556,0.023671945939883164
4,97,25,8,8,,False,gini,balanced_subsample,"[0.8019352815779278, 0.8625254640999306, 0.8602023034276578, 0.8264971363465513, 0.8297901520852882]","[0.6340216216207384, 0.6118018692801165, 0.6592444235629858, 0.6540149956614673, 0.6632726540894218]","[0.9688632210468442, 0.9829352700694508, 0.9771378144703584, 0.9716034473571782, 0.967820164402083]","[2.4048201242455103, 2.457262603449498, 2.4965845414610017, 2.4521155793651968, 2.460882970576793]",0.8361900675074712,0.6444711128429459,0.9736719834691827,2.4543331638196,0.029302284096554363
5,169,22,16,9,,False,gini,balanced_subsample,"[0.7549993604782815, 0.8210516468051607, 0.8294906591333383, 0.7652410654834866, 0.7784235871930919]","[0.6786055003744772, 0.6230889145604382, 0.6733447317767535, 0.6433999114931415, 0.6471733702800115]","[0.9574496378691468, 0.9723227578882684, 0.9734395963215188, 0.9574048799925666, 0.9538208875462593]","[2.3910544987219056, 2.416463319253867, 2.4762749872316103, 2.366045856969195, 2.379417845019363]",0.7898412638186719,0.6531224856969644,0.9628875519235519,2.405851301439188,0.03892109155996414
6,91,34,6,1,sqrt,False,gini,balanced,"[0.9367100459140647, 0.9591354155824285, 0.9715474648502108, 0.9490295473100349, 0.9361035543827424]","[0.8104229232508722, 0.8232881773708656, 0.7991867510002828, 0.7904269903931349, 0.8103241607613536]","[0.9997447613645533, 0.9995230476610663, 0.9998098530892717, 0.9996063699657003, 0.9995064313497838]","[2.7468777305294902, 2.7819466406143603, 2.770544068939765, 2.73906290766887, 2.74593414649388]",0.9505052056078963,0.8067298005553016,0.9996380926860751,2.7568730988492733,0.016445965439735616
7,228,12,11,1,log2,True,gini,balanced_subsample,"[0.9235761279938975, 0.9456878545230087, 0.955244695404671, 0.9212635966873244, 0.9097554265151434]","[0.6395080344851398, 0.6380712475270385, 0.6546875906689036, 0.6350456302554093, 0.6282077339398371]","[0.9969342086480648, 0.997810943520165, 0.9980980171440963, 0.9961641801412168, 0.9968657454489225]","[2.560018371127102, 2.581570045570212, 2.608030303217671, 2.5524734070839505, 2.534828905903903]",0.9311055402248091,0.6391040473752656,0.9971746189804931,2.567384206580568,0.025257784049186643
8,117,40,5,8,sqrt,False,gini,balanced,"[0.9611772467901649, 0.9644620604642021, 0.9755218442038691, 0.9498520548924904, 0.9343274686324883]","[0.7902452512650173, 0.7897897586934702, 0.7810271761221393, 0.7697766559518687, 0.7745841352051319]","[0.9996623615923623, 0.9992998251742583, 0.9997467587918707, 0.9994395645009295, 0.9992728302250545]","[2.751084859647545, 2.753551644331931, 2.7562957791178793, 2.719068275345289, 2.708184434062675]",0.957068134996643,0.7810845954475255,0.999484268056895,2.737636998501064,0.01997259145467448
9,255,3,12,6,,True,entropy,balanced,"[0.604919267366958, 0.5887856458454689, 0.611980109666665, 0.5501345350399319, 0.48572781663177783]","[0.08264139577180535, 0.10860150589210127, 0.12233585078097167, 0.08221094577805131, 0.10025632385395862]","[0.9493742704133319, 0.957139652846686, 0.9492115333099932, 0.9380753302503493, 0.9349352079319695]","[1.6369349335520953, 1.6545268045842563, 1.68352749375763, 1.5704208110683324, 1.520919348417706]",0.5683094749101604,0.09920920441537764,0.945747198950466,1.6132658782760039,0.05926713117481725
