trial_number,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_criterion,param_class_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,154,37,2,4,,False,gini,balanced,"[0.8710861512851399, 0.8965224327303308, 0.8971390463364513, 0.9046887999638973, 0.8596265004629725]","[0.7067658762089328, 0.6971759916940266, 0.7070866772187664, 0.7250729958932434, 0.7324529259969497]","[0.9651226167259815, 0.9771505944141464, 0.9738752103196062, 0.9773557054015113, 0.970429234807797]","[2.5429746442200543, 2.5708490188385036, 2.5781009338748238, 2.607117501258652, 2.562508661267719]",0.8858125861557584,0.7137108934023837,0.9727866723338086,2.5723101518919504,0.020994574844628047
1,270,4,14,5,sqrt,False,entropy,balanced_subsample,"[0.7978791413280841, 0.8244340964112413, 0.8479026931720973, 0.854482582784179, 0.837683992067139]","[0.2922132766616555, 0.2845843990518289, 0.29463791895650554, 0.289217528492288, 0.2890773843626802]","[0.9856820431904771, 0.9881452926745138, 0.9878889760036449, 0.9871389747460312, 0.9889926876963822]","[2.0757744611802167, 2.0971637881375838, 2.1304295881322477, 2.1308390860224984, 2.115754064126201]",0.8324765011525482,0.2899461015049916,0.9875695948622099,2.1099921975197495,0.021075580037392273
2,71,4,5,9,,False,entropy,balanced,"[0.3039432045754848, 0.3562358057953972, 0.3640228896654317, 0.3524161670733379, 0.364536129207482]","[0.08758832805043214, 0.1687614645431231, 0.10455876452248054, 0.07382729361863943, 0.09507925370043091]","[0.8433234982291005, 0.8732528783063742, 0.8609771820980066, 0.8712299503516877, 0.8756397477223682]","[1.2348550308550175, 1.3982501486448946, 1.3295588362859188, 1.297473411043665, 1.3352551306302811]",0.3482308392634267,0.10596302088702121,0.8648846513415075,1.3190785114919554,0.05329173181646746
3,238,50,16,3,sqrt,True,gini,balanced_subsample,"[0.9186909516461487, 0.9639523804618565, 0.9340686851452037, 0.9704334959301465, 0.934154088249104]","[0.7963165062519506, 0.8314651066016165, 0.8289034422745091, 0.8275707102373459, 0.8223540393942599]","[0.9982244938223624, 0.9995159444016349, 0.9997801582791026, 0.9996471893091835, 0.9996655351348163]","[2.713231951720462, 2.794933431465108, 2.7627522856988156, 2.797651395476676, 2.7561736627781803]",0.9442599202864919,0.8213219609519363,0.9993666641894199,2.764948545427848,0.030740845723536126
4,103,15,11,1,,True,entropy,balanced,"[0.8765909277817825, 0.903040045657893, 0.8939532012891823, 0.9118630864236225, 0.8890894369796744]","[0.7472915721076622, 0.7441807647978261, 0.7716275578962901, 0.7626215958367355, 0.7505729021466324]","[0.9700600705989326, 0.9984510393114293, 0.9980960508673811, 0.9968861220788015, 0.9983397381585136]","[2.593942570488377, 2.6456718497671483, 2.663676810052854, 2.6713708043391593, 2.6380020772848205]",0.8949073396264309,0.7552588785570292,0.9923666042030115,2.642532822386472,0.027092770774258982
5,184,34,11,10,log2,False,gini,balanced,"[0.9276969522289451, 0.9612369150897568, 0.9365295011787098, 0.9684956396524784, 0.9384965639279835]","[0.747477081530815, 0.754217064366753, 0.767075527441861, 0.7499814511343511, 0.7300336941603759]","[0.9983665999898298, 0.9992506077516288, 0.9996459831795117, 0.9993687448132812, 0.9994502044477287]","[2.6735406337495897, 2.7147045872081383, 2.7032510118000825, 2.717845835600111, 2.667980462536088]",0.9464911144155748,0.7497569637268312,0.999216428036396,2.695464506178802,0.02082192657617343
6,238,37,18,7,sqrt,True,gini,balanced,"[0.9196074593628741, 0.9533048084131611, 0.940250215032075, 0.9673317170879265, 0.9346982342815521]","[0.773953526895551, 0.7878711022038424, 0.7923570696337164, 0.7825059200839768, 0.7621516381175465]","[0.9983045188492433, 0.9995365559727282, 0.9997490147105462, 0.9996125220266783, 0.9995692556967738]","[2.6918655051076685, 2.7407124665897316, 2.7323562993763377, 2.749450159198582, 2.6964191280958723]",0.9430384868355178,0.7797678513869266,0.999354373451194,2.722160711673639,0.023551051913885988
7,288,24,12,5,log2,False,entropy,balanced,"[0.9275694858147016, 0.956760731221846, 0.9376322029859161, 0.9655566948037243, 0.9392443488755262]","[0.7488421033571054, 0.7482391387481983, 0.7241571481644462, 0.7517526407746274, 0.7354136781022734]","[0.998051118990802, 0.9993273401972504, 0.9995972353458852, 0.9994215415823672, 0.9995086508065502]","[2.674462708162609, 2.704327210167295, 2.6613865864962474, 2.716730877160719, 2.6741666777843496]",0.9453526927403428,0.7416809418293301,0.9991811773845709,2.686214811954244,0.020779795305114042
8,278,32,2,10,log2,False,gini,balanced,"[0.9279076732792269, 0.9532620591532799, 0.940386772716939, 0.9714982218035295, 0.9353587944883864]","[0.7500833899719603, 0.7454556257963487, 0.7540587747537899, 0.7515197641651358, 0.7290548007004567]","[0.998300699648662, 0.9993108139514578, 0.9996184371116592, 0.9994035863416256, 0.9994422711544062]","[2.676291762899849, 2.6980284989010865, 2.694063984582388, 2.722421572310291, 2.6638558663432494]",0.9456827042882724,0.7460344710775383,0.9992151616415622,2.6909323370073728,0.0199960813358091
9,281,37,4,1,,True,entropy,balanced_subsample,"[0.8960677123717663, 0.9005671631542351, 0.9018116464399191, 0.9107598502541654, 0.9094977506871456]","[0.7818225807279033, 0.8140144045952848, 0.8201631197824981, 0.802416508029087, 0.8141036448988446]","[0.9686990297161335, 0.9925991194676965, 0.9949457076225032, 0.9920137643865361, 0.988243745726402]","[2.646589322815803, 2.7071806872172166, 2.7169204738449206, 2.7051901226697885, 2.7118451413123923]",0.9037408245814463,0.8065040516067237,0.9873002733838543,2.6975451495720244,0.02579797834808754
