trial_number,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,param_min_child_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,159,4,0.030445460008040798,0.7741289570473108,0.7681471208349956,1.6516741050193706,0.0010549774340694123,0.12484030808286077,3,"[0.9418389926684486, 0.9250477032199845, 0.9276902493326528, 0.9235229870469387, 0.9181084682090096]","[0.702998036123978, 0.695050737102808, 0.7083215680149785, 0.7003902588563767, 0.6953461260062348]","[0.9993064051329767, 0.9989873168273462, 0.9985811157609765, 0.9986593918395738, 0.9987905804934971]","[2.6441434339254033, 2.6190857571501387, 2.6345929331086078, 2.622572637742889, 2.6122451747087414]",0.9272416800954069,0.7004213452208752,0.998864962010874,2.626527987327156,0.011405065768750918
1,116,32,0.02680023736311305,0.6538319781379734,0.8054312485062985,0.9221993282345764,0.8446479631052932,1.8615575338558814,5,"[0.9471542852396277, 0.9354831841496621, 0.9293720547242035, 0.9310617802949703, 0.9159965009531228]","[0.7561029713613585, 0.7386891076599162, 0.756655798893065, 0.7414754638789383, 0.74099313492545]","[0.9994467470505028, 0.9991215205083335, 0.9988060733807644, 0.9990742870708273, 0.9993065768708301]","[2.702704003651489, 2.6732938123179117, 2.6848339269980332, 2.6716115312447357, 2.6562962127494028]",0.9318135610723175,0.7467832953437455,0.9991510409762517,2.6777478973923143,0.015431705625487032
2,262,6,0.02310170543982693,0.6261146017547512,0.7712489310389558,0.4826545783030628,0.00043231455606231,0.09632223361798768,3,"[0.9441364077323646, 0.9350516077479617, 0.9276396614327552, 0.925391414558987, 0.9244089906515989]","[0.7587421349445701, 0.736191586791589, 0.7476979402486815, 0.740001569388913, 0.7410966998860735]","[0.9996330987020129, 0.9992654847796874, 0.9990169782527674, 0.9992965133140572, 0.9994851173208115]","[2.7025116413789476, 2.670508679319238, 2.674354579934204, 2.664689497261957, 2.6649908078584836]",0.9313256164247334,0.7447459862519654,0.9993394384738673,2.675411041150566,0.014022300522969017
3,76,13,0.008793679843231365,0.78711499383292,0.6806972905059862,3.202033626074574,0.02602250962003106,0.03358795789492328,4,"[0.9457481798078311, 0.937514259011882, 0.9259903489642168, 0.9354111771195724, 0.9223889163901754]","[0.715989973024046, 0.7133769813065656, 0.7195379633395391, 0.72424954017833, 0.7108171002781555]","[0.9991251680077631, 0.9989087058763342, 0.9986041154379312, 0.9987267328231901, 0.9989233986369973]","[2.66086332083964, 2.649799946194782, 2.644132427741687, 2.6583874501210927, 2.6321294153053283]",0.9334105762587356,0.7167943116253273,0.9988576241564433,2.6490625120405062,0.010371044922173842
4,249,30,0.00274182068859149,0.8803009386428624,0.985820432035702,2.5000418058510836,2.802852991126479,0.0051058524857335585,6,"[0.9345321937637912, 0.9233477473977963, 0.9067712598678248, 0.9152702289331331, 0.9246021697312707]","[0.6856302978756652, 0.6800077604486404, 0.6810822495760723, 0.6833262092983543, 0.6864862657970585]","[0.9980465796703908, 0.9966992635944913, 0.9963090853412865, 0.9965380338955235, 0.9970166248786267]","[2.618209071309847, 2.600054771440928, 2.584162594785184, 2.595134472127011, 2.608105060406956]",0.9209047199387633,0.6833065565991581,0.9969219174760637,2.6011331940139852,0.01153552256408615
5,157,23,0.12471248899380946,0.8142416693990625,0.9814968907779467,2.7210408007405107,0.0002573206331752826,0.006787533848590744,9,"[0.9385604415892831, 0.9374293181399502, 0.9275180441924057, 0.9207706523848992, 0.9289240182575873]","[0.7994148839385641, 0.7770172976991766, 0.7822439298757022, 0.7693656188304503, 0.7711435382364995]","[0.9995896283581378, 0.99931573804355, 0.9984600211763961, 0.9989684755403636, 0.9993069716504875]","[2.737564953885985, 2.713762353882677, 2.7082219952445037, 2.689104746755713, 2.6993745281445745]",0.9306404949128251,0.7798370537160786,0.9991281669537869,2.7096057155826907,0.01628421474723424
6,151,4,0.004646478733962952,0.6268577482947818,0.9975408045685091,4.852901566885867,1.0029788051824648,0.10211407485463837,8,"[0.9206197755748032, 0.907011552688944, 0.8946679963486592, 0.8965265245201628, 0.9047346357416626]","[0.5144707809155269, 0.5200528632733566, 0.5408539881475908, 0.5175159346720394, 0.5041513549997262]","[0.9914364388229281, 0.9899771681757928, 0.9891127990056298, 0.9887472549159306, 0.9900696624963312]","[2.426526995313258, 2.4170415841380937, 2.4246347835018796, 2.402789714108133, 2.39895565323772]",0.9047120969748462,0.519408984401648,0.9898686646833225,2.413989746059817,0.011236350113306518
7,92,17,0.025968135983975103,0.7426497124491036,0.61827158609816,4.9157672267860635,0.01609809910707395,0.0331132796526664,4,"[0.9469253377469121, 0.9390499725058681, 0.9287188964470795, 0.937333419190054, 0.9252081764297969]","[0.7427436975634191, 0.7326033506976861, 0.7409944406820995, 0.7468986601622478, 0.7450375581802757]","[0.9994853660741764, 0.9992951494125415, 0.999239624753442, 0.9994040510350953, 0.9994014619700383]","[2.6891544013845077, 2.6709484726160957, 2.668952961882621, 2.6836361303873972, 2.669647196580111]",0.9354471604639422,0.7416555414571456,0.9993651306490587,2.6764678325701463,0.008316143492502958
8,115,21,0.17603079696615412,0.8946988225148451,0.751684226776655,0.06508668347275315,0.9705651546453449,0.0022230231634429217,6,"[0.9393449636241595, 0.9337489783283572, 0.9228471870951641, 0.9218722417879502, 0.9176184642848851]","[0.8257323301501868, 0.7987407235848947, 0.8235970851586675, 0.7946600711148715, 0.7902964164269288]","[0.9996874914310385, 0.9995116015468325, 0.9988693446566915, 0.9995007069180853, 0.9995882371841195]","[2.7647647852053847, 2.7320013034600845, 2.745313616910523, 2.716033019820907, 2.7075031178959335]",0.9270863670241033,0.8066053252871098,0.9994314763473534,2.7331231686585666,0.020491547995094568
9,56,34,0.011115118634854423,0.7988295194938051,0.7659623349498749,1.7543595065082025,0.056870824765015676,7.320714149528701,2,"[0.9440492663504864, 0.9306333564740918, 0.9267077143853589, 0.9380346511386664, 0.9184150425977465]","[0.7157317989673997, 0.7112358733214377, 0.7159538321392156, 0.7231046026294667, 0.7128488607443505]","[0.9989224326830336, 0.9986742161626987, 0.9982766391276404, 0.9986772129109471, 0.9988139941348568]","[2.6587034980009197, 2.640543445958228, 2.6409381856522147, 2.6598164666790804, 2.630077897476954]",0.9315680061892699,0.7157749935603741,0.9986728990038355,2.64601589875348,0.011499405587753699
