seed,model,accuracy,balanced_accuracy,f1_macro,best_params
0,LogisticRegression,0.42424242424242425,0.5073593073593073,0.398784840890104,"{'C': 95.93380259599276, 'penalty': 'elasticnet', 'l1_ratio': 0.8040567124022258}"
0,AnnoyKNN,0.30303030303030304,0.3722943722943723,0.2403133903133903,"{'n_neighbors': 6, 'n_trees': 14, 'metric': 'cosine', 'search_k': 277}"
0,BernoulliNB,0.48484848484848486,0.5883116883116883,0.5091931216931217,{'alpha': 0.0004126030117134585}
0,MLP,0.42424242424242425,0.36493506493506495,0.32623966942148763,"{'hidden_layer_sizes': 128, 'activation': 'logistic', 'learning_rate_init': 0.03630240539850948, 'batch_size': 128, 'alpha': 0.00020696249685291327}"
0,RandomForest,0.30303030303030304,0.3926406926406926,0.23162393162393163,"{'n_estimators': 169, 'max_depth': 42, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': True, 'criterion': 'gini', 'class_weight': 'balanced'}"
0,XGBoost,0.2727272727272727,0.20432900432900433,0.1732888323797415,"{'n_estimators': 239, 'max_depth': 3, 'learning_rate': 0.0014856138277884756, 'subsample': 0.9224831861431523, 'colsample_bytree': 0.9414056842127386, 'gamma': 4.783517727799813, 'reg_alpha': 0.00022403558310710777, 'reg_lambda': 0.0001803603160359206, 'min_child_weight': 1}"
1,LogisticRegression,0.3333333333333333,0.2011363636363636,0.14494301994301995,"{'C': 0.10670446535975223, 'penalty': 'l2'}"
1,AnnoyKNN,0.36363636363636365,0.3196969696969697,0.19076054664289954,"{'n_neighbors': 3, 'n_trees': 44, 'metric': 'euclidean', 'search_k': 112}"
1,BernoulliNB,0.36363636363636365,0.23295454545454547,0.21450118508942037,{'alpha': 0.03076784130277592}
1,MLP,0.45454545454545453,0.26704545454545453,0.197968426169946,"{'hidden_layer_sizes': 128, 'activation': 'tanh', 'learning_rate_init': 0.016546478904157846, 'batch_size': 128, 'alpha': 0.0007402741870258479}"
