scenario,train_val_TVD,train_test_TVD,val_test_TVD,train_val_PSI,train_test_PSI,val_test_PSI
S1,-0.0208821843773328,-0.01996892526025465,-0.01869297757630179,-0.22982901743069367,-0.21658000082543055,-0.2294461528543329
S2,-0.01847991732456956,-0.019674696579481253,-0.01699901819281382,-0.22909878434119096,-0.21650859845263018,-0.2290020170019692
S3,-0.01966171284601197,-0.01889335410091269,-0.017440090326743596,-0.2293322651840158,-0.21622884712736817,-0.2287662245931013
S4,-0.021024407502585572,-0.02025800181492215,-0.019059056445450265,-0.23014123588666216,-0.21680284650507514,-0.22990679877262335
S5,-0.01659264916590801,-0.016430429515434816,-0.014692758074008975,-0.22636362937458313,-0.2125645912049211,-0.22377897683348247
S6,-0.020934259965901578,-0.02028381062757368,-0.01910272374919463,-0.23015060158523445,-0.21683612289599838,-0.2300044000086933
S7,-0.022011912724169323,-0.021423764516326514,-0.020172357401404318,-0.23031308422083735,-0.2170076573051988,-0.23014757900910757
