scenario,train_val_TVD,train_test_TVD,val_test_TVD,train_val_PSI,train_test_PSI,val_test_PSI
original,0.5585303133964132,0.5227227609205469,0.45742648593662644,9.705929893144603,9.056082402227778,9.662578328622665
S1,0.01206263059286606,0.02114224787954726,0.01957183378510202,0.00421773698414224,0.00444632009817761,0.0024533113195039
S2,0.08495121622501617,0.027041404110356992,0.06268118314644193,0.05063054938404108,0.00626404450625743,0.02888348672548391
S3,0.03587924792823236,0.030504093908939222,0.036864879295914574,0.01631681788949904,0.00937128141130116,0.013507007320760631
S4,0.00865764836818619,0.01496352728600164,0.01078706691165917,0.00137953771347149,0.00223712516557938,0.0010612659021885002
S5,0.05337322325809157,0.03056316563731561,0.02638510940543352,0.0429846572384686,0.024244645151641438,0.01531794587691536
S6,0.0034402093408447,0.006102158960121061,0.00388598756352712,0.0013159401962674002,0.0015268331552677201,0.00075767771216709
S7,0.0004043662340937,0.0008966714329185201,0.00054496592054455,3.531889360428165e-05,7.170087022103265e-05,2.4515159976581893e-05
