model,n_repeats,avg_train_acc,std_train_acc,avg_train_f1,std_train_f1,avg_train_auc,std_train_auc,avg_test_acc,std_test_acc,avg_test_f1,std_test_f1,avg_test_auc,std_test_auc,avg_test_acc_clean,std_test_acc_clean,avg_test_f1_clean,std_test_f1_clean,avg_test_auc_clean,std_test_auc_clean
LogisticRegression,10,0.9593067152713415,0.004901918770260902,0.7969892629549389,0.028577268582216063,0.9997124809082958,6.732562739098054e-05,0.9461592100492812,0.013035374658614346,0.7920117617120735,0.027142510021159198,0.9996242082656694,0.00010593390241617181,0.8972333638583638,0.04701963716649223,0.7816783771783773,0.08824734532457837,0.9918440468097183,0.004228669679150301
AnnoyKNN,10,0.898898074935695,0.01974332580433012,0.9203606182380224,0.01512899441106272,0.9756405728980393,0.0032160594738926173,0.8452293002186547,0.027899653388253384,0.8617752023800195,0.027084431967555042,0.9570085408921658,0.01042533827720495,0.8397860195360195,0.1360572949578127,0.8323162748414296,0.14395699263911066,0.936112498171488,0.055802487661028494
BernoulliNB,10,0.9166702909492948,0.0016447551812622514,0.8768651882837842,0.0031038176223674506,0.9998177297756389,5.096373944667539e-06,0.9095788525511594,0.008345451074421856,0.8713349323643198,0.007816373205455415,0.9997966918494147,2.966560948793582e-05,0.815375555000555,0.07330413215397168,0.778768813531163,0.07220654107944,0.9906082158747515,0.005897749446664439
MLP,10,0.9116685827151771,0.007427239433384339,0.9385573053393855,0.004985753514073887,0.9999341876493851,6.355814181099264e-06,0.9013293568364679,0.013883117319784127,0.923723723636758,0.0098321481353445,0.9999099287193653,1.9016991109153985e-05,0.8806134004884006,0.09718077207245071,0.8782248253981999,0.10558274734888796,0.9982426023713467,0.0017821195032445985
RandomForest,10,0.9730059677343166,0.003069747547157828,0.8483650021806304,0.012207512920970387,0.9998934458415775,2.3233377815659918e-05,0.9435917794148422,0.011127404753405084,0.8337890759731998,0.01221262360383739,0.9997138998339375,8.393151521316672e-05,0.8907467948717949,0.08712009145709321,0.7846901642073976,0.09844614203296119,0.9939557015201688,0.004523468276519404
XGBoost,10,0.9744233602486874,0.002597703197697362,0.844656592021714,0.012035820005322958,0.999931113449868,6.107723450772368e-06,0.944400612623865,0.009807253409317146,0.8283014608165074,0.009402471370784725,0.9996391970118088,0.00018646235377902656,0.8789931318681319,0.08143858793650607,0.7652479175737689,0.0778923539867244,0.9947197165543278,0.004171402309616977
